search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Marca,Formato
1, Audífonos True Wireless Soundcore Liberty Lite ,249,389,16,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-435245798-audifonos-true-wireless-soundcore-liberty-lite-_JM,1,1,0,0,0,#435245798,NA,NA,NA
2, Mini Auricular Bluetooth S530 Funcion Para Llamadas Y Musica ,17,NA,97,89,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,3,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-432787876-mini-auricular-bluetooth-s530-funcion-para-llamadas-y-musica-_JM,2,1,0,0,0,#432787876,S530,NA,NA
3, V5 Audifonos Inalámbricos Bluetooth 5.0 Calidad Y Estilo ,120,NA,50,7,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,5,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-434419720-v5-audifonos-inalambricos-bluetooth-50-calidad-y-estilo-_JM,3,2,0,0,0,#434419720,NA,NA,NA
4, Stock Audifonos Original Xiaomi Redmi Airdots Envio Inmediat ,94,NA,285,973,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,26,8,2,0,0,#436293760,Redmi AirDots,Xiaomi,Headset
5, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,39,49,612,388,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,NA,st3,NA
6, Audífonos AirPods I11 Tws ( I10 2019 ) Bluetooth 5.0 Tactil ,139,NA,49,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,7,http://perfil.mercadolibre.com.pe/MONTEZAMOVIL,https://articulo.mercadolibre.com.pe/MPE-434495285-audifonos-airpods-i11-tws-i10-2019-bluetooth-50-tactil-_JM,7,0,0,0,0,#434495285,I11,TWS,In-ear
7, Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android ,64,NA,309,291,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2,1,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,0,0,0,1,0,#433034458,NA,i7s Plus,NA
8, Audífonos Xiaomi Redmi Airdots Mejor Que I12 Tws I10 ,99,NA,21,44,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-433927417-audifonos-xiaomi-redmi-airdots-mejor-que-i12-tws-i10-_JM,26,8,2,0,0,#433927417,Redmi Airdots,Xiaomi,Headset
9, Audifonos Original Xiaomi Redmi Airdots Entregas En 10 Dias ,89,119,128,472,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,36,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-entregas-en-10-dias-_JM,26,8,2,0,0,#433005812,AirDots,Xiaomi,In-ear
10, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,119,NA,26,48,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,3,1,0,0,0,#435128963,T110,JBL,NA
11, Audifonos Bluetooth I7s Tws Cargador Portatil Apple Android ,35,39,744,4,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,11,http://perfil.mercadolibre.com.pe/BRUNOESPINOZAFALCN,https://articulo.mercadolibre.com.pe/MPE-432083624-audifonos-bluetooth-i7s-tws-cargador-portatil-apple-android-_JM,7,2,1,0,1,#432083624,NA,Apple,NA
12, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,405,39,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,28,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,10,1,0,2,#420579803,NA,NA,NA
13, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,56,43,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Buds,Samsung,In-ear
14, Audífono Bluetooth Twins True Wireless Stereo + Base K2 ,79,NA,50,50,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,https://articulo.mercadolibre.com.pe/MPE-431013752-audifono-bluetooth-twins-true-wireless-stereo-base-k2-_JM,NA,NA,NA,NA,NA,#431013752,NA,NA,NA
15, Audifono Bluetooth Bluetooth X2t Originales Sellado ,79,NA,216,26,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.3,3,http://perfil.mercadolibre.com.pe/MATHEUSBARTRA,https://articulo.mercadolibre.com.pe/MPE-432605423-audifono-bluetooth-bluetooth-x2t-originales-sellado-_JM,1,1,0,0,1,#432605423,NA,NA,NA
16, Skullcandy Audifonos Bluetooth Method Sport Supreme Sound ,189,209,27,35,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434305464-skullcandy-audifonos-bluetooth-method-sport-supreme-sound-_JM,1,1,0,0,0,#434305464,Method,Skullcandy,NA
17, Audífono Bluetooth Huawei Honor Sport Am61 ,125,NA,14,11,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,4,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-435912269-audifono-bluetooth-huawei-honor-sport-am61-_JM,3,0,1,0,0,#435912269,Xsport,Huawei,In-ear
