seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Maxell Tienda oficial,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,1,año,703,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,140,2,0,138,"Santiago, RM (Metropolitana).",meses,4
Sennheiser Tienda oficial,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=477,2,años,4648,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1000,14,19,967,"Santiago, RM (Metropolitana).",meses,4
MUNDOMAGIAÑUÑOA,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,2,años,7538,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1269,34,36,1199,"Ñuñoa, RM (Metropolitana).",meses,4
TELOTENEMOS.CL,https://perfil.mercadolibre.cl/TELOTENEMOS.CL,1,año,4743,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,842,5,21,816,"Independencia, RM (Metropolitana).",meses,4
CASALIVING,https://perfil.mercadolibre.cl/CASALIVING,10,años,4751,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,897,28,50,819,"Recoleta, RM (Metropolitana).",meses,4
MUNDOELECTROCL,https://perfil.mercadolibre.cl/MUNDOELECTROCL,5,años,724,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,97,1,2,94,"Estacion Central, RM (Metropolitana).",meses,4
ONLINECLUB,https://perfil.mercadolibre.cl/ONLINECLUB,6,años,22032,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,2990,239,283,2468,"La Florida, RM (Metropolitana).",meses,4
VENTASMACUL2014,https://perfil.mercadolibre.cl/VENTASMACUL2014,5,años,2802,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,411,20,11,380,"Santiago, RM (Metropolitana).",meses,4
AFRICCA STORE,https://perfil.mercadolibre.cl/AFRICCA+STORE,4,años,812,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,146,4,5,137,"Valdivia, Los Ríos.",meses,4
CELLBOX.CL,https://perfil.mercadolibre.cl/CELLBOX.CL,1,año,743,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,161,4,4,153,"Las Condes, RM (Metropolitana).",meses,4
Music World Tienda oficial,https://perfil.mercadolibre.cl/MUSICWORLDCHILE?brandId=183,2,años,357,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,71,1,1,69,"Quilicura, RM (Metropolitana).",meses,4
MAXTECHCHILELTDA,https://perfil.mercadolibre.cl/MAXTECHCHILELTDA,11,años,1382,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,264,6,10,248,"Providencia, RM (Metropolitana).",meses,4
LOI CHILE,https://perfil.mercadolibre.cl/LOI+CHILE,4,años,3119,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,509,22,23,464,"Renca, RM (Metropolitana).",meses,4
LAOCASIONSTORE,https://perfil.mercadolibre.cl/LAOCASIONSTORE,3,años,726,MercadoLíder,Brinda buena atención,Entrega sus productos a tiempo,112,3,4,105,"San Ramón, RM (Metropolitana).",meses,4
WIRELESS MUNDO,https://perfil.mercadolibre.cl/WIRELESS+MUNDO,1,año,161,MercadoLíder,Brinda buena atención,Entrega sus productos a tiempo,40,0,2,38,"Conchalí, RM (Metropolitana).",meses,4
ELECTRONICA_ROCA,https://perfil.mercadolibre.cl/ELECTRONICA_ROCA,10,años,2265,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,266,16,17,233,"Santiago, RM (Metropolitana).",meses,4
Anker Tienda oficial,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,7,años,1475,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,262,8,5,249,"Las Condes, RM (Metropolitana).",meses,4
MobileHUT Tienda oficial,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,2,años,4648,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1000,14,19,967,"Santiago, RM (Metropolitana).",meses,4
OFERTABKNCL,https://perfil.mercadolibre.cl/OFERTABKNCL,3,años,9430,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1675,45,129,1501,"Santiago, RM (Metropolitana).",meses,4
