seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Redlemon Tienda oficial,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,13,años,22054,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,2091,34,54,2003,"Naucalpan, Estado De México.",meses,4
MR.UPSALES,https://perfil.mercadolibre.com.mx/MR.UPSALES,7,años,10458,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,666,26,11,629,"Pachuca De Soto, Hidalgo.",meses,4
AXLOIEFFCN,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,7,meses,9731,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1115,33,31,1051,"Cuautitlan Izcalli, Estado De México.",meses,4
ZIPING0071988,https://perfil.mercadolibre.com.mx/ZIPING0071988,12,años,2106,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,25,3,3,19,"Cuauhtémoc, Distrito Federal.",meses,4
EBSTORE,https://perfil.mercadolibre.com.mx/EBSTORE,3,años,3652,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,246,12,9,225,"Tampico, Tamaulipas.",meses,4
CONTECSHOP2014,https://perfil.mercadolibre.com.mx/CONTECSHOP2014,10,años,7412,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,792,33,27,732,"Benito Juárez, Distrito Federal.",meses,4
MONOKO MEXICO,https://perfil.mercadolibre.com.mx/MONOKO+MEXICO,5,años,7778,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,589,62,32,495,"Tuxtla Gutiérrez, Chiapas.",meses,4
ORIENTAL FITNESS,https://perfil.mercadolibre.com.mx/ORIENTAL+FITNESS,17,años,5262,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,552,19,24,509,"Venustiano Carranza, Distrito Federal.",meses,4
IDEAGLOBALMX,https://perfil.mercadolibre.com.mx/IDEAGLOBALMX,7,años,13931,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1192,19,23,1150,"Coyoacán, Distrito Federal.",meses,4
EZSHOP.MX,https://perfil.mercadolibre.com.mx/EZSHOP.MX,5,años,12227,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,823,22,27,774,"Chihuahua, Chihuahua.",meses,4
Select Sound Tienda oficial,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,4,años,1278,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,114,2,3,109,"Tlalnepantla de Baz, Estado De México.",meses,4
MALU8988452,https://perfil.mercadolibre.com.mx/MALU8988452,2,años,3688,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,280,14,13,253,"Coyoacán, Distrito Federal.",meses,4
Bose Tienda oficial,https://perfil.mercadolibre.com.mx/PREETAIL?brandId=1312,7,años,8083,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1734,14,9,1711,"Alvaro Obregón, Distrito Federal.",meses,4
SOLUCIONESALTHEA,https://perfil.mercadolibre.com.mx/SOLUCIONESALTHEA,7,años,3292,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,234,7,3,224,"Chilpancingo De Los Bravo, Guerrero.",meses,4
IMPORTADORA.ALEX,https://perfil.mercadolibre.com.mx/IMPORTADORA.ALEX,11,años,44213,NA,Brinda buena atención,Entrega sus productos a tiempo,4055,87,103,3865,"Tultitlán, Estado De México.",meses,4
ERICK PADRON,https://perfil.mercadolibre.com.mx/ERICK+PADRON,1,año,3519,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,310,17,8,285,"Cuajimalpa De Morelos, Distrito Federal.",meses,4
ASSISCELL TLAX,https://perfil.mercadolibre.com.mx/ASSISCELL+TLAX,4,años,26231,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,2721,1,21,2699,"Apizaco, Tlaxcala.",meses,4
TODOHARDWARE2010,https://perfil.mercadolibre.com.mx/TODOHARDWARE2010,10,años,11558,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,520,35,18,467,"Cuauhtémoc, Distrito Federal.",meses,4
GERCOMMX,https://perfil.mercadolibre.com.mx/GERCOMMX,1,año,3604,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,149,3,0,146,"Atizapán De Zaragoza, Estado De México.",meses,4
Laptop México  Tienda oficial,https://perfil.mercadolibre.com.mx/LAPTOPMEXICO?brandId=1707,13,años,27105,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,3803,79,106,3618,"Zapopan, Jalisco.",meses,4
XTUGA ELECTRONC,https://perfil.mercadolibre.com.mx/XTUGA+ELECTRONC,7,meses,431,NA,Brinda buena atención,Entrega sus productos a tiempo,102,1,1,100,"Cuauhtémoc, Distrito Federal.",meses,4
SLIM_COMPANY,https://perfil.mercadolibre.com.mx/SLIM_COMPANY,12,años,140001,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,10194,347,221,9626,"Cuauhtémoc, Distrito Federal.",meses,4
COMPUPRICE,https://perfil.mercadolibre.com.mx/COMPUPRICE,15,años,22391,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,2814,70,53,2691,"Huichapan, Hidalgo.",meses,4
REGALOSJUGUETES,https://perfil.mercadolibre.com.mx/REGALOSJUGUETES,1,año,2393,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,330,3,5,322,"Apizaco, Tlaxcala.",meses,4
