seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Redlemon Tienda oficial,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,13,13 años vendiendo en Mercado Libre,22054,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,2091,Mala (34),Regular (54),Buena (2003),"Naucalpan, Estado De México.",22054 ventas en los últimos 4 meses
MR.UPSALES,https://perfil.mercadolibre.com.mx/MR.UPSALES,7,7 años vendiendo en Mercado Libre,10458,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,666,Mala (26),Regular (11),Buena (629),"Pachuca De Soto, Hidalgo.",10458 ventas en los últimos 4 meses
AXLOIEFFCN,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,7,7 meses vendiendo en Mercado Libre,9731,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1115,Mala (33),Regular (31),Buena (1051),"Cuautitlan Izcalli, Estado De México.",9731 ventas en los últimos 4 meses
ZIPING0071988,https://perfil.mercadolibre.com.mx/ZIPING0071988,12,12 años vendiendo en Mercado Libre,2106,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,25,Mala (3),Regular (3),Buena (19),"Cuauhtémoc, Distrito Federal.",2106 ventas en los últimos 4 meses
EBSTORE,https://perfil.mercadolibre.com.mx/EBSTORE,3,3 años vendiendo en Mercado Libre,3652,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,246,Mala (12),Regular (9),Buena (225),"Tampico, Tamaulipas.",3652 ventas en los últimos 4 meses
CONTECSHOP2014,https://perfil.mercadolibre.com.mx/CONTECSHOP2014,10,10 años vendiendo en Mercado Libre,7412,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,792,Mala (33),Regular (27),Buena (732),"Benito Juárez, Distrito Federal.",7412 ventas en los últimos 4 meses
MONOKO MEXICO,https://perfil.mercadolibre.com.mx/MONOKO+MEXICO,5,5 años vendiendo en Mercado Libre,7778,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,589,Mala (62),Regular (32),Buena (495),"Tuxtla Gutiérrez, Chiapas.",7778 ventas en los últimos 4 meses
ORIENTAL FITNESS,https://perfil.mercadolibre.com.mx/ORIENTAL+FITNESS,17,17 años vendiendo en Mercado Libre,5262,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,552,Mala (19),Regular (24),Buena (509),"Venustiano Carranza, Distrito Federal.",5262 ventas en los últimos 4 meses
IDEAGLOBALMX,https://perfil.mercadolibre.com.mx/IDEAGLOBALMX,7,7 años vendiendo en Mercado Libre,13931,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1192,Mala (19),Regular (23),Buena (1150),"Coyoacán, Distrito Federal.",13931 ventas en los últimos 4 meses
EZSHOP.MX,https://perfil.mercadolibre.com.mx/EZSHOP.MX,5,5 años vendiendo en Mercado Libre,12227,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,823,Mala (22),Regular (27),Buena (774),"Chihuahua, Chihuahua.",12227 ventas en los últimos 4 meses
