seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,años,250367,MercadoLíder Platinum,NA,NA,285368,5112,16648,263608,"Centro, Montevideo.",NA,NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,años,15326,MercadoLíder Platinum,NA,NA,8852,107,375,8370,"Centro, Montevideo.",NA,NA
TMO TUMEJOROPCION,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,10,meses,832,MercadoLíder,NA,NA,438,5,10,423,"Paso Molino, Montevideo.",NA,NA
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,años,116181,MercadoLíder Platinum,NA,NA,113385,650,5478,107257,"Ciudad Vieja, Montevideo.",NA,NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,11,años,77614,MercadoLíder Platinum,NA,NA,52299,90,1226,50983,"Centro, Montevideo.",NA,NA
ELECTROVENTAS ONLINE,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,11,años,166380,MercadoLíder Platinum,NA,NA,95383,350,3244,91789,"Centro, Montevideo.",NA,NA
YOVENTAS.COM,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,5,años,4159,MercadoLíder Platinum,NA,NA,2804,31,111,2662,"Rivera, Rivera.",NA,NA
IMPOCAR SA,http://perfil.mercadolibre.com.uy/IMPOCAR+SA,16,años,1509,MercadoLíder Gold,NA,NA,945,0,8,937,"La Comercial, Montevideo.",NA,NA
CLICSHOPURUGUAY,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,7,años,7680,MercadoLíder Platinum,NA,NA,4602,23,79,4500,"Tres Cruces, Montevideo.",NA,NA
NETPC URUGUAY,http://perfil.mercadolibre.com.uy/NETPC+URUGUAY,3,años,3881,MercadoLíder Platinum,NA,NA,2690,55,152,2483,"Cordón, Montevideo.",NA,NA
BLACKDOGELECTRONICS,http://perfil.mercadolibre.com.uy/BLACKDOGELECTRONICS,4,años,32941,MercadoLíder Platinum,NA,NA,26659,108,1028,25523,"Centro, Montevideo.",NA,NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,12,años,89236,MercadoLíder Platinum,NA,NA,75324,1119,4339,69866,"Jacinto Vera, Montevideo.",NA,NA
COMPUCONSOLASCOM,http://perfil.mercadolibre.com.uy/COMPUCONSOLASCOM,5,años,23865,MercadoLíder Platinum,NA,NA,11639,53,394,11192,"Centro, Montevideo.",NA,NA
ML Center Tienda oficial,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,4,años,12755,MercadoLíder Platinum,NA,NA,7007,30,93,6884,"Tres Cruces, Montevideo.",NA,NA
LSTURUGUAY,http://perfil.mercadolibre.com.uy/LSTURUGUAY,8,años,25183,MercadoLíder Platinum,NA,NA,25539,85,1046,24408,"Tres Cruces, Montevideo.",NA,NA
VENTASUY IMPORTACIONES,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,11,meses,690,MercadoLíder,NA,NA,437,2,7,428,"Prado, Montevideo.",NA,NA
RAMAN2013,http://perfil.mercadolibre.com.uy/RAMAN2013,6,años,1030,NA,NA,NA,797,4,43,750,"Pocitos, Montevideo.",NA,NA
IMPRESIONANTE -KUSA,http://perfil.mercadolibre.com.uy/IMPRESIONANTE+-KUSA,3,años,9121,MercadoLíder Gold,NA,NA,5806,25,136,5645,"Goes, Montevideo.",NA,NA
MERCADO-WEB-UY,http://perfil.mercadolibre.com.uy/MERCADO-WEB-UY,1,año,55,NA,NA,NA,70,0,0,70,"Villa Biarritz, Montevideo.",NA,NA
TECNOLOGICO.UY,http://perfil.mercadolibre.com.uy/TECNOLOGICO.UY,3,años,3411,MercadoLíder Platinum,NA,NA,2092,0,3,2089,"Unión, Montevideo.",NA,NA
PRECIOSMIAMI,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,3,años,25139,MercadoLíder Platinum,NA,NA,17825,220,602,17003,"Centro, Montevideo.",NA,NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,años,42801,MercadoLíder Platinum,NA,NA,40606,301,2581,37724,"Aguada, Montevideo.",NA,NA
EASYBUYSHOP,http://perfil.mercadolibre.com.uy/EASYBUYSHOP,2,años,1349,MercadoLíder Gold,NA,NA,917,1,20,896,"Cordón, Montevideo.",NA,NA
ILUMINARÁS,http://perfil.mercadolibre.com.uy/ILUMINAR%C3%81S,2,años,1635,MercadoLíder Gold,NA,NA,1056,2,14,1040,"La Comercial, Montevideo.",NA,NA
NEPOLLUCH,http://perfil.mercadolibre.com.uy/NEPOLLUCH,7,años,294,NA,NA,NA,329,0,0,329,"Punta Carretas, Montevideo.",NA,NA
NNET URUGUAY,http://perfil.mercadolibre.com.uy/NNET+URUGUAY,14,años,45253,MercadoLíder Platinum,NA,NA,49434,369,2765,46300,"Centro, Montevideo.",NA,NA
DISCBOX,http://perfil.mercadolibre.com.uy/DISCBOX,7,años,113,NA,NA,NA,70,0,0,70,"Centro, Montevideo.",NA,NA
DISER-SHOP,http://perfil.mercadolibre.com.uy/DISER-SHOP,12,años,30641,MercadoLíder Platinum,NA,NA,27137,61,1147,25929,"La Comercial, Montevideo.",NA,NA
MASTERCASE CO,http://perfil.mercadolibre.com.uy/MASTERCASE+CO,2,años,65,NA,NA,NA,39,0,0,39,"Centro, Montevideo.",NA,NA
MONTEVIDEOPC1,http://perfil.mercadolibre.com.uy/MONTEVIDEOPC1,3,años,8702,MercadoLíder Platinum,NA,NA,5400,6,110,5284,"Centro, Montevideo.",NA,NA
69 CASES,http://perfil.mercadolibre.com.uy/69+CASES,10,años,9113,MercadoLíder Gold,NA,NA,5657,86,227,5344,"Cordón, Montevideo.",NA,NA
SERTEL_SHOP,http://perfil.mercadolibre.com.uy/SERTEL_SHOP,7,años,2481,MercadoLíder,NA,NA,1598,15,70,1513,"Jacinto Vera, Montevideo.",NA,NA
ICELLUY,http://perfil.mercadolibre.com.uy/ICELLUY,4,años,155,NA,NA,NA,144,3,7,134,"Punta Carretas, Montevideo.",NA,NA
CIRCUIT OFERTAS,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,3,años,17579,MercadoLíder Platinum,NA,NA,12905,91,403,12411,"Centro, Montevideo.",NA,NA
UNAGANGAUY.COM,http://perfil.mercadolibre.com.uy/UNAGANGAUY.COM,2,años,1413,MercadoLíder,NA,NA,893,4,14,875,"Pocitos, Montevideo.",NA,NA
VIKEI SA,http://perfil.mercadolibre.com.uy/VIKEI+SA,4,años,260,MercadoLíder,NA,NA,121,0,0,121,"Aguada, Montevideo.",NA,NA
Districomp Tienda oficial,http://perfil.mercadolibre.com.uy/DISTRICOMP+S.A.?brandId=11,4,años,31384,MercadoLíder Platinum,NA,NA,22570,271,1019,21280,"Cordón, Montevideo.",NA,NA
AMVSTORE,http://perfil.mercadolibre.com.uy/AMVSTORE,6,años,16767,MercadoLíder Platinum,NA,NA,10070,28,168,9874,"Centro, Montevideo.",NA,NA
