search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1, Audífonos Sony In-ear Inalámbricos - Wi-c300 ,130.823,179.900,"
			
			
				
				89
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 3.634
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.8,25,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-479490629-audifonos-sony-in-ear-inalambricos-wi-c300-_JM,20,4,1,0,0,#479490629,Sony,WI-C300,NA
2, Audífonos Sony Bluetooth Y Función Manos Libres - Wh-ch500 ,160.930,229.900,"
			
			
				
				147
				vendidos
			
		",(18 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.470
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,34,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474486245-audifonos-sony-bluetooth-y-funcion-manos-libres-wh-ch500-_JM,24,8,2,0,0,#474486245,Sony,WH-CH500,NA
3," Mini Audífono Inalambrico Bluetooth, Negro + Obsequio ",11.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				604
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 319
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,6,https://perfil.mercadolibre.com.co/COMUNICACIONESID,https://articulo.mercadolibre.com.co/MCO-495064791-mini-audifono-inalambrico-bluetooth-negro-obsequio-_JM,4,1,0,1,0,#495064791,NA,NA,NA
4, Audifonos Bluetooth Táctiles Alta Calidad Brightside ,113.900,149.900,"
			
			
				
				271
				vendidos
			
		",(54 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.492
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.1,19,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,https://articulo.mercadolibre.com.co/MCO-498314603-audifonos-bluetooth-tactiles-alta-calidad-brightside-_JM,10,4,2,2,1,#498314603,NA,NA,NA
5, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				574
				vendidos
			
		",(253 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,32,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM,21,7,2,1,1,#479127462,NA,NA,NA
6, Audifonos Bluetooth Deportivos R1 Microfono 5 Horas Obsequio ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1057
				vendidos
			
		",(70 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,41,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-488593898-audifonos-bluetooth-deportivos-r1-microfono-5-horas-obsequio-_JM,25,8,5,2,1,#488593898,BlueKatoom,R1,In-ear
7, Auriculares Xiaomi Mi Sports Bluetooth 4.1 Inalambricos ,99.900,149.900,"
			
				Nuevo
			
			
				
					 - 
				
				222
				vendidos
			
		",(17 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.775
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,12,https://perfil.mercadolibre.com.co/MEGATIENDAVIRTUAL77,https://articulo.mercadolibre.com.co/MCO-497853973-auriculares-xiaomi-mi-sports-bluetooth-41-inalambricos-_JM,7,5,0,0,0,#497853973,NA,NA,NA
8, Audífonos Bluetooth Inalámbricos ,45.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				256
				vendidos
			
		",(95 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.3,12,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://articulo.mercadolibre.com.co/MCO-488555518-audifonos-bluetooth-inalambricos-_JM,4,3,1,0,4,#488555518,NA,NA,NA
9, Audifonos Inalambricos Bluetooth I7 Tws ,25.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				241
				vendidos
			
		",(29 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 694
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.8,5,https://perfil.mercadolibre.com.co/COMUNICACIONESID,https://articulo.mercadolibre.com.co/MCO-500315292-audifonos-inalambricos-bluetooth-i7-tws-_JM,4,1,0,0,0,#500315292,NA,NA,NA
10," Audifonos Inalambricos N65s Micro Sd, Fm, Bluetooth Lcd 1.5 ",28.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				655
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.417
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,20,https://perfil.mercadolibre.com.co/OFERTA+USA,https://articulo.mercadolibre.com.co/MCO-453313132-audifonos-inalambricos-n65s-micro-sd-fm-bluetooth-lcd-15-_JM,15,4,0,0,1,#453313132,NA,NA,Over-ear
