search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1, V5 Audifonos Inalámbricos Bluetooth 5.0 Calidad Y Estilo ,120,NA,"
			
				Nuevo
			
			
				
					 - 
				
				61
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,5,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-434419720-v5-audifonos-inalambricos-bluetooth-50-calidad-y-estilo-_JM,3,2,0,0,0,#434419720,NA,NA,NA
2, En Stock Audifonos Original Xiaomi Redmi Airdots ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				372
				vendidos
			
		",(886 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,65,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-en-stock-audifonos-original-xiaomi-redmi-airdots-_JM,45,16,4,0,0,#436293760,Xiaomi,Redmi AirDots,Headset
3, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,39,49,"
			
				Nuevo
			
			
				
					 - 
				
				614
				vendidos
			
		",(386 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,st3,NA,NA
4, Audifonos Original Xiaomi Redmi Airdots Entregas En 10 Dias ,89,99,"
			
				Nuevo
			
			
				
					 - 
				
				141
				vendidos
			
		",(459 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,65,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-entregas-en-10-dias-_JM,45,16,4,0,0,#433005812,Xiaomi,AirDots,In-ear
5, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,"
			
				Nuevo
			
			
				
					 - 
				
				59
				vendidos
			
		",(40 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Samsung,Buds,In-ear
6, Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android ,64,NA,"
			
				Nuevo
			
			
				
					 - 
				
				310
				vendidos
			
		",(290 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2.0,1,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,NA,NA,NA,NA,NA,#433034458,i7s Plus,NA,NA
7, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,119,149,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(43 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,5,1,0,0,0,#435128963,JBL,T110,NA
8, Stock Audifonos Original Xiaomi Redmi Airdots Envío Inmediat ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				109
				vendidos
			
		",(31 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,65,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,45,16,4,0,0,#436361713,Xiaomi,Redmi Airdots,Headset
9, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				409
				vendidos
			
		",(35 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,28,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,10,1,0,2,#420579803,NA,NA,NA
10, Motorola Audifonos Bluetooth Pulse Escape Super Combo Pack ,139,189,"
			
				Nuevo
			
			
				
					 - 
				
				111
				vendidos
			
		",(41 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433512029-motorola-audifonos-bluetooth-pulse-escape-super-combo-pack-_JM,12,3,0,0,0,#433512029,Motorola,Pulse Escape,Over-ear
11, Skullcandy Audifonos Bluetooth Method Sport Supreme Sound ,189,229,"
			
				Nuevo
			
			
				
					 - 
				
				30
				vendidos
			
		",(32 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434305464-skullcandy-audifonos-bluetooth-method-sport-supreme-sound-_JM,NA,NA,NA,NA,NA,#434305464,Skullcandy,Method,NA
12, Audifonos Xiaomi Mi Sports Youth Edition 2019 ,84,NA,"
			
				Nuevo
			
			
				
					 - 
				
				32
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436221893-audifonos-xiaomi-mi-sports-youth-edition-2019-_JM,NA,NA,NA,NA,NA,#436221893,Xiaomi,NA,NA
13, Mini AirPods I9s Tws Audifonos Bluetooth 5.0 Ultima Version ,75,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(8 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-435244365-mini-airpods-i9s-tws-audifonos-bluetooth-50-ultima-version-_JM,NA,NA,NA,NA,NA,#435244365,NA,NA,NA
14, Audifonos Xiaomi Mi Sports Bluetooth Inalambricos ,99,NA,"
			
				Nuevo
			
			
				
					 - 
				
				51
				vendidos
			
		",(33 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,3,http://perfil.mercadolibre.com.pe/FRANKSMAZA,https://articulo.mercadolibre.com.pe/MPE-432908688-audifonos-xiaomi-mi-sports-bluetooth-inalambricos-_JM,1,2,0,0,0,#432908688,Xiaomi,NA,NA
15," Audifono Redmi Xiaomi Airdots Originales, ! Entrega Rapida ",89,NA,"
			
				Nuevo
			
			
				
					 - 
				
				37
				vendidos
			
		",(63 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,65,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,https://articulo.mercadolibre.com.pe/MPE-436723758-audifono-redmi-xiaomi-airdots-originales-entrega-rapida-_JM,45,16,4,0,0,#436723758,Xiaomi,AIRDOTS REDMI,NA
16, Audifonos Hands Free Bluetooth V4.1 Micro Magneticos ,18,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS+O.,https://articulo.mercadolibre.com.pe/MPE-436216694-audifonos-hands-free-bluetooth-v41-micro-magneticos-_JM,NA,NA,NA,NA,NA,#436216694,NA,NA,NA
