seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Redlemon Tienda oficial,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,13,años,25141,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,2423,40,59,2324,"Naucalpan, Estado De México.",meses,4
MR.UPSALES,https://perfil.mercadolibre.com.mx/MR.UPSALES,7,años,12180,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,794,28,14,752,"Pachuca De Soto, Hidalgo.",meses,4
AXLOIEFFCN,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,7,meses,11141,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1319,41,38,1240,"Cuautitlan Izcalli, Estado De México.",meses,4
INNOVASTORE CUU,https://perfil.mercadolibre.com.mx/INNOVASTORE+CUU,12,años,2381,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,105,13,7,85,"Chihuahua, Chihuahua.",meses,4
COMPU_VICHIS,https://perfil.mercadolibre.com.mx/COMPU_VICHIS,8,años,13862,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,448,30,12,406,"Cuauhtémoc, Distrito Federal.",meses,4
RANMEX,https://perfil.mercadolibre.com.mx/RANMEX,2,años,7963,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,279,13,5,261,"Cuautitlan Izcalli, Estado De México.",meses,4
ZIPING0071988,https://perfil.mercadolibre.com.mx/ZIPING0071988,12,años,3349,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,99,3,4,92,"Cuauhtémoc, Distrito Federal.",meses,4
EZSHOP.MX,https://perfil.mercadolibre.com.mx/EZSHOP.MX,5,años,13605,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,977,28,29,920,"Chihuahua, Chihuahua.",meses,4
SOLUCIONESALTHEA,https://perfil.mercadolibre.com.mx/SOLUCIONESALTHEA,7,años,3832,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,306,9,4,293,"Chilpancingo De Los Bravo, Guerrero.",meses,4
MONOKO MEXICO,https://perfil.mercadolibre.com.mx/MONOKO+MEXICO,5,años,8628,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,663,65,36,562,"Tuxtla Gutiérrez, Chiapas.",meses,4
ORIENTAL FITNESS,https://perfil.mercadolibre.com.mx/ORIENTAL+FITNESS,17,años,5896,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,675,23,28,624,"Venustiano Carranza, Distrito Federal.",meses,4
