seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
ZEALOTT IMPORTACIONES,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,2,años,1063,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,759,0,1,758,"Lima, Lima.",NA,NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,1,año,1045,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,742,0,20,722,"Lima, Lima.",NA,NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,años,4346,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2590,0,13,2577,"Lima, Lima.",NA,NA
FROG_PEOPLE _IMPORT,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,8,años,2366,NA,NA,NA,1609,9,191,1409,"Lima, Lima.",NA,NA
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,año,1109,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,645,0,2,643,"Lima, Lima.",NA,NA
HUMA7820320,http://perfil.mercadolibre.com.pe/HUMA7820320,4,años,2191,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,873,2,48,823,"Lima, Lima.",NA,NA
MAJU4927724,http://perfil.mercadolibre.com.pe/MAJU4927724,2,años,1584,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,982,1,5,976,"Lima, Lima.",NA,NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,años,23879,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8555,187,704,7664,"Lima, Lima.",NA,NA
LIZANDROAN,http://perfil.mercadolibre.com.pe/LIZANDROAN,3,años,909,NA,NA,NA,585,6,49,530,"Lima, Lima.",NA,NA
TITECHNOLOGYIMPORT,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,1,año,168,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,97,0,2,95,"Lima, Lima.",NA,NA
MKURON0,http://perfil.mercadolibre.com.pe/MKURON0,4,años,1396,NA,NA,NA,717,0,0,717,"Lima, Lima.",NA,NA
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,años,7253,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4502,8,350,4144,"Lima, Lima.",NA,NA
FRANKSMAZA,http://perfil.mercadolibre.com.pe/FRANKSMAZA,5,años,431,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,276,1,9,266,"Lima, Lima.",NA,NA
AVY-BELLA,http://perfil.mercadolibre.com.pe/AVY-BELLA,3,años,527,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,248,0,5,243,"Lima, Lima.",NA,NA
IPLUS_STORE,http://perfil.mercadolibre.com.pe/IPLUS_STORE,1,año,388,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,280,0,0,280,"Lima, Lima.",NA,NA
DIGITAL-PERU,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,10,años,9202,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5646,27,246,5373,"Lima, Lima.",NA,NA
AGKE6470835,http://perfil.mercadolibre.com.pe/AGKE6470835,7,meses,17,NA,NA,NA,14,1,0,13,"Lima, Lima.",NA,NA
BRUNOESPINOZAFALCN,http://perfil.mercadolibre.com.pe/BRUNOESPINOZAFALCN,1,año,1057,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,486,2,5,479,"Lima, Lima.",NA,NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,años,1103,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,711,1,26,684,"Lima, Lima.",NA,NA
