search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1, Motorola G7 Power 32 GB Marine blue ,3699,5549,745,169,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,265,https://perfil.mercadolibre.com.ar/TIENDAS+ELECTROSHOWS?brandId=1507,https://articulo.mercadolibre.com.ar/MLA-754700205-auriculares-bluetooth-in-ear-instto-insun-x-s-iphone-android-_JM,154,69,25,11,5,#754700205,Instto,INSUN,InSun X,Insun XS,In-ear
2, Auriculares Bluetooth In Ear Instto Insun X S iPhone Android ,1399,2100,1494,8376,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,301,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647289957-auricular-bluetooth-gadnic-inalambrico-30-musica-celular-_JM,216,46,24,6,8,#647289957,Gadnic,NA,T11,NA,Over-ear
3, Auricular Bluetooth Gadnic Inalambrico 3.0 Musica Celular ,649,NA,371,66,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.2,157,https://perfil.mercadolibre.com.ar/READYGOWEB,https://articulo.mercadolibre.com.ar/MLA-736879465-auriculares-bluetooth-inalambrico-i7s-iphone-android-airpods-_JM,87,36,15,9,10,#736879465,Apple,NA,EarPods,MMEF2,In-ear
4, Auriculares Bluetooth Inalambrico I7s iPhone Android AirPods ,763,898,1436,23,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,35,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://articulo.mercadolibre.com.ar/MLA-762067402-auriculares-bluetooth-in-ear-inalambrico-recargable-envio-_JM,19,6,6,2,2,#762067402,TWS,Earpod,I7s,3,In-ear
5, Auriculares Bluetooth In Ear Inalambrico Recargable + Envio ,1699,NA,876,22,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,71,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-672953659-auriculares-bluetooth-inalambricos-in-ear-twins-microfono-k2-_JM,38,17,7,2,7,#672953659,True Wirless,Auriculares Bluetooth,K2,NA,In-ear
6, Auriculares Bluetooth Deportivo Inalambrico Samsung iPhone ,1999,3100,1589,7461,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,393,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=tEWTUMjYyVubR4UQ7uwz610R17vdv2HWtpmDn68sEEOBm2Vq7pH5h8O7LprgTE9fh65o%2BkioEoIpJKeb%2FCLN3qLHzUziSk0o5kw2bOFuPM1Is7v0PSfJ4fB2OoTSCh9DRHVPfCmpr6%2BMztCI0Y9Gt9E4kPlVKbNAxlfQStpdVNu9BO%2BUSCYRR2qNRJ4RoyAPF7H3cPWzMg86fR7iLiN%2B1%2F7srZe5%2BteKPSEBvaCACHTnsSuYK%2FFmrlUxt6PtnIsl2XsWiDrLEkKshTGuVps2HpN%2BJoWjC0gvICyKcUkGt%2FvLw17OvHfZcS3pRPTzAcI8N2Wb3HIfDZjuRi3JCLtKHF9elFIq%2BTopEG0nRmmzASBv6DDZz3jmEeHrPJIHJORu%2F5uDZKDs1eNaeUg5PKAHnp3BaALouW2siV682ZWEoUFzrjWbQCWqpCJsghNlWu%2Fgx1lS5T17pB3kMyRrrk0UAjstVtoabuoZff35cLMWzPky8C7hQrUAONPcv4fHD9asQm%2FaAza0BiJtP4s55dEdxYX8k2BBLeasCveg0sUTAuQcoIFG0McurgfktubCAQMPyzlVCJrDKLV1LQ38FNZAmR0JxKWfofAK7QUeXsAMt2rGHtEJnEClZkWL291nbQ8bJAlrqToPFUDdxlX8Q0408F2tryeriNBd%2FX3WeM%2BIC%2Bqd5tIeMdSyFKRL%2BPufE0ikRLFrQbFB%2Ffg%2BaeAAHt7G%2FGz7MCRc8PCzQUrIsLRF4oIofy6eUrDtbWknkeOjnIJ2G8U%2FwdobM3IeUTFiHh%2BImSNs18%2Fqf99RkkjHYsWlNjP5W5E6yquHGsGWBwsOchZAv2y4P%2BAqU2a6PDJBxTj2Wv1fFfWl5T8qQKQybA%2FBzSDJGFgKCOpvEyH1CVKDPRB0TAKoeyVFKT3uFkQcommSCMS6%2FRN%2BkTnOW%2BnpwiMMwrl%2FDs1nL8vQAPZv6J95FiR2h1JsP%2B5aSb6HGUTw25bhze%2BxDJrFWmKYSg0Jr7LQ8Oj5A1DdBaAKNObgJNrB9cnpnjp2jZS8z4f5DTEMijxoBePWe7Fjx7s%2F2OkEvje2Tmws%2FLkts27%2BDk6jHpqOV5zjfLL4mEXZfq6FaNpmxBxqqh6Fc948d%2FhIPmVwO9CEMaSUve8fOH0%2Bpu9catpCfm%2FNeJK0ZrETCbcZCbcVUTT1OjuIjR8KdUW78SnIscp5J%2FDtMhx7vo8upd4bZqi9%2BWPct47W1xLLSo2YWa2lQjdC7E8mPudoeKMz6rY5PPlWMq4YyJTNbl%2FV2PLaO2DbANmBFL6VHM6eKdTXJk%2Br2bCRG5JnjVUDBqj2HKQARrzNQUUbrUTfgBDddVaYBXllMNSxg2RVI%2FJ346Km3561tfFcEcBdDwT8mlVkBu8BJvnAohAtG%2B68uDZGqnB89vfFlIFRuRE%2F%2BDscnyqqBfzxbJUlxKis8FE3YRkjwVPOynX9hNktyjZqJIckdkEtFl9rJVjE8EesLRktIK1GCbIOWCbAy9Fd1wqxcQByIZnmpAyFXR9uzZuQpU5xdggpBc%2BltARvXOSog86Q3nFxTiSJg%2FRK0O6PgE3s8SMBMIRt6912UXAW9G4KiOhuP3G%2FM4aGMqJDv%2Bt%2B%2FsLbk6gRIt%2BBMDwPk1XqHTImZttj%2BorrKEw%3D,309,53,19,6,6,#647289481,Gadnic,NA,BT6,NA,Over-ear
7, Auriculares Bluetooth Inalambricos In Ear Twins Microfono K2 ,578,697,299,228,6 cuotas sin interés,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,3,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://articulo.mercadolibre.com.ar/MLA-777161733-auriculares-bluetooth-in-ear-inalambrico-i7s-aipods-2019-_JM,1,2,0,0,0,#777161733,TWS,Earpod,I7s,3,In-ear
8, Auriculares Bluetooth In Ear Inalambrico Recargable + Envio ,249,NA,1915,433,6 cuotas sin interés,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,52,https://perfil.mercadolibre.com.ar/QUIEROESO+YA,https://articulo.mercadolibre.com.ar/MLA-705185832-auriculares-bluetooth-deportivo-inalambrico-samsung-iphone-_JM,27,12,4,7,2,#705185832,Quiero eso ya,Bluetooth,QUIERO ESO YA,NA,Ear-Buds
9, Auriculares Bluetooth In Ear Inalambrico Con Base Recargable ,889,NA,1606,491,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3.9,46,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://articulo.mercadolibre.com.ar/MLA-764888251-auriculares-bluetooth-in-ear-inalambrico-con-base-recargable-_JM,26,7,3,1,9,#764888251,TWS,Earpod,I7s,3,In-ear
10, Auriculares Bluetooth In Ear Inalambrico I7s Aipods 2019 ,299,NA,554,585,12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.6,14,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-749501381-auricular-bluetooth-mini-manos-libres-iphone-android-running-_JM,7,0,3,2,2,#749501381,Universal,In Ear,S530,S530,Mini  bluetooth
