seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Sony Tienda oficial,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,4,años,3329,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,811,14,27,770,"Funza, Cundinamarca.",meses,4
KZCOLOMBIA,https://perfil.mercadolibre.com.co/KZCOLOMBIA,8,años,1204,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,312,2,9,301,"Bogotá, Bogotá D.C..",meses,4
BLUEKATOOM,https://perfil.mercadolibre.com.co/BLUEKATOOM,5,años,915,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,176,2,7,167,"Bogotá, Bogotá D.C..",meses,4
CRONOSELECTRONICA,https://perfil.mercadolibre.com.co/CRONOSELECTRONICA,1,año,879,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,190,1,3,186,"Bogotá, Bogotá D.C..",meses,4
COMUNICACIONESID,https://perfil.mercadolibre.com.co/COMUNICACIONESID,10,años,1368,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,317,7,11,299,"Bogotá, Bogotá D.C..",meses,4
OFERTA USA,https://perfil.mercadolibre.com.co/OFERTA+USA,14,años,1067,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,243,3,10,230,"Bogotá, Bogotá D.C..",meses,4
BELLAYVITAL,https://perfil.mercadolibre.com.co/BELLAYVITAL,10,años,2665,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,436,26,20,390,"Martires, Bogotá D.C..",meses,4
GANGAD1G1TAL,https://perfil.mercadolibre.com.co/GANGAD1G1TAL,11,años,5013,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,962,31,23,908,"Cali, Valle Del Cauca.",meses,4
MARIACLAUDIAGUEVARAPICO,https://perfil.mercadolibre.com.co/MARIACLAUDIAGUEVARAPICO,2,años,1587,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,236,7,6,223,"Bogotá, Bogotá D.C..",meses,4
SIJ DISTRIBUCIONES,https://perfil.mercadolibre.com.co/SIJ+DISTRIBUCIONES,4,años,2669,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,628,21,19,588,"Bogotá, Bogotá D.C..",meses,4
DATA ROKA,https://perfil.mercadolibre.com.co/DATA+ROKA,4,años,136,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,49,3,1,45,"Chapinero, Bogotá D.C..",meses,4
MARIAARACELLYSALAZARDUQUE,https://perfil.mercadolibre.com.co/MARIAARACELLYSALAZARDUQUE,8,meses,2146,MercadoLíder¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,358,47,23,288,"Bogotá, Bogotá D.C..",meses,4
MEGATIENDAVIRTUAL77,https://perfil.mercadolibre.com.co/MEGATIENDAVIRTUAL77,11,años,11740,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,3388,48,132,3208,"Bogotá, Bogotá D.C..",meses,4
SHOPPING--WEB,https://perfil.mercadolibre.com.co/SHOPPING--WEB,4,años,1896,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,333,27,19,287,"Bogotá, Bogotá D.C..",meses,4
Brightside Tienda oficial,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,9,meses,811,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,245,3,6,236,"Bogotá, Bogotá D.C..",meses,4
BRANDPORT SAS,https://perfil.mercadolibre.com.co/BRANDPORT+SAS,3,años,13944,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,2449,136,140,2173,"Bogotá, Bogotá D.C..",meses,4
EULALIAGIRALDO,https://perfil.mercadolibre.com.co/EULALIAGIRALDO,2,meses,655,NA,Brinda buena atención,Entrega sus productos a tiempo,74,6,3,65,"Medellín, Antioquia.",meses,2
CILIANUNLOCK,https://perfil.mercadolibre.com.co/CILIANUNLOCK,13,años,565,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,130,2,0,128,"Cali, Valle Del Cauca.",meses,4
DELLTHUS,https://perfil.mercadolibre.com.co/DELLTHUS,12,años,1165,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,323,5,6,312,"Chapinero, Bogotá D.C..",meses,4
MAOVIDEOJUEGOSYTECH07,https://perfil.mercadolibre.com.co/MAOVIDEOJUEGOSYTECH07,7,años,591,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,118,7,2,109,"Bucaramanga, Santander.",meses,4
BAGL6561050,https://perfil.mercadolibre.com.co/BAGL6561050,9,meses,1272,NA,Brinda buena atención,Entrega sus productos a tiempo,170,9,11,150,"Bogotá, Bogotá D.C..",meses,4
