search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1,Auriculares Bluetooth P47 Inalámbricos Microsd Colors En Loi,415,NA,1191,734,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.7,40,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458983451-auriculares-bluetooth-p47-inalambricos-microsd-colors-en-loi-_JM,29,10,0,0,1,#458983451,NA,NA,NA
2,Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos,2290,NA,276,4897,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.8,74,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449839490-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos-_JM,61,12,0,1,0,#449839490,JBL,T450,Con Vincha
3,Auriculares Bluetooth Manos Libres Jbl E25bt iPhone Febo,2398,NA,184,99815,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.8,21,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449243520-auriculares-bluetooth-manos-libres-jbl-e25bt-iphone-febo-_JM,16,5,0,0,0,#449243520,JBL,E25BT,Sin Vincha
4,Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ®,2690,NA,40,460,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,5,5,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457117328-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos--_JM,5,0,0,0,0,#457117328,JBL,T450,Con Vincha
5,Auriculares Manos Libres P47 Bluetooth Inalambrico Calidad,417,NA,58,952,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-453667348-auriculares-manos-libres-p47-bluetooth-inalambrico-calidad-_JM,1,1,0,0,0,#453667348,NA,NA,NA
6,Auriculares Bluetooth Caja De Carga Inalámbrica Oferta,635,NA,176,2871,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,3.5,12,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-459144646-auriculares-bluetooth-caja-de-carga-inalambrica-oferta-_JM,3,4,3,0,2,#459144646,Apple,NA,NA
7,Auriculares Bluetooth I7tws Mini Caja Carga Inalámbrica Loi,487,640,237,845,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,3.3,13,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456795897-auriculares-bluetooth-i7tws-mini-caja-carga-inalambrica-loi-_JM,4,3,2,1,3,#456795897,NA,NA,NA
8,Auriculares Bluetooth Inalámbricos! Similar Aipods Sólo Rosa,600,NA,62,6,18 cuotas,NA.NA,NA,Envío gratis a todo el país,NA,NA,3.8,5,http://perfil.mercadolibre.com.uy/IMPOCAR+SA,https://articulo.mercadolibre.com.uy/MLU-460510396-auriculares-bluetooth-inalambricos-similar-aipods-solo-rosa-_JM,2,1,1,1,0,#460510396,Apple,NA,NA
9,Auriculares Bluetooth Inalambrico Android iPhone Jogger ®,330,NA,435,4e3,18 cuotas,NA.NA,NA,Envío a todo el país,NA,NA,3.9,28,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM,11,9,4,2,2,#449191430,Jogger,NA,Sin Vincha
10,Auricular Manos Libres Bluetooth Wireless Headset,290,NA,76,66,18 cuotas,NA.NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,4,http://perfil.mercadolibre.com.uy/ILUMINAR%C3%81S,https://articulo.mercadolibre.com.uy/MLU-459217731-auricular-manos-libres-bluetooth-wireless-headset-_JM,2,2,0,0,0,#459217731,NA,NA,NA
