seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
CLOUD BUSINESS,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,6,años,1304,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,587,0,3,584,"Lima, Lima.",NA,NA
ZEALOTT IMPORTACIONES,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,2,años,1105,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,773,0,1,772,"Lima, Lima.",NA,NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,1,año,1057,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,753,0,20,733,"Lima, Lima.",NA,NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,años,4361,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2602,0,13,2589,"Lima, Lima.",NA,NA
MAJU4927724,http://perfil.mercadolibre.com.pe/MAJU4927724,2,años,1616,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1002,1,5,996,"Lima, Lima.",NA,NA
HUMA7820320,http://perfil.mercadolibre.com.pe/HUMA7820320,4,años,2192,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,877,2,48,827,"Lima, Lima.",NA,NA
FROG_PEOPLE _IMPORT,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,8,años,2362,NA,NA,NA,1611,9,191,1411,"Lima, Lima.",NA,NA
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,año,1131,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,650,0,2,648,"Lima, Lima.",NA,NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,años,23904,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8560,187,704,7669,"Lima, Lima.",NA,NA
LIZANDROAN,http://perfil.mercadolibre.com.pe/LIZANDROAN,3,años,915,NA,NA,NA,590,6,48,536,"Lima, Lima.",NA,NA
TITECHNOLOGYIMPORT,http://perfil.mercadolibre.com.pe/TITECHNOLOGYIMPORT,1,año,176,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,100,0,2,98,"Lima, Lima.",NA,NA
VENTAS O.,http://perfil.mercadolibre.com.pe/VENTAS+O.,8,años,1563,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,905,2,49,854,"Lima, Lima.",NA,NA
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,años,7234,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4506,8,350,4148,"Lima, Lima.",NA,NA
FRANKSMAZA,http://perfil.mercadolibre.com.pe/FRANKSMAZA,5,años,433,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,279,1,9,269,"Lima, Lima.",NA,NA
MKURON0,http://perfil.mercadolibre.com.pe/MKURON0,5,años,1398,NA,NA,NA,717,0,0,717,"Lima, Lima.",NA,NA
IPLUS_STORE,http://perfil.mercadolibre.com.pe/IPLUS_STORE,1,año,395,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,285,0,0,285,"Lima, Lima.",NA,NA
AVY-BELLA,http://perfil.mercadolibre.com.pe/AVY-BELLA,3,años,529,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,248,0,5,243,"Lima, Lima.",NA,NA
DIGITAL-PERU,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,10,años,9172,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5649,27,246,5376,"Lima, Lima.",NA,NA
BRUNOESPINOZAFALCN,http://perfil.mercadolibre.com.pe/BRUNOESPINOZAFALCN,1,año,1061,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,487,2,5,480,"Lima, Lima.",NA,NA
AGKE6470835,http://perfil.mercadolibre.com.pe/AGKE6470835,7,meses,17,NA,NA,NA,14,1,0,13,"Lima, Lima.",NA,NA
DIGITALPERU,http://perfil.mercadolibre.com.pe/DIGITALPERU,11,años,254,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1410,8,120,1282,"Miraflores, Lima.",NA,NA
RODRI STORE01,http://perfil.mercadolibre.com.pe/RODRI+STORE01,11,meses,405,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,198,0,1,197,"Lima, Lima.",NA,NA
SOLUMATICA IMPORT,http://perfil.mercadolibre.com.pe/SOLUMATICA+IMPORT,9,años,2331,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1330,0,43,1287,"Lima, Lima.",NA,NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,años,1110,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,713,1,26,686,"Lima, Lima.",NA,NA
MONTEZAMOVIL,http://perfil.mercadolibre.com.pe/MONTEZAMOVIL,1,año,343,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,229,1,5,223,"Lima, Lima.",NA,NA
EZ TECH,http://perfil.mercadolibre.com.pe/EZ+TECH,2,años,594,NA,NA,NA,236,3,11,222,"Lima, Lima.",NA,NA
PRO-ACCESORIOS,http://perfil.mercadolibre.com.pe/PRO-ACCESORIOS,3,años,857,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,455,0,15,440,"Lima, Lima.",NA,NA
ZONAMOVILPERU1,http://perfil.mercadolibre.com.pe/ZONAMOVILPERU1,1,año,663,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,433,2,8,423,"Lima, Lima.",NA,NA
