search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Color
1, Sony Audífonos Inalámbricos Wh-ch500 Negro ,39.99,49.990,175,2,6,6.665,NA,Envío gratis a todo el país,NA,NA,4.8,11,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-459705101-sony-audifonos-inalambricos-wh-ch500-negro-_JM,9,2,0,0,0,#459705101,Sony,WH-CH500,NA,NA
2, Audífonos Am61 Inalámbrico Bluetooth Huawei Am 61 -mobilehut ,28.99,39.990,191,4,6,4.832,NA,Envío gratis a todo el país,NA,NA,4.7,62,https://perfil.mercadolibre.cl/MOBILEHUT?brandId=166,https://articulo.mercadolibre.cl/MLC-451201533-audifonos-am61-inalambrico-bluetooth-huawei-am-61-mobilehut-_JM,51,7,3,1,0,#451201533,Huawei,AM61,NA,NA
3, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,13.99,19.990,442,1086,12,1.166,NA,Envío a todo el país,NA,NA,4.3,15,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM,9,2,3,1,0,#472793392,CHINO,I7S,In-ear,NA
4, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.99,NA,937,221,6,1.165,NA,Envío a todo el país,NA,NA,4.5,14,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM,11,1,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA
5, Audifonos Inalámbrico Bluetooth Tws-k2 AirPods - Prophone ,19.99,29.990,445,81,6,3.332,NA,Envío gratis a todo el país,NA,NA,4.2,27,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-454472669-audifonos-inalambrico-bluetooth-tws-k2-airpods-prophone-_JM,18,2,3,3,1,#454472669,NA,NA,NA,NA
6, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.99,NA,69,27,6,1.165,NA,Envío a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM,1,0,0,0,0,#491571996,NA,NA,NA,NA
7, Audifono Bluetooth Jbl S700i Oem ,19.98,NA,100,21,6,3.330,NA,Envío a todo el país,NA,NA,4.4,7,https://perfil.mercadolibre.cl/VENTASMACUL2014,https://articulo.mercadolibre.cl/MLC-462764799-audifono-bluetooth-jbl-s700i-oem-_JM,5,1,0,1,0,#462764799,JBL,NA,NA,NA
8, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.99,14.990,415,85,6,1.332,NA,Envío a todo el país,NA,NA,3.1,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,2,3,2,2,2,#459017997,TWS,I7S,NA,NA
9, Audifonos Bluetooth Tipo iPhone 7 iPhone 8 ,14.99,NA,200,16,6,2.498,NA,Envío a todo el país,NA,NA,3.3,4,https://perfil.mercadolibre.cl/TELOTENEMOS.CL,https://articulo.mercadolibre.cl/MLC-461170076-audifonos-bluetooth-tipo-iphone-7-iphone-8-_JM,2,0,0,1,1,#461170076,NA,NA,NA,NA
10, Audifonos Con Bluetooth Sony Oem Con Luz Led ,15.99,19.990,94,6,6,2.665,NA,Envío a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ELECTRONICA_ROCA,https://articulo.mercadolibre.cl/MLC-464459355-audifonos-con-bluetooth-sony-oem-con-luz-led-_JM,5,1,0,0,1,#464459355,Sony,NA,NA,NA
11, Audífonos Bluetooth Auriculares Inalámbrico Caildad!!! ,9.99,NA,464,261,6,1.665,NA,Envío a todo el país,NA,NA,4.7,36,https://perfil.mercadolibre.cl/MUNDOMAGIA%C3%91U%C3%91OA,https://articulo.mercadolibre.cl/MLC-447161588-audifonos-bluetooth-auriculares-inalambrico-caildad-_JM,30,3,2,0,1,#447161588,NA,NA,NA,NA
12, Manos Libres Bluetooth Mini Auricular ,3.99,NA,322,38,12,332,NA,Envío a todo el país,NA,NA,4,4,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-465965042-manos-libres-bluetooth-mini-auricular-_JM,2,0,2,0,0,#465965042,NA,NA,NA,NA
13, Auricular Inalambrico Bluetooth Manos Libres Tipo Airpod ,3.79,NA,165,7,12,316,NA,Envío a todo el país,NA,NA,3,2,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-460325127-auricular-inalambrico-bluetooth-manos-libres-tipo-airpod-_JM,0,0,2,0,0,#460325127,i7,I7,Headset,NA
