search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Color
1, Audífonos Bluetooth Bt-100 Negro Maxell- Con Obsequio ,9.990,15.990,"
			
			
				
				308
				vendidos
			
		",(10 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,31,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-con-obsequio-_JM,22,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA,NA
2, Sony Audífonos Inalámbricos Wh-ch500 Negro ,39.990,49.990,"
			
			
				
				177
				vendidos
			
		","
		
			¡Último disponible!
		
	","
	
		
			
		
		6 cuotas de
		
			
				$ 6.665
			
		
		 sin interés
		
	

	
		","
				$ 6.665
			",NA,Envío gratis a todo el país,NA,NA,4.8,12,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-459705101-sony-audifonos-inalambricos-wh-ch500-negro-_JM,10,2,0,0,0,#459705101,Sony,WH-CH500,NA,NA
3, Audifonos Bluetooth Qcy T1c ,23.690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				173
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.948
			
		
		 sin interés
		
	

	
		","
				$ 3.948
			",NA,Envío gratis a todo el país,NA,NA,4.7,16,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-471677503-audifonos-bluetooth-qcy-t1c-_JM,12,3,1,0,0,#471677503,QCY,T1c / T1,TWS,NA
4, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,13.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				450
				vendidos
			
		",(1082 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.166
			
		
		 sin interés
		
	

	
		","
				$ 1.166
			",NA,Envío a todo el país,NA,NA,4.3,15,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM,9,2,3,1,0,#472793392,CHINO,I7S,In-ear,NA
5, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				92
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.5,2,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM,NA,NA,NA,NA,NA,#491571996,NA,NA,NA,NA
6, Audifonos Bluetooth P47 Stereo Radio Mp3 Inalambricos /04126 ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				951
				vendidos
			
		",(216 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.5,14,https://perfil.mercadolibre.cl/CUPOCLICKCHILE,https://articulo.mercadolibre.cl/MLC-473637938-audifonos-bluetooth-p47-stereo-radio-mp3-inalambricos-04126-_JM,11,1,1,0,1,#473637938,047,WIRELESS 4.2+EDR,Headset,NA
7, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				422
				vendidos
			
		",(78 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.1,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,2,3,2,2,2,#459017997,TWS,I7S,NA,NA
8, Audifonos Inalámbrico Bluetooth Tws-k2 AirPods - Prophone ,19.990,29.990,"
			
				Nuevo
			
			
				
					 - 
				
				450
				vendidos
			
		",(76 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.2,27,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-454472669-audifonos-inalambrico-bluetooth-tws-k2-airpods-prophone-_JM,18,2,3,3,1,#454472669,NA,NA,NA,NA
9, Audifonos Bluetooth Tipo iPhone 7 iPhone 8 ,14.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				201
				vendidos
			
		",(15 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 2.498
			
		
		 sin interés
		
	

	
		","
				$ 2.498
			",NA,Envío a todo el país,NA,NA,3.3,4,https://perfil.mercadolibre.cl/TELOTENEMOS.CL,https://articulo.mercadolibre.cl/MLC-461170076-audifonos-bluetooth-tipo-iphone-7-iphone-8-_JM,2,0,0,1,1,#461170076,NA,NA,NA,NA
10, 1 Audífono Bluetooth I7s Tws Gamer V2.0 ,1.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				64
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 166
			
		
		 sin interés
		
	

	
		","
				$ 166
			",NA,Envío a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/CELLBOX.CL,https://articulo.mercadolibre.cl/MLC-469009538-1-audifono-bluetooth-i7s-tws-gamer-v20-_JM,NA,NA,NA,NA,NA,#469009538,NA,NA,NA,NA
