search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato
1, Stock Audifonos Original Xiaomi Redmi Airdots Envió Inmediat ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				480
				vendidos
			
		",(778 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,81,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM,55,22,4,0,0,#436293760,Xiaomi,Redmi AirDots,Headset
2, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				39
				vendidos
			
		",(35 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM,5,1,0,0,0,#435128963,JBL,T110,NA
3, Audifonos Original Xiaomi Redmi Airdots En Stock + Tienda !! ,89,119,"
			
				Nuevo
			
			
				
					 - 
				
				159
				vendidos
			
		",(441 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,81,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-en-stock-tienda--_JM,55,22,4,0,0,#433005812,Xiaomi,AirDots,In-ear
4, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				412
				vendidos
			
		",(32 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,29,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM,15,11,1,0,2,#420579803,NA,NA,NA
5, Stock Audifonos Original Xiaomi Redmi Airdots + Cable Usb ,88,NA,"
			
				Nuevo
			
			
				
					 - 
				
				142
				vendidos
			
		",(121 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.6,81,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-cable-usb-_JM,55,22,4,0,0,#436361713,Xiaomi,Redmi Airdots,Headset
6, Audifonos I7s Plus Bluetooth 5.0 Inalambricos Apple Android ,64,NA,"
			
				Nuevo
			
			
				
					 - 
				
				310
				vendidos
			
		",(290 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,2.0,1,http://perfil.mercadolibre.com.pe/HUMA7820320,https://articulo.mercadolibre.com.pe/MPE-433034458-audifonos-i7s-plus-bluetooth-50-inalambricos-apple-android-_JM,NA,NA,NA,NA,NA,#433034458,i7s Plus,NA,NA
7, Audifonos Hands Free Bluetooth V4.1 Micro Magneticos ,17,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/VENTAS+O.,https://articulo.mercadolibre.com.pe/MPE-436216694-audifonos-hands-free-bluetooth-v41-micro-magneticos-_JM,NA,NA,NA,NA,NA,#436216694,NA,NA,NA
8, Audifonos Deportivos Bluetooth 4.2 Inalámbricos Radio Sd ,49,NA,"
			
				Nuevo
			
			
				
					 - 
				
				618
				vendidos
			
		",(382 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.4,9,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-418636835-audifonos-deportivos-bluetooth-42-inalambricos-radio-sd-_JM,5,3,1,0,0,#418636835,st3,NA,NA
9, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,"
			
				Nuevo
			
			
				
					 - 
				
				66
				vendidos
			
		",(33 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,5,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM,5,0,0,0,0,#436048863,Samsung,Buds,In-ear
10, Audifonos Bluetooth Inalambrico I7s Tws Itelsistem ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				25
				vendidos
			
		",(75 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,https://articulo.mercadolibre.com.pe/MPE-435912653-audifonos-bluetooth-inalambrico-i7s-tws-itelsistem-_JM,NA,NA,NA,NA,NA,#435912653,NA,NA,NA
11, Motorola Audifonos Bluetooth Pulse Escape Super Combo Pack ,149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				119
				vendidos
			
		",(33 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,17,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-433512029-motorola-audifonos-bluetooth-pulse-escape-super-combo-pack-_JM,14,3,0,0,0,#433512029,Motorola,Pulse Escape,Over-ear
