search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Formato,Línea,Color
1, Audífonos Bluetooth Bt-100 Negro Maxell- Entrega Inmediata. ,9.990,15.990,"
			
			
				
				325
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,31,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-entrega-inmediata-_JM,22,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA,NA,NA
2, Audífonos Inalámbricos Bluetooth Bose Soundsport Free ,179.990,NA,"
			
			
				
				61
				vendidos
			
		",(3 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 14.999
			
		
		 sin interés
		
	

	
		","
				$ 14.999
			",NA,Envío gratis a todo el país,NA,NA,5.0,1,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=392,https://articulo.mercadolibre.cl/MLC-472192834-audifonos-inalambricos-bluetooth-bose-soundsport-free-_JM,NA,NA,NA,NA,NA,#472192834,Bose,SSPORTFREEB,NA,NA,NA
3, Audifonos Bluetooth Qcy T1c ,23.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				192
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.998
			
		
		 sin interés
		
	

	
		","
				$ 3.998
			",NA,Envío gratis a todo el país,NA,NA,4.7,20,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-471677503-audifonos-bluetooth-qcy-t1c-_JM,15,4,1,0,0,#471677503,QCY,T1c / T1,TWS,NA,NA
4, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				139
				vendidos
			
		",(957 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.7,3,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM,2,1,0,0,0,#491571996,NA,NA,NA,NA,NA
5, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				474
				vendidos
			
		",(1074 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.3,15,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM,9,2,3,1,0,#472793392,CHINO,I7S,In-ear,NA,NA
6, Audifonos Inalámbrico Bluetooth Tws-k2 AirPods - Prophone ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				455
				vendidos
			
		",(71 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.2,27,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-454472669-audifonos-inalambrico-bluetooth-tws-k2-airpods-prophone-_JM,18,2,3,3,1,#454472669,NA,NA,NA,NA,NA
7, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				435
				vendidos
			
		",(65 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.2,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM,3,2,2,2,2,#459017997,TWS,I7S,NA,NA,NA
8, Auricular Inalambrico Bluetooth Manos Libres Tipo Airpod ,3.790,NA,"
			
				Nuevo
			
			
				
					 - 
				
				173
				vendidos
			
		",(7 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 316
			
		
		 sin interés
		
	

	
		","
				$ 316
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/LAOCASIONSTORE,https://articulo.mercadolibre.cl/MLC-460325127-auricular-inalambrico-bluetooth-manos-libres-tipo-airpod-_JM,NA,NA,NA,NA,NA,#460325127,i7,I7,Headset,Bluetooth,NA
9, Audifonos Con Bluetooth Sony Oem Con Luz Led ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				101
				vendidos
			
		",(109 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.332
			
		
		 sin interés
		
	

	
		","
				$ 3.332
			",NA,Envío gratis a todo el país,NA,NA,4.3,7,https://perfil.mercadolibre.cl/ELECTRONICA_ROCA,https://articulo.mercadolibre.cl/MLC-464459355-audifonos-con-bluetooth-sony-oem-con-luz-led-_JM,5,1,0,0,1,#464459355,Sony,NA,NA,NA,NA
10, Audífonos Bluetooth Stereo Mp3- Aux ,19.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				293
				vendidos
			
		",(5 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.666
			
		
		 sin interés
		
	

	
		","
				$ 1.666
			",NA,Envío gratis a todo el país,NA,NA,4.3,29,https://perfil.mercadolibre.cl/MARE8077404,https://articulo.mercadolibre.cl/MLC-448133358-audifonos-bluetooth-stereo-mp3-aux-_JM,16,9,1,2,1,#448133358,NA,NA,NA,NA,NA
