search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1, Redlemon Audífonos Bluetooth Manos Libres Sonido Hd Portátil ,331,349,"
			
			
				
				4716
				vendidos
			
		",(110 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1842
		
		 sin intereses
		
	

	
		",42,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.8,130,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,https://articulo.mercadolibre.com.mx/MLM-626523199-redlemon-audifonos-bluetooth-manos-libres-sonido-hd-portatil-_JM?searchVariation=23891594869,64,23,18,7,18,#626523199,REDlemon,Audio Bluetooth,I7,RL,In-ear
2, Redlemon Audífonos Bluetooth 5.0 Tws Base Carga Contra Agua ,799,NA,"
			
			
				
				1840
				vendidos
			
		",(113 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4439
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,73,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,https://articulo.mercadolibre.com.mx/MLM-659989626-redlemon-audifonos-bluetooth-50-tws-base-carga-contra-agua-_JM?searchVariation=31744770824,59,10,2,1,1,#659989626,REDlemon,Audio Bluetooth,TWS 5.0,RL,Ear-Buds
3, Audifonos Bluetooth 5.0 Manos Libres I7s AirPods ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5048
				vendidos
			
		",(513 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1176
		
		 sin intereses
		
	

	
		",76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,29,https://perfil.mercadolibre.com.mx/GAMEX+COMERCIAL,https://articulo.mercadolibre.com.mx/MLM-628080138-audifonos-bluetooth-50-manos-libres-i7s-airpods-_JM?searchVariation=38947358832,16,5,5,1,2,#628080138,Universal,NA,iPhone,NA,In-ear
4, Audífonos Magnéticos Bluetooth Llamada Música iPhone Android ,69,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6306
				vendidos
			
		",(298 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 383
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,37,https://perfil.mercadolibre.com.mx/EZSHOP.MX,https://articulo.mercadolibre.com.mx/MLM-591603217-audifonos-magneticos-bluetooth-llamada-musica-iphone-android-_JM?searchVariation=20071384308,25,8,1,0,3,#591603217,Universal,Bluetooth,Magnéticos,M9,Clip-ear
5, Audifonos Bluetooth Resistentes Al Agua Manos Libre Luz Roja ,923,"1,087","
			
				Nuevo
			
			
				
					 - 
				
				3572
				vendidos
			
		",(84 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 5133
		
		 sin intereses
		
	

	
		",33,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,284,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-659636323-audifonos-bluetooth-resistentes-al-agua-manos-libre-luz-roja-_JM,205,51,18,4,6,#659636323,Arbily,Audio Bluetooth,TWS-T8,AR,Ear-Buds
6, Audifonos Sport Bluetooth Sports Manos Libres Nuevos! ,38,NA,"
			
				Nuevo
			
			
				
					 - 
				
				4650
				vendidos
			
		",(158 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 375
		
		 sin intereses
		
	

	
		",75,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,11,https://perfil.mercadolibre.com.mx/COMPU_VICHIS,https://articulo.mercadolibre.com.mx/MLM-677136378-audifonos-sport-bluetooth-sports-manos-libres-nuevos-_JM,7,2,0,1,1,#677136378,CHINA,NA,Bluetooth,NA,In-ear
7, Manos Libres Bluetooth Mini Audifono Selfie M165 ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				547
				vendidos
			
		",(67 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 583
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.8,10,https://perfil.mercadolibre.com.mx/2GOGEEK,https://articulo.mercadolibre.com.mx/MLM-609450622-manos-libres-bluetooth-mini-audifono-selfie-m165-_JM?searchVariation=19545265916,1,6,3,0,0,#609450622,Universal,2GOGEEKS,M165,2GGS,In-ear
8, Audifonos Bluetooth 5.0 Manos Libres I7s AirPods ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5048
				vendidos
			
		",(513 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1176
		
		 sin intereses
		
	

	
		",76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,29,https://perfil.mercadolibre.com.mx/GAMEX+COMERCIAL,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=Fzm6g2%2BwX8OsdbGlrHTrbr%2BF3%2BvGH7%2B%2B2Cl3%2F6%2FZLD47LaxuW6ClwozYoOwY1yX9yeJMq6copSHo55UmA9atpvUrzDqW8orIfshQ51RSMsPpnRkY%2FvGpXeg5Uk6nJFVx%2FnR1zYXimKI28DOc%2ByqNLZvJcnfW2BSgd8TR96i5JfnRaefUG0%2B6W%2Fhdnegx%2BVRqhbg80sFpLSzS4Ba6%2FsNdOoe%2Fl2g0XO3tHvyYC6Uskx46n1xh3GD6mE1DFYo%2F40bwrOc73mYJqkS2cgelVJsJzX42dU3LZy8KnW641WGM1wveQLNqeQa82%2FT6GBwXeqdldr05q6k5kyYNprGUkb7vxYhtDrnX5pakgW6YjxG4dt1CIqgX972hi3MAA8QUGzMX%2FuEOnak8dM0v46qMMXZ94xz6SWPsKpbpIx769C08cyXrk8dCwvX84zlL6xq5C8tN%2F%2FIwx%2FwncsXtoY0a8AkkwDnzTrtv1uocrN42p1dZp9Pvt%2FO1KxqTstMpEFD17CfvaO36bAYfeZ%2BHswRCtIuz9yWitYcZn8juNxklQZlLv7sD4Slu2JmlKiK1EIjJirIoOaRch7zZEbR47XrR97qVXms10iGciA%2FXhBDWKm6PjhcHs0%2F2RNHmEY%2BogAfNSa1NguoF4BY3FeNlPo2SWHY9B3zQec2Zvxlamawi6ADP89KIq5pViO4uwxijjbEnIdBX8YrnKi1bLOozg5b1u95721mI3MgreTL%2BG7EuiEkqPva0m17K1ePCU5wepRpWhQefkLKfVIV89s5ud6Llos4HIrgW1ThxvRV0mi35GK5MPT%2FEqijFU0TXlH8KvR3uF8984ozj6Q8OQUpCzHJn51kzQrkCcxMuWBlLho8nQfX3NkQhmver4Es2E6CxpI5GSA4%2FGPsoJSa4zL3R7w%2B%2BEN5Bz1AlBkvzJDu%2BqdVR2Q7qNFzFcfGSESpZnVjDnkWGRIMVKiiJtvAomuHy1MVOS2i8gtwGMJVLB%2BbAWxdLX3WD4TyAMUSWXNF2Gw8pNXzH3Y5NKZx0LC6KC6jPxOFyZPqmsXGJjfuP2n2Lmw7t091NZTlatL1DLpiyuU3wjxApaVO45rfHYVrUN27%2BoLV6IpPlkyzIoUh54E7F%2Ba7ak9sN09qA0tQlLx5NS6bIKnIde8%2BIdhIz5Pfp1IRQgXmtIlawXWg%2Fd0lSgAKxAm58QADG28ayPbVuVTrL3AWSUjCvsKL6VOLJZYMTmWJ0eOIVNdZ1k6QUZI47xj15YCPLYC8wL3BXK4UzCeCkxxqTE6dguKBvQoPtJIKAMrbBWzn%2FOvtcYwxgil%2FdC22VCytUjBgpOORd1v8uBQM%2B%2FYty8G9v9uDiUHX%2FfsGjx50aX87cbxxa%2BZhfHBArdIQz5jJVHHrq3pt8Xpq1a5G91GNu6TVmQVFvTY1N%2Bt6YbdlCLW8V2uo7oFbmvH1svAviZ1b8MfLuuhhfXhtzZyEeVudo4YigFsg%2FmyuXmqKak7XFIQW0%2BvFctXKVvXjON7J9d5W9EydTsMBJhBHgcwSyOM1OC9jKLZFJe4tTxKSin%2BCoE34G9KEf%2Bqth65KY9gyfnpxIJhHZGNHa4mAyjNtH%2FIj2OVOwZ%2BB%2FQEKu0yuaRdpmOQIu9nRpGnaqDtzUzs721JaaR7Bglm8gTJgwqar%2BVQz%2ByKIVanUuWuKsI4OsKuAULz1hPiVEPE%2FuZYCCaGiUD0c3CSh%2BC2D08mnF2zPHNBc0766fDcg%3D,16,5,5,1,2,#628080138,Universal,NA,iPhone,NA,In-ear
9," Mini Audífonos Tipo Airpod I7s Tws Bluetooth iPhone, Android ",145,NA,"
			
				Nuevo
			
			
				
					 - 
				
				11747
				vendidos
			
		",(66 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1432
		
		 sin intereses
		
	

	
		",32,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,117,https://perfil.mercadolibre.com.mx/EZSHOP.MX,https://articulo.mercadolibre.com.mx/MLM-591570562-mini-audifonos-tipo-airpod-i7s-tws-bluetooth-iphone-android-_JM?searchVariation=26061956012,69,21,12,8,7,#591570562,Universal,NA,i7s,NA,In-ear
10, Audífonos Bluetooth Inalámbricos Estereo AirPods Con Estuche ,179,199,"
			
				Nuevo
			
			
				
					 - 
				
				989
				vendidos
			
		",(225 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 1769
		
		 sin intereses
		
	

	
		",69,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,3.3,21,https://perfil.mercadolibre.com.mx/SOLUCIONESALTHEA,https://articulo.mercadolibre.com.mx/MLM-667079139-audifonos-bluetooth-inalambricos-estereo-airpods-con-estuche-_JM?searchVariation=33580995695,7,4,3,2,5,#667079139,TWS,Audífonos Bluetooth,i7s,NA,In-ear
