search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato,Color
1, Audífonos Sony Bluetooth Y Función Manos Libres - Wh-ch500 ,159.900,229.900,"
			
			
				
				178
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 4.442
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,37,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-474486245-audifonos-sony-bluetooth-y-funcion-manos-libres-wh-ch500-_JM#position=1&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,26,9,2,0,0,#474486245,Sony,MDR,WH-CH500,Headset,NA
2, Audífonos Sony Noise Cancelling Bluetooth - Wh-1000xm3 ,1.199.900,1.699.900,"
			
			
				
				29
				vendidos
			
		",(30 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 99.992
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,5.0,11,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,https://articulo.mercadolibre.com.co/MCO-508155527-audifonos-sony-noise-cancelling-bluetooth-wh-1000xm3-_JM#position=2&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,11,0,0,0,0,#508155527,Sony,NA,WH-1000XM3,NA,NA
3, Xiaomi Redmi Airdots Audífonos Bluetooth Originales ,99.800,NA,"
			
				Nuevo
			
			
				
					 - 
				
				422
				vendidos
			
		",(644 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.772
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.6,44,https://perfil.mercadolibre.com.co/CASESHOPCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-523095422-xiaomi-redmi-airdots-audifonos-bluetooth-originales-_JM#position=3&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,31,10,3,0,0,#523095422,Xiaomi,Mi,AirDots,In-ear,NA
4, Audifonos Touch Bluetooth Auriculares Inalambricos Manos Lib ,118.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				613
				vendidos
			
		",(214 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 9.916
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.4,34,https://perfil.mercadolibre.com.co/KZCOLOMBIA,https://articulo.mercadolibre.com.co/MCO-479127462-audifonos-touch-bluetooth-auriculares-inalambricos-manos-lib-_JM#position=4&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,22,8,2,1,1,#479127462,NA,NA,NA,NA,NA
5, Audífonos Xiaomi Redmi Airdots Bluetooth 100% Originales ,99.500,NA,"
			
				Nuevo
			
			
				
					 - 
				
				352
				vendidos
			
		",(87 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 2.764
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,4.7,14,https://perfil.mercadolibre.com.co/PROVEEDOR123,https://articulo.mercadolibre.com.co/MCO-522280654-audifonos-xiaomi-redmi-airdots-bluetooth-100-originales-_JM#position=5&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,11,2,1,0,0,#522280654,NA,NA,NA,NA,NA
6, Audífonos Bluetooth Deportivos R1 Micrófono 5 Horas Potente ,24.900,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1297
				vendidos
			
		",(936 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.075
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,54,https://perfil.mercadolibre.com.co/BLUEKATOOM,https://articulo.mercadolibre.com.co/MCO-488593898-audifonos-bluetooth-deportivos-r1-microfono-5-horas-potente-_JM#position=6&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,32,11,6,3,2,#488593898,BlueKatoom,NA,R1,In-ear,NA
7, Mini Audífono Inalambrico Bluetooth + Obsequio ,14.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				741
				vendidos
			
		",(20 disponibles),"
	
		
			
		
		36 cuotas de
		
			
				$ 389
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.3,9,https://perfil.mercadolibre.com.co/COMUNICACIONESID,https://articulo.mercadolibre.com.co/MCO-495064791-mini-audifono-inalambrico-bluetooth-obsequio-_JM#position=7&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,6,1,1,1,0,#495064791,NA,NA,NA,NA,Negro
8, Audífonos Bluetooth Inalámbricos ,45.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				407
				vendidos
			
		",(204 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 3.750
			
		
		 sin interés
		
	

	
		",NA,NA,Envío gratis a nivel nacional,NA,NA,3.2,19,https://perfil.mercadolibre.com.co/BELLAYVITAL,https://articulo.mercadolibre.com.co/MCO-488555518-audifonos-bluetooth-inalambricos-_JM#position=8&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,7,3,2,1,6,#488555518,NA,NA,NA,NA,NA
9, Audifono Bluetooth I7s Tws Tipo AirPods + Base De Carga ,30.000,NA,"
			
				Nuevo
			
			
				
					 - 
				
				494
				vendidos
			
		",(157 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.500
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,3.4,15,https://perfil.mercadolibre.com.co/VYH+TECHSOLUTIONS,https://articulo.mercadolibre.com.co/MCO-498995590-audifono-bluetooth-i7s-tws-tipo-airpods-base-de-carga-_JM#position=9&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,3,7,1,1,3,#498995590,NA,NA,NA,NA,NA
10," Audifonos Inalambricos N65s Micro Sd, Fm, Bluetooth Lcd 1.5 ",28.999,NA,"
			
				Nuevo
			
			
				
					 - 
				
				682
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 2.417
			
		
		 sin interés
		
	

	
		",NA,NA,Envío a nivel nacional,NA,NA,4.6,23,https://perfil.mercadolibre.com.co/OFERTA+USA,https://articulo.mercadolibre.com.co/MCO-453313132-audifonos-inalambricos-n65s-micro-sd-fm-bluetooth-lcd-15-_JM#position=10&type=item&tracking_id=19b267aa-6b9a-4b94-9d67-0856f9422c0a,17,5,0,0,1,#453313132,NA,NA,NA,Over-ear,NA
