search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1, Auriculares Bluetooth In Ear Instto Insun X S iPhone Android ,4999,NA,"
			
			
				
				856
				vendidos
			
		",(59 disponibles),6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,288,https://perfil.mercadolibre.com.ar/TIENDAS+ELECTROSHOWS?brandId=1507,https://articulo.mercadolibre.com.ar/MLA-754700205-auriculares-bluetooth-in-ear-instto-insun-x-s-iphone-android-_JM#position=1&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,165,79,26,11,7,#754700205,Instto,INSUN,InSun X,Insun XS,In-ear
2, Auriculares Bluetooth Sony Wh-1000xm3 Preventa Entrega 26/08 ,24999,NA,"
			
			
				
				97
				vendidos
			
		",(4 disponibles),6 cuotas sin interés,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,13,https://perfil.mercadolibre.com.ar/SONY+ARGENTINA?brandId=140,https://articulo.mercadolibre.com.ar/MLA-808794182-auriculares-bluetooth-sony-wh-1000xm3-preventa-entrega-2608-_JM#position=2&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,11,2,0,0,0,#808794182,Sony,1000X Series,WH-1000XM3,WH-1000XM3,Over-ear
3, Auriculares Bluetooth Inalambricos In Ear Con Base Recargable ,798,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2024
				vendidos
			
		",(161 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,77,https://perfil.mercadolibre.com.ar/TPSHOP_BAIRES,https://articulo.mercadolibre.com.ar/MLA-764888251-auriculares-bluetooth-inalambricos-in-ear-con-base-recargable-_JM#position=3&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,44,15,4,1,13,#764888251,TWS,Earpod,I7s,3,In-ear
4, Auriculares Bluetooth Inalambrico 4.2 In Ear Base Recargable ,699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				802
				vendidos
			
		",(338 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,16,https://perfil.mercadolibre.com.ar/01ENLINEA.COM.AR,https://articulo.mercadolibre.com.ar/MLA-791375058-auriculares-bluetooth-inalambrico-42-in-ear-base-recargable-_JM#position=4&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,10,5,0,0,1,#791375058,TWS,NA,I7s,I7s,In-ear
5, Auriculares Bluetooth Celular Inalambrico Deportivo In Ear ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				805
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,6,https://perfil.mercadolibre.com.ar/01ENLINEA.COM.AR,https://articulo.mercadolibre.com.ar/MLA-786431094-auriculares-bluetooth-celular-inalambrico-deportivo-in-ear-_JM#position=5&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,4,0,1,0,1,#786431094,Ajavision,Bluetooth,S6 Magnet,S-6,In-ear
6, Auriculares Bluetooth +5.0 Inalambricos I7s Pro In Ear ,899,NA,"
			
				Nuevo
			
			
				
					 - 
				
				508
				vendidos
			
		",(423 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,7,https://perfil.mercadolibre.com.ar/TIENDAGALAXY,https://articulo.mercadolibre.com.ar/MLA-803432284-auriculares-bluetooth-50-inalambricos-i7s-pro-in-ear-_JM#position=6&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,3,2,1,1,0,#803432284,TWS,In-ear,i7S TWS,i7S TWS,In-ear
7, Auricular Bluetooth Mini Manos Libres iPhone Android Running ,375,NA,"
			
				Nuevo
			
			
				
					 - 
				
				713
				vendidos
			
		",(484 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,3.4,18,https://perfil.mercadolibre.com.ar/UNIVERSALSHOPS,https://articulo.mercadolibre.com.ar/MLA-749501381-auricular-bluetooth-mini-manos-libres-iphone-android-running-_JM#position=7&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,7,2,3,3,3,#749501381,Universal,In Ear,S530,S530,Mini  bluetooth
8, Auriculares Bluetooth Celular Inalambrico Deportivo In Ear ,269,NA,"
			
				Nuevo
			
			
				
					 - 
				
				805
				vendidos
			
		",(8 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.0,6,https://perfil.mercadolibre.com.ar/01ENLINEA.COM.AR,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=IMh%2BCywEHdxlD7M0iAnO6D0rkEPG1ig5fGpOOGsovs2OQm1Z7I57LLgwP7KwCV0%2BC%2FhLm6UjkjpTXPXIeLBXV5bGC%2BKgrpJ5sYxaRiMN9dxKd9NibKDkHYK6bUYI6cAJHlL9MG2WRmpl7ABNS%2BdHKiunb0v6T6yf6WXm1sHuYF%2FHp6svIE5rHqdXblj39BC4YIOAYVZG3BY%2FHX1SAGBufRJvrROiMCbSFd9FFmMnx6dlND1ep24GoLN8nNO6%2FjUEBhkSOAg2can3Ez1GkL4ZvjpQiVQ0Zl7WesLfHEsKwaczGHhNLDValVGCjV4nWGjNUHI%2B1pBdo%2FCqe0DXfYvuMrzuseczBXhczXlHXUTszNcmAJxnVUTn3g8UAIEM8XSyfX5MUn3vC1rhRTGQ5xtChnjhfyjmKmCbc9q5zL7TGWjL8t6Vv6B3wYgENLMrvv2G4TLq7IdBEr8T7436o8GPTK%2F1cMuMoSeXn4yzhQcfjqbd6vCO0UdNMHKKNlnPuGJ5QNap34N7SeFrx0mYeSvb5vUqqYR5C5C5Su9fIBepV0fyfcsfF2bV1QZ%2FWymks8Swk%2Bth8NUYLuWIpfkS2h9Owcjm3prJ%2FqpqXS8%2FRCb3O4aFi7B2%2FDq4WwP8abV5TIPaoBT2TiuEJGubFRfpfgQ5cuUsJDgrX1LSka7rV8g%2FBDTeYy6upKQ%2BJKLxQwoigrSrTv3uWNsaL6yi5hJPEc%2B%2FO9FW5hPq%2BeXRnY4aIfdGqQxKI9WpGxH2iBpQ0FCxbkYwGhSs8OhZTpbqeL3jpDBa8A6c2X3DtCExiqWBQ6C%2BDQaSH2%2BDfM3xnPCF4xpqur0n8IwlVUsl6tRTM68J6LZwleEMInSssbhQAap1xQ0BZh4qJUJmN3q4Z0u0FEMAqNwwXa2WuipeCOHryKS4gAemXwgi8pkTCSJ0NBE3lsO7Ujp54NbtE%2BCh6Wbvs14wJG3q5zH%2FWmpU6hjfYf%2BYo8REmVUHgccwZACdNP6QB74hT8LQ4FISaDzXpJR0IZTnUKGl5cVi8IiRFZZp6F5GlVgK6i0Vj6HohrAqaYpl6BOZOTFfmAXu2Mr1BLCo2HB4dn8xumgcnzfvD2%2FQak11N1cUAHwfzcW%2BOgDcixKHqjzV55kp8y2kqYTQH5CVfzIAoWjjgaUGA2ofrs5E4db3fjOmiU%2BG51UU7lHOF0K41cvxoMFXLU2O6jd0bqzNSaJKklpPQxL3LfMHQLOjxnV7TYw%2B%2FuthVb3Pfgp754akzefjbfxovsOGbTt2dmKcVoL0EvzkR02b6lKo6Kcp2vQb05LtQKmFKpM37IKG30qTcp7JFTl3abL4AwooC6x3Wo0nVVPfyO3Gp%2BKPuZ4yiH6hPaWGdye3QuYOCtOebJRfruMvZIcbWp7i73s3A8VCoYOIMmdA34imTU802nlHlLzsQxPPLo5FUDbHSS%2FRR%2BugyMHHwUj06urXmO4rR%2BeGIseUqnUthpUF1Xg9XJOBjSi0ZTsxx%2BZV0z2%2FFz5ZNwHYKmgW0cA0LznRtIB%2BQ0nc1QrADKnbXbC0YrgTkFiSzYYevqxqe06PwbEoRzqj1H5Sfatc5E3%2FWsVbIRMWs%2FVLcow8yRpxGZq%2F4otzNP9cKXuPKhVs%2BmXVur0pkR5W9UggnDquWNM6cw8aQzJjNS4tZm7n4uP9JVPf%2FDNS68JesicXLYmMBT7fFYMV%2FAbgh20mmwi3uAt6YgHU%2FqRLA2yOPd5PoJmVC4StzLD0KyJHVCg9E2vSKTw%3D,4,0,1,0,1,#786431094,Ajavision,Bluetooth,S6 Magnet,S-6,In-ear
9, Auriculares Bluetooth Inalambrico I7s iPhone Android AirPods ,769,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1021
				vendidos
			
		",(50 disponibles),12 cuotas,NA,NA,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.1,20,https://perfil.mercadolibre.com.ar/READYGOWEB,https://articulo.mercadolibre.com.ar/MLA-736879465-auriculares-bluetooth-inalambrico-i7s-iphone-android-airpods-_JM#position=9&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,10,5,3,0,2,#736879465,i7tsw,tws,EarPods,NA,In-ear
10, Auriculares Bluetooth A7 - Alta Gama - 4hs De Musica Sup I7s ,2398,NA,"
			
				Nuevo
			
			
				
					 - 
				
				323
				vendidos
			
		",(49630 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,18,https://perfil.mercadolibre.com.ar/JMS-IMPORTACIONES,https://articulo.mercadolibre.com.ar/MLA-762680561-auriculares-bluetooth-a7-alta-gama-4hs-de-musica-sup-i7s-_JM#position=10&type=item&tracking_id=f538ad07-2b31-4888-8c5e-3dc00f3926f3,12,2,3,0,1,#762680561,JMS,In Ear,A7 TWS,NA,In-ear
