search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Color,Formato,Línea
1, Audífonos Bluetooth Bt-100 Negro Maxell- Entrega Inmediata. ,9.990,15.990,"
			
			
				
				336
				vendidos
			
		",(2 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 832
			
		
		 sin interés
		
	

	
		","
				$ 832
			",NA,Envío a todo el país,NA,NA,4.5,32,https://perfil.mercadolibre.cl/MAXELL+CHILE?brandId=219,https://articulo.mercadolibre.cl/MLC-452371070-audifonos-bluetooth-bt-100-negro-maxell-entrega-inmediata-_JM#position=1&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,23,5,2,2,0,#452371070,Maxell,EB-BT100 CARBON,NA,NA,NA
2, Sony Audífonos Inalámbricos Wh-ch500 Negro ,32.990,49.990,"
			
			
				
				195
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 5.498
			
		
		 sin interés
		
	

	
		","
				$ 5.498
			",NA,Envío gratis a todo el país,NA,NA,4.9,13,https://perfil.mercadolibre.cl/-SONY+CHILE?brandId=32,https://articulo.mercadolibre.cl/MLC-459705101-sony-audifonos-inalambricos-wh-ch500-negro-_JM#position=2&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,12,2,0,0,0,#459705101,Sony,WH-CH500,Negro,Over-ear,NA
3, Audífonos Bluetooth Tipo I7s Tws Gamer V4.2 Oem ,6.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				211
				vendidos
			
		",(885 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.165
			
		
		 sin interés
		
	

	
		","
				$ 1.165
			",NA,Envío a todo el país,NA,NA,4.3,8,https://perfil.mercadolibre.cl/MAMI+HOUSE,https://articulo.mercadolibre.cl/MLC-491571996-audifonos-bluetooth-tipo-i7s-tws-gamer-v42-oem-_JM#position=3&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,4,3,0,1,0,#491571996,NA,NA,NA,NA,NA
4, Audifonos Bluetooth Qcy T1c ,22.690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				219
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.782
			
		
		 sin interés
		
	

	
		","
				$ 3.782
			",NA,Envío gratis a todo el país,NA,NA,4.7,22,https://perfil.mercadolibre.cl/AFRICCA+STORE,https://articulo.mercadolibre.cl/MLC-471677503-audifonos-bluetooth-qcy-t1c-_JM#position=4&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,16,5,1,0,0,#471677503,QCY,T1c / T1,NA,TWS,NA
5, Audifonos Bluetooth I7s Tws Alta Calidad Colores + Base ,13.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				498
				vendidos
			
		",(1047 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 1.166
			
		
		 sin interés
		
	

	
		","
				$ 1.166
			",NA,Envío a todo el país,NA,NA,4.4,17,https://perfil.mercadolibre.cl/WSTECHNOLOGY.,https://articulo.mercadolibre.cl/MLC-472793392-audifonos-bluetooth-i7s-tws-alta-calidad-colores-base-_JM#position=5&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,11,2,3,1,0,#472793392,CHINO,I7S,NA,In-ear,NA
6, Audífonos Xiaomi Redmi Airdots +cable Cargador/ Matpro Store ,28.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				94
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.832
			
		
		 sin interés
		
	

	
		","
				$ 4.832
			",NA,Envío gratis a todo el país,NA,NA,4.7,32,https://perfil.mercadolibre.cl/MATPRO+STORE,https://articulo.mercadolibre.cl/MLC-491229415-audifonos-xiaomi-redmi-airdots-cable-cargador-matpro-store-_JM#position=6&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,26,4,1,0,1,#491229415,Xiaomi,AirDots,NA,box,Redmi
7, Audifonos Inalámbrico Bluetooth Tws-k2 AirPods - Prophone ,18.990,19.990,"
			
				Nuevo
			
			
				
					 - 
				
				468
				vendidos
			
		",(61 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 3.165
			
		
		 sin interés
		
	

	
		","
				$ 3.165
			",NA,Envío gratis a todo el país,NA,NA,4.2,27,https://perfil.mercadolibre.cl/PROPHONELTDA,https://articulo.mercadolibre.cl/MLC-454472669-audifonos-inalambrico-bluetooth-tws-k2-airpods-prophone-_JM#position=7&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,18,2,3,3,1,#454472669,NA,NA,NA,NA,NA
8, Audifono Bluetooth V4.2 Inalámbrico Hbq I7-tws ,7.990,14.990,"
			
				Nuevo
			
			
				
					 - 
				
				451
				vendidos
			
		",(49 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 1.332
			
		
		 sin interés
		
	

	
		","
				$ 1.332
			",NA,Envío a todo el país,NA,NA,3.2,11,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-459017997-audifono-bluetooth-v42-inalambrico-hbq-i7-tws-_JM#position=8&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,3,2,2,2,2,#459017997,TWS,I7S,NA,NA,NA
9, Audifonos Bluetooth 5.0 Qcy T1c AirPods iPhone Manos Libres ,24.990,NA,"
			
				Nuevo
			
			
				
					 - 
				
				182
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		6 cuotas de
		
			
				$ 4.165
			
		
		 sin interés
		
	

	
		","
				$ 4.165
			",NA,Envío gratis a todo el país,NA,NA,4.8,19,https://perfil.mercadolibre.cl/WIRELESS+MUNDO,https://articulo.mercadolibre.cl/MLC-470585752-audifonos-bluetooth-50-qcy-t1c-airpods-iphone-manos-libres-_JM#position=9&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,17,1,0,1,0,#470585752,QCY,T1C,NA,In-ear,2019
10, Audífono Bluetooth V4.2 M5 Deportivos Magnéticos ,3.999,8.990,"
			
				Nuevo
			
			
				
					 - 
				
				95
				vendidos
			
		",(4 disponibles),"
	
		
			
		
		12 cuotas de
		
			
				$ 333
			
		
		 sin interés
		
	

	
		","
				$ 333
			",NA,Envío a todo el país,NA,NA,3.0,2,https://perfil.mercadolibre.cl/OFERTABKNCL,https://articulo.mercadolibre.cl/MLC-473455109-audifono-bluetooth-v42-m5-deportivos-magneticos-_JM#position=10&type=item&tracking_id=d5e5d5cf-04c5-4709-b3f4-1e3e217b1be3,NA,NA,NA,NA,NA,#473455109,NA,NA,Roja,NA,NA
