search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Modelo alfanumérico,Formato
1, Redlemon Audífonos Bluetooth Manos Libres Sonido Hd Portátil ,279,349,4827,40,18 meses,15.51,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,3.8,133,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,https://articulo.mercadolibre.com.mx/MLM-626523199-redlemon-audifonos-bluetooth-manos-libres-sonido-hd-portatil-_JM?searchVariation=23891594869#position=1&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,65,24,18,8,18,#626523199,REDlemon,Audio Bluetooth,I7,RL,In-ear
2, Redlemon Audífonos Bluetooth 5.0 Tws Base Carga Contra Agua ,799,NA,1924,91,18 meses,44.39,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,81,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,https://articulo.mercadolibre.com.mx/MLM-659989626-redlemon-audifonos-bluetooth-50-tws-base-carga-contra-agua-_JM?searchVariation=31744770824#position=2&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,65,12,2,1,1,#659989626,REDlemon,Audio Bluetooth,TWS 5.0,RL,Ear-Buds
3, Audifonos Bluetooth 5.0 Manos Libres I7s AirPods ,119,NA,6077,833,12 meses,11.76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,40,https://perfil.mercadolibre.com.mx/GAMEX+COMERCIAL,https://articulo.mercadolibre.com.mx/MLM-628080138-audifonos-bluetooth-50-manos-libres-i7s-airpods-_JM?searchVariation=38947358832#position=3&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,23,5,7,2,3,#628080138,Universal,NA,iPhone,NA,In-ear
4, Audifonos Bluetooth Resistentes Al Agua Manos Libre Luz Roja ,869,"1,087",3696,466,18 meses,48.31,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,300,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,https://articulo.mercadolibre.com.mx/MLM-659636323-audifonos-bluetooth-resistentes-al-agua-manos-libre-luz-roja-_JM#position=4&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,214,56,19,5,6,#659636323,Arbily,Audio Bluetooth,TWS-T8,AR,Ear-Buds
5, Audifonos Sport Bluetooth Sports Manos Libres Nuevos! ,38,NA,4935,73,12 meses,3.75,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,11,https://perfil.mercadolibre.com.mx/COMPU_VICHIS,https://articulo.mercadolibre.com.mx/MLM-677136378-audifonos-sport-bluetooth-sports-manos-libres-nuevos-_JM#position=5&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,7,2,0,1,1,#677136378,CHINA,NA,Bluetooth,NA,In-ear
6, Xiaomi Redmi Airdots Mini Dual V5.0 Auriculares Bluetooth ,615,NA,1265,1377,18 meses,34.17,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,264,https://perfil.mercadolibre.com.mx/ALMAC%C3%89NELECTR%C3%93NICO,https://articulo.mercadolibre.com.mx/MLM-697282236-xiaomi-redmi-airdots-mini-dual-v50-auriculares-bluetooth-_JM?searchVariation=40112271519#position=6&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,212,32,8,6,6,#697282236,Xiaomi,Mi,AirDots,NA,In-ear
7, Audifonos Bluetooth Mano Libres Inalambrico Bestsin Original ,199,NA,8564,84,12 meses,19.66,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.2,611,https://perfil.mercadolibre.com.mx/EBSTORE,https://articulo.mercadolibre.com.mx/MLM-569394811-audifonos-bluetooth-mano-libres-inalambrico-bestsin-original-_JM?searchVariation=16969851717#position=7&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,334,134,81,25,37,#569394811,Universal,NA,BST-S6 PLUS,NA,In-ear
8, Audífonos Bluetooth Inalámbricos Estereo AirPods Con Estuche ,119,NA,6077,833,12 meses,11.76,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,40,https://perfil.mercadolibre.com.mx/GAMEX+COMERCIAL,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=Ii2KpxQ94nDbBVLITJ0nCKSaEAp68i9GEhVGWcIWpIelXWScDou4d6dz72ZbTh8Yw7nRA1DWrKCBeEANLRA2jMlo2cdIRFPpBIgbmLRMCTCaIh%2BO67M0IyvW5tylt8%2FBbSk0Zy5gosEnsrznkMgkVCBNXDNa%2Ftj1s%2F0sPFHbb%2FpXkeA82yHsZNsGqSwBS85f5QzVkcjCzvB8kUYjbMWfslt%2FAE%2FPYeeyU0knQUEbYkqOWoEUuCL0h5ADwIPchEJh8bpt%2FwkbKrrOdbhjcf70OAFOfmlVV4IKIU%2Bf2KDDG6U0Wrk7YTed%2FFBb%2FOC2rNUdMEzTXyrvDpMXnjRVgsBOW3Gmd5JmelBYy%2FouYQNa1REG5fgt9%2F%2F6bRVP2LATD46SpcpEyY22x%2BtqXiDme20sRSAlwejBuaAAjcc%2FubvTsoxYljbObik9%2Fx2mgKSvi%2FPATMRhIuACbLI9r4%2BfdXrBc60GWwlelottBALKKANpeUFXgZWLR%2BHqPzZcMYzEykKcBLDPx6RJN%2BKoD2bWAeA1zTRioW%2B95h0ZXDKjUzVimRsu5myDUa9QVZ7fJ5ftCPak4anpi2edixbe4F4QHF%2FCHB51VHPcAS6oqJvtkzfopJ5NEYrQ0%2B1otQyy%2Flo7MmhB6azExpnwEhA%2BDgegotQx%2BdmMKREDfdAbPnS3%2Btz4fp77GZCpPIXL%2FcCP%2FM62Hoalb1ZxO31yAH%2FEaJVvb45XSXzLonY%2FhLWu4KNs2mmUa0pp%2FugWGjw%2FXrH%2BT9uCTxL3bwBeKWAfXM73qpqenlz%2Bqy%2FJOOSt7MW9DD5u4J1iA381YflHMwUtFCAEfpJ24H83EjXYwuKv2L1SyO0SOvzd6URwjDWqLj%2BGK43hUBDVwvWmF3Uw9rMkENV2FEY%2B541ETnIDFWQ5eiV%2BAPPLaEJiCgg4nYucV4KI3YmBKb6nkTXwdQly7vCB9Pxo2gZ0y4zB5SU84on%2FxeNeDHRgGSLBum3PHZz0GZI7alR8M4nQOXWSAqPjFRcdYpyOBYGx9H1%2BIGjkR8sy24xudAUdYNlQmBC8%2Fhec6qfGyZrQS1%2FCp9zkdnFZRPd%2FJJgszDlPw0qJOmVD4qXJmdPrbtzOPrIDdQlhCbSXDZUdZOA2KE8Drlf6sxMYE%2BwUoOnUYRu2kKaOa9awDKN346CYI%2FDubWFOLIuqqjIc90Q5xJcW2jn0Aj%2F9jThVxGBGpttEG5hAqfi1etyHXdk5%2F4BKtEVfohrdWQUZEMD909rBxqC9yknHRYwozGj1Y2SWP%2BAxmTzapSn8himQVZipFNBzcCW52jb4xI0G4EN5gy2o254TmjIoNlDUOrdfntIfRAqgXoBNHDLlFZz6TzlbeAzVD%2F7dueS%2BPzdaAqbTkqVWXtDW7KfWL9eBK2DRybvaL1yI%2BspJI61OtdmAPJxVrPtH4O3v2%2FqWXzp3nKgRniTR90Ya89uQiibH5ONJc3rQ%2FI3t3kEPz3540qm12vd7JL%2BX5Ep2A2%2B%2BQmWyMwWYjXCq5d%2FDzqzDrCRmc8Dc4300WlOoEqNajfh7lrmdJhIGLWjwnm9fY8drqiitZ56pxbiKIg47FCSU36RMO9f0fEJVkGg7iL7v7ZcEPfL2sR9%2FAXCNC1qtAA9QM4eqy07gwHu8wPO4mtHvrvi23EM2d5pdorUF9HopXKs1OPmwIFy5TniJpQ3SZeMCPnZdFZ0F%2FL6hICk0ISKGpt%2B%2BZCLWkTo5rZlP0HS8T4kLNYF4prx%2FCMJT%2FhO8WVwU00RWwokjUrFFDPfiD1FrfPmvcdjQVd8Vl9xk4vk1pNXq%2FCTdTx95EH7S8GJgyyibX13lFF2%2FeuaA3WiZZjGACrpdIA%3D%3D,23,5,7,2,3,#628080138,Universal,NA,iPhone,NA,In-ear
9, Audífonos Manos Libres Tipo AirPods I7s Bluetooth 5.0 Pop Up ,179,199,1046,168,12 meses,17.69,NA,Llega mañana,Devolución gratis,Tienes 30 días desde que lo recibes,3.4,22,https://perfil.mercadolibre.com.mx/SOLUCIONESALTHEA,https://articulo.mercadolibre.com.mx/MLM-667079139-audifonos-bluetooth-inalambricos-estereo-airpods-con-estuche-_JM?searchVariation=33580995695#position=9&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,8,4,3,2,5,#667079139,TWS,Audífonos Bluetooth,i7s,NA,In-ear
10, Audifonos Bluetooth Inalambrios Magneticos Manos Libres ,119,NA,1506,453,18 meses,6.61,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,8,https://perfil.mercadolibre.com.mx/SHADIAO,https://articulo.mercadolibre.com.mx/MLM-699687150-audifonos-manos-libres-tipo-airpods-i7s-bluetooth-50-pop-up-_JM?searchVariation=40487669958#position=10&type=item&tracking_id=d20eb810-a339-4d06-a969-3eaf72978ecf,6,0,2,0,0,#699687150,Universal,TWS,i7s,NA,In-ear
