search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Formato
1, V5 Audifonos Inalámbricos Bluetooth 5.0 Calidad Y Estilo ,125,NA,"
			
				Nuevo
			
			
				
					 - 
				
				77
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,6,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,https://articulo.mercadolibre.com.pe/MPE-434419720-v5-audifonos-inalambricos-bluetooth-50-calidad-y-estilo-_JM#position=1&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,4,2,0,0,0,#434419720,NA,NA,NA,NA
2, Stock Audifonos Original Xiaomi Redmi Airdots Envió Inmediat ,77,NA,"
			
				Nuevo
			
			
				
					 - 
				
				556
				vendidos
			
		",(702 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,104,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,https://articulo.mercadolibre.com.pe/MPE-436293760-stock-audifonos-original-xiaomi-redmi-airdots-envio-inmediat-_JM#position=2&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,73,26,5,0,0,#436293760,Xiaomi,Audifonos Bluetooth,Redmi AirDots,Headset
3, Audifonos Jbl Bluetooth Pure Bass Sound T110 Wireles Colores ,129,NA,"
			
				Nuevo
			
			
				
					 - 
				
				42
				vendidos
			
		",(32 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435128963-audifonos-jbl-bluetooth-pure-bass-sound-t110-wireles-colores-_JM#position=3&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,5,1,0,0,0,#435128963,JBL,NA,T110,NA
4, Stock Audifonos Original Xiaomi Redmi Airdots Entrega Rapida ,77,NA,"
			
				Nuevo
			
			
				
					 - 
				
				179
				vendidos
			
		",(84 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,104,http://perfil.mercadolibre.com.pe/MAJU4927724,https://articulo.mercadolibre.com.pe/MPE-436361713-stock-audifonos-original-xiaomi-redmi-airdots-entrega-rapida-_JM#position=4&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,73,26,5,0,0,#436361713,Xiaomi,Wearables Bluetooh,Redmi Airdots,Headset
5, Audifonos Hands Free Bluetooth V4.1 Micro Magneticos ,17,NA,"
			
				Nuevo
			
			
				
					 - 
				
				38
				vendidos
			
		","
		
			¡Último disponible!
		
	",NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/VENTAS+O.,https://articulo.mercadolibre.com.pe/MPE-436216694-audifonos-hands-free-bluetooth-v41-micro-magneticos-_JM#position=5&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,NA,NA,NA,NA,NA,#436216694,NA,NA,NA,NA
6, Audifonos Original Xiaomi Redmi Airdots En Stock + Tienda !! ,79,119,"
			
				Nuevo
			
			
				
					 - 
				
				176
				vendidos
			
		",(424 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.7,104,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,https://articulo.mercadolibre.com.pe/MPE-433005812-audifonos-original-xiaomi-redmi-airdots-en-stock-tienda--_JM#position=6&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,73,26,5,0,0,#433005812,Xiaomi,Mi,AirDots,In-ear
7, Audifonos Inalambrios Bluetooth Imantados Deportivos 2018 ,30,NA,"
			
				Nuevo
			
			
				
					 - 
				
				424
				vendidos
			
		",(20 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.3,30,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,https://articulo.mercadolibre.com.pe/MPE-420579803-audifonos-inalambrios-bluetooth-imantados-deportivos-2018-_JM#position=7&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,16,11,1,0,2,#420579803,NA,NA,NA,NA
8, Skullcandy Audifonos Bluetooth Method Sport Supreme Sound ,189,209,"
			
				Nuevo
			
			
				
					 - 
				
				35
				vendidos
			
		",(27 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434305464-skullcandy-audifonos-bluetooth-method-sport-supreme-sound-_JM#position=8&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,3,1,0,0,0,#434305464,Skullcandy,NA,Method,NA
9, Samsung Galaxy Buds 2019 Audifonos Inalambricos En Stock!! ,539,NA,"
			
				Nuevo
			
			
				
					 - 
				
				72
				vendidos
			
		",(27 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,6,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,https://articulo.mercadolibre.com.pe/MPE-436048863-samsung-galaxy-buds-2019-audifonos-inalambricos-en-stock-_JM#position=9&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,6,0,0,0,0,#436048863,Samsung,Galaxy,Buds,In-ear
10, Audífonos I7s Tws Bluetooth Tipo AirPods Blanco Y Negro ,34,NA,"
			
				Nuevo
			
			
				
					 - 
				
				48
				vendidos
			
		",(5 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.0,2,http://perfil.mercadolibre.com.pe/LIZANDROAN,https://articulo.mercadolibre.com.pe/MPE-432449528-audifonos-i7s-tws-bluetooth-tipo-airpods-blanco-y-negro-_JM#position=10&type=item&tracking_id=599e7a78-cc72-4777-985b-7875a3483dcc,NA,NA,NA,NA,NA,#432449528,NA,NA,NA,NA
