search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Formato,Marca,Color
1, Auriculares Bluetooth P47 Inalámbricos Microsd Manos Libre. ,425,NA,"
			
				Nuevo
			
			
				
					 - 
				
				283
				vendidos
			
		",(518 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2361
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,4.6,19,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,https://articulo.mercadolibre.com.uy/MLU-456663027-auriculares-bluetooth-p47-inalambricos-microsd-manos-libre-_JM#position=1&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,14,3,2,0,0,#456663027,P47,Con Vincha,NA,NA
2, Auriculares Bluetooth Manos Libres Jbl E25bt iPhone Febo ,2388,NA,"
			
				Nuevo
			
			
				
					 - 
				
				192
				vendidos
			
		",(99807 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 13267
		
		 sin interés
		
	

	
		",67,NA,Envío a todo el país,NA,NA,4.8,22,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449243520-auriculares-bluetooth-manos-libres-jbl-e25bt-iphone-febo-_JM#position=2&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,17,5,0,0,0,#449243520,E25BT,Sin Vincha,JBL,NA
3, Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ® ,2690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(450 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 14944
		
		 sin interés
		
	

	
		",44,NA,Envío a todo el país,NA,NA,5.0,8,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457117328-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos--_JM#position=3&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,8,0,0,0,0,#457117328,T450,Con Vincha,JBL,Blanco azulado
4, Auriculares Bluetooth Tipo AirPods Inalámbricos I10 Max 2019 ,770,NA,"
			
				Nuevo
			
			
				
					 - 
				
				118
				vendidos
			
		",(36 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 4278
		
		 sin interés
		
	

	
		",78,NA,Entrega a acordar con el vendedor,NA,NA,4.0,51,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453361850-auriculares-bluetooth-tipo-airpods-inalambricos-i10-max-2019-_JM#position=4&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,21,17,9,1,3,#453361850,AirPods,In-ear,Apple,NA
5, Auriculares Bluetooth I7 Tws Mini Caja Carga Inalámbrica Loi ,487,640,"
			
			
				
				369
				vendidos
			
		",(713 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 2706
		
		 sin interés
		
	

	
		",06,NA,Envío a todo el país,NA,NA,3.4,24,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456795897-auriculares-bluetooth-i7-tws-mini-caja-carga-inalambrica-loi-_JM#position=5&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,8,6,3,2,5,#456795897,NA,NA,NA,NA
6, Auriculares Bluetooth Caja De Carga Inalámbrica Oferta ,635,NA,"
			
				Nuevo
			
			
				
					 - 
				
				220
				vendidos
			
		",(2827 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3528
		
		 sin interés
		
	

	
		",28,NA,Envío a todo el país,NA,NA,3.5,15,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-459144646-auriculares-bluetooth-caja-de-carga-inalambrica-oferta-_JM#position=6&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,5,4,3,0,3,#459144646,ZGB-052,Earbud,Apple,NA
7, Auriculares Bluetooth Inalambrico Android iPhone Jogger ® ,330,NA,"
			
				Nuevo
			
			
				
					 - 
				
				447
				vendidos
			
		",(3988 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,3.9,29,http://perfil.mercadolibre.com.uy/TOPTECNOUY,https://articulo.mercadolibre.com.uy/MLU-449191430-auriculares-bluetooth-inalambrico-android-iphone-jogger--_JM#position=7&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,12,9,4,2,2,#449191430,NA,Sin Vincha,Jogger,NA
8, Auriculares Bluetooth Simil AirPods iPhone + Caja De Carga ® ,587,NA,"
			
				Nuevo
			
			
				
					 - 
				
				34
				vendidos
			
		",(16 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3261
		
		 sin interés
		
	

	
		",61,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-456547613-auriculares-bluetooth-simil-airpods-iphone-caja-de-carga--_JM#position=8&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,NA,NA,NA,NA,NA,#456547613,NA,NA,NA,NA
9, Auriculares Samsung Galaxy Buds 2019 Con Caja De Carga Loi ,154,199,"
			
			
				
				13
				vendidos
			
		",(2984 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 31707
		
		 sin interés
		
	

	
		",07,NA,Envío a todo el país,NA,NA,4.8,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463819783-auriculares-samsung-galaxy-buds-2019-con-caja-de-carga-loi-_JM#position=9&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,7,0,1,0,0,#463819783,Buds,NA,Samsung,NA
10, Auriculares Bluetooth Deportivos V3.0 Calidad Premium ®tc.uy ,347,NA,"
			
				Nuevo
			
			
				
					 - 
				
				79
				vendidos
			
		",(930 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1928
		
		 sin interés
		
	

	
		",28,NA,Envío a todo el país,NA,NA,3.7,3,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-452512494-auriculares-bluetooth-deportivos-v30-calidad-premium-tcuy-_JM#position=10&type=item&tracking_id=8eea186e-28be-4430-a822-264b1ffa281b,2,0,0,0,1,#452512494,NA,Con Vincha,NA,NA
