search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Modelo,Formato,Marca,Color
1, Auriculares Bluetooth P47 Inalámbricos Microsd Manos Libre. ,425,NA,295,506,18 cuotas,23.61,NA,Envío a todo el país,NA,NA,4.6,20,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,https://articulo.mercadolibre.com.uy/MLU-456663027-auriculares-bluetooth-p47-inalambricos-microsd-manos-libre-_JM#position=1&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,14,4,2,0,0,#456663027,P47,Headset,NA,NA
2, Auriculares Bluetooth Manos Libres Jbl E25bt iPhone Febo ,2388,NA,195,99804,18 cuotas,132.67,NA,Envío a todo el país,NA,NA,4.8,22,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449243520-auriculares-bluetooth-manos-libres-jbl-e25bt-iphone-febo-_JM#position=2&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,17,5,0,0,0,#449243520,E25BT,In-ear,JBL,NA
3, Auricular Bluetooth I7s Ej-06 Circuit ,570,NA,144,100,18 cuotas,31.67,NA,Envío a todo el país,NA,NA,4.5,13,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-458996542-auricular-bluetooth-i7s-ej-06-circuit-_JM#position=3&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,9,2,2,0,0,#458996542,NA,NA,NA,NA
4, Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ,2398,NA,284,4889,18 cuotas,133.22,NA,Envío a todo el país,NA,NA,4.7,83,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-449839490-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos-_JM#position=4&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,67,13,1,1,1,#449839490,T450,Headset,JBL,NA
5, Auriculares Bluetooth I7 Tws Mini Caja Carga Inalámbrica Loi ,487,640,384,698,18 cuotas,27.06,NA,Envío a todo el país,NA,NA,3.3,25,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456795897-auriculares-bluetooth-i7-tws-mini-caja-carga-inalambrica-loi-_JM#position=5&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,8,6,3,2,6,#456795897,NA,NA,NA,NA
6, Auriculares Bluetooth Caja De Carga Inalámbrica Oferta ,635,NA,222,2825,18 cuotas,35.28,NA,Lo retiro en el domicilio del vendedor,NA,NA,3.5,15,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,https://articulo.mercadolibre.com.uy/MLU-459144646-auriculares-bluetooth-caja-de-carga-inalambrica-oferta-_JM#position=6&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,5,4,3,0,3,#459144646,ZGB-052,Earbud,Apple,NA
7, Auriculares Bluetooth Tipo AirPods Inalámbricos I10 Max 2019 ,770,NA,127,27,18 cuotas,42.78,NA,Entrega a acordar con el vendedor,NA,NA,4,51,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,https://articulo.mercadolibre.com.uy/MLU-453361850-auriculares-bluetooth-tipo-airpods-inalambricos-i10-max-2019-_JM#position=7&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,21,17,9,1,3,#453361850,AirPods,In-ear,Apple,NA
8, Auriculares Jbl Endurance Sprint Bluetooth Celular iPhone ,2400,NA,38,99961,18 cuotas,133.33,NA,Lo retiro en el domicilio del vendedor,NA,NA,4.8,4,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-459244517-auriculares-jbl-endurance-sprint-bluetooth-celular-iphone-_JM#position=8&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,3,1,0,0,0,#459244517,SPRINT,In-ear,JBL,NA
9, Auriculares Samsung Galaxy Buds 2019 Con Caja De Carga Loi ,154,199,14,2983,18 cuotas,316.64,NA,Envío a todo el país,NA,NA,4.8,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463819783-auriculares-samsung-galaxy-buds-2019-con-caja-de-carga-loi-_JM#position=9&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,7,0,1,0,0,#463819783,Buds,NA,Samsung,NA
10, Auriculares Jbl Manos Libres T450 Bluetooth Inalambricos ® ,2690,NA,52,448,18 cuotas,149.44,NA,Envío a todo el país,NA,NA,5,8,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,https://articulo.mercadolibre.com.uy/MLU-457117328-auriculares-jbl-manos-libres-t450-bluetooth-inalambricos--_JM#position=10&type=item&tracking_id=feda40ea-fbad-4e0b-80df-4a92542bcf74,8,0,0,0,0,#457117328,T450,Headset,JBL,Blanco azulado
