seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Redlemon Tienda oficial,https://perfil.mercadolibre.com.mx/RED.LEMON?brandId=1198,13,13 años vendiendo en Mercado Libre,22445,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,2181,Mala (40),Regular (58),Buena (2083),"Naucalpan, Estado De México.",22445 ventas en los últimos 4 meses
GAMEX COMERCIAL,https://perfil.mercadolibre.com.mx/GAMEX+COMERCIAL,2,2 años vendiendo en Mercado Libre,4135,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,142,Mala (17),Regular (6),Buena (119),"Cuauhtémoc, Distrito Federal.",4135 ventas en los últimos 4 meses
MR.UPSALES,https://perfil.mercadolibre.com.mx/MR.UPSALES,7,7 años vendiendo en Mercado Libre,10379,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,672,Mala (28),Regular (14),Buena (630),"Pachuca De Soto, Hidalgo.",10379 ventas en los últimos 4 meses
AXLOIEFFCN,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,9,9 meses vendiendo en Mercado Libre,9333,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1287,Mala (49),Regular (46),Buena (1192),"Cuautitlan Izcalli, Estado De México.",9333 ventas en los últimos 4 meses
COMPU_VICHIS,https://perfil.mercadolibre.com.mx/COMPU_VICHIS,8,8 años vendiendo en Mercado Libre,18659,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,410,Mala (27),Regular (14),Buena (369),"Cuauhtémoc, Distrito Federal.",18659 ventas en los últimos 4 meses
ALMACÉNELECTRÓNICO,https://perfil.mercadolibre.com.mx/ALMAC%C3%89NELECTR%C3%93NICO,1,1 año vendiendo en Mercado Libre,9118,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,884,Mala (7),Regular (25),Buena (852),"Miguel Hidalgo, Distrito Federal.",9118 ventas en los últimos 4 meses
SOLUCIONESALTHEA,https://perfil.mercadolibre.com.mx/SOLUCIONESALTHEA,7,7 años vendiendo en Mercado Libre,4411,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,340,Mala (12),Regular (7),Buena (321),"Chilpancingo De Los Bravo, Guerrero.",4411 ventas en los últimos 4 meses
IMPORTADORA.ALEX,https://perfil.mercadolibre.com.mx/IMPORTADORA.ALEX,11,11 años vendiendo en Mercado Libre,41553,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,2626,Mala (56),Regular (62),Buena (2508),"Tultitlán, Estado De México.",41553 ventas en los últimos 4 meses
TECNOLOGÍA GIPEL,https://perfil.mercadolibre.com.mx/TECNOLOG%C3%8DA+GIPEL,7,7 años vendiendo en Mercado Libre,5112,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,373,Mala (23),Regular (18),Buena (332),"Chihuahua, Chihuahua.",5112 ventas en los últimos 4 meses
EBSTORE,https://perfil.mercadolibre.com.mx/EBSTORE,3,3 años vendiendo en Mercado Libre,4470,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,274,Mala (14),Regular (16),Buena (244),"Tampico, Tamaulipas.",4470 ventas en los últimos 4 meses
IDEAGLOBALMX,https://perfil.mercadolibre.com.mx/IDEAGLOBALMX,8,8 años vendiendo en Mercado Libre,13424,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1145,Mala (18),Regular (22),Buena (1105),"Coyoacán, Distrito Federal.",13424 ventas en los últimos 4 meses
MXDRESSTOP,https://perfil.mercadolibre.com.mx/MXDRESSTOP,5,5 meses vendiendo en Mercado Libre,4101,NA,Brinda buena atención,Entrega sus productos a tiempo,402,Mala (20),Regular (13),Buena (369),"Cuautitlan Izcalli, Estado De México.",4101 ventas en los últimos 4 meses
SHADIAO,https://perfil.mercadolibre.com.mx/SHADIAO,1,1 año vendiendo en Mercado Libre,1011,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,17,Mala (4),Regular (2),Buena (11),"Cuauhtémoc, Distrito Federal.",1011 ventas en los últimos 4 meses
INNOVASTORE CUU,https://perfil.mercadolibre.com.mx/INNOVASTORE+CUU,13,13 años vendiendo en Mercado Libre,2055,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,105,Mala (16),Regular (9),Buena (80),"Chihuahua, Chihuahua.",2055 ventas en los últimos 4 meses
2GOGEEK,https://perfil.mercadolibre.com.mx/2GOGEEK,1,1 año vendiendo en Mercado Libre,3383,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,320,Mala (18),Regular (7),Buena (295),"Mérida, Yucatán.",3383 ventas en los últimos 4 meses
EZSHOP.MX,https://perfil.mercadolibre.com.mx/EZSHOP.MX,5,5 años vendiendo en Mercado Libre,12106,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,841,Mala (29),Regular (27),Buena (785),"Chihuahua, Chihuahua.",12106 ventas en los últimos 4 meses
REGALOSJUGUETES,https://perfil.mercadolibre.com.mx/REGALOSJUGUETES,1,1 año vendiendo en Mercado Libre,3164,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,340,Mala (10),Regular (7),Buena (323),"Apizaco, Tlaxcala.",3164 ventas en los últimos 4 meses
Bose Tienda oficial,https://perfil.mercadolibre.com.mx/PREETAIL?brandId=1312,7,7 años vendiendo en Mercado Libre,3038,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1139,Mala (15),Regular (13),Buena (1111),"Alvaro Obregón, Distrito Federal.",3038 ventas en los últimos 4 meses
DIGIABMDEMEXICO,https://perfil.mercadolibre.com.mx/DIGIABMDEMEXICO,5,5 años vendiendo en Mercado Libre,2861,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,99,Mala (31),Regular (6),Buena (62),"Benito Juárez, Distrito Federal.",2861 ventas en los últimos 4 meses
TODOHARDWARE2010,https://perfil.mercadolibre.com.mx/TODOHARDWARE2010,10,10 años vendiendo en Mercado Libre,22172,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1363,Mala (65),Regular (49),Buena (1249),"Cuauhtémoc, Distrito Federal.",22172 ventas en los últimos 4 meses
HAMS IMPORT,https://perfil.mercadolibre.com.mx/HAMS+IMPORT,1,1 año vendiendo en Mercado Libre,1869,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,106,Mala (4),Regular (2),Buena (100),"Metepec, Estado De México.",1869 ventas en los últimos 4 meses
