seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
CLOUD BUSINESS,http://perfil.mercadolibre.com.pe/CLOUD+BUSINESS,6,6 años vendiendo en Mercado Libre,1396,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,629,Negativa (0),Neutral (3),Positiva (626),"Lima, Lima.",NA
ZEALOTT IMPORTACIONES,http://perfil.mercadolibre.com.pe/ZEALOTT+IMPORTACIONES,2,2 años vendiendo en Mercado Libre,1330,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,932,Negativa (0),Neutral (1),Positiva (931),"Lima, Lima.",NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,1,1 año vendiendo en Mercado Libre,1262,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,892,Negativa (0),Neutral (23),Positiva (869),"Lima, Lima.",NA
MAJU4927724,http://perfil.mercadolibre.com.pe/MAJU4927724,2,2 años vendiendo en Mercado Libre,1816,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1139,Negativa (1),Neutral (6),Positiva (1132),"Lima, Lima.",NA
VENTAS O.,http://perfil.mercadolibre.com.pe/VENTAS+O.,8,8 años vendiendo en Mercado Libre,1674,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,961,Negativa (4),Neutral (49),Positiva (908),"Lima, Lima.",NA
CASEMOTIONS.PE,http://perfil.mercadolibre.com.pe/CASEMOTIONS.PE,4,4 años vendiendo en Mercado Libre,4517,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2687,Negativa (0),Neutral (12),Positiva (2675),"Lima, Lima.",NA
FROG_PEOPLE _IMPORT,http://perfil.mercadolibre.com.pe/FROG_PEOPLE+_IMPORT,8,8 años vendiendo en Mercado Libre,2388,NA,NA,NA,1628,Negativa (9),Neutral (191),Positiva (1428),"Lima, Lima.",NA
PASAJECENTRALSAC,http://perfil.mercadolibre.com.pe/PASAJECENTRALSAC,1,1 año vendiendo en Mercado Libre,1365,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,796,Negativa (0),Neutral (2),Positiva (794),"Lima, Lima.",NA
LIZANDROAN,http://perfil.mercadolibre.com.pe/LIZANDROAN,3,3 años vendiendo en Mercado Libre,971,NA,NA,NA,637,Negativa (7),Neutral (52),Positiva (578),"Lima, Lima.",NA
ITELSISTEMSAC,http://perfil.mercadolibre.com.pe/ITELSISTEMSAC,6,6 años vendiendo en Mercado Libre,7231,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4529,Negativa (8),Neutral (352),Positiva (4169),"Lima, Lima.",NA
