seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
TMO TUMEJOROPCION,http://perfil.mercadolibre.com.uy/TMO+TUMEJOROPCION,11,11 meses vendiendo en Mercado Libre,1144,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,633,Negativa (9),Neutral (12),Positiva (612),"Paso Molino, Montevideo.",NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,12 años vendiendo en Mercado Libre,80995,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,54639,Negativa (115),Neutral (1339),Positiva (53185),"Centro, Montevideo.",NA
CIRCUIT OFERTAS,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,4,4 años vendiendo en Mercado Libre,18752,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,13626,Negativa (93),Neutral (402),Positiva (13131),"Centro, Montevideo.",NA
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,14 años vendiendo en Mercado Libre,254763,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,290727,Negativa (5127),Neutral (16882),Positiva (268718),"Centro, Montevideo.",NA
ELECTROVENTAS ONLINE,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,11,11 años vendiendo en Mercado Libre,173215,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,99194,Negativa (364),Neutral (3345),Positiva (95485),"Centro, Montevideo.",NA
CLICSHOPURUGUAY,http://perfil.mercadolibre.com.uy/CLICSHOPURUGUAY,7,7 años vendiendo en Mercado Libre,9116,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,5502,Negativa (23),Neutral (94),Positiva (5385),"Tres Cruces, Montevideo.",NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,3 años vendiendo en Mercado Libre,17481,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9923,Negativa (115),Neutral (398),Positiva (9410),"Centro, Montevideo.",NA
MEGAOFERTAS.UY,http://perfil.mercadolibre.com.uy/MEGAOFERTAS.UY,3,3 años vendiendo en Mercado Libre,10524,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,6400,Negativa (71),Neutral (209),Positiva (6120),"Centro, Montevideo.",NA
TOPTECNOUY,http://perfil.mercadolibre.com.uy/TOPTECNOUY,14,14 años vendiendo en Mercado Libre,118690,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,115786,Negativa (653),Neutral (5516),Positiva (109617),"Ciudad Vieja, Montevideo.",NA
DESTROSTORE,http://perfil.mercadolibre.com.uy/DESTROSTORE,2,2 años vendiendo en Mercado Libre,5097,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2895,Negativa (8),Neutral (63),Positiva (2824),"Aguada, Montevideo.",NA
DISCBOX,http://perfil.mercadolibre.com.uy/DISCBOX,8,8 años vendiendo en Mercado Libre,206,NA,NA,NA,139,Negativa (0),Neutral (0),Positiva (139),"Centro, Montevideo.",NA
LIDERTEK SRL,http://perfil.mercadolibre.com.uy/LIDERTEK+SRL,7,7 años vendiendo en Mercado Libre,17106,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,12172,Negativa (28),Neutral (381),Positiva (11763),"Centro, Montevideo.",NA
MUNDOSHOP.UY,http://perfil.mercadolibre.com.uy/MUNDOSHOP.UY,11,11 meses vendiendo en Mercado Libre,1787,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,881,Negativa (5),Neutral (14),Positiva (862),"La Comercial, Montevideo.",NA
VENTASUY IMPORTACIONES,http://perfil.mercadolibre.com.uy/VENTASUY+IMPORTACIONES,1,1 año vendiendo en Mercado Libre,862,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,543,Negativa (3),Neutral (10),Positiva (530),"Prado, Montevideo.",NA
ML Center Tienda oficial,http://perfil.mercadolibre.com.uy/MLCENTERUY?brandId=511,4,4 años vendiendo en Mercado Libre,13551,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,7433,Negativa (31),Neutral (96),Positiva (7306),"Tres Cruces, Montevideo.",NA
AMVSTORE,http://perfil.mercadolibre.com.uy/AMVSTORE,6,6 años vendiendo en Mercado Libre,18651,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,11092,Negativa (34),Neutral (191),Positiva (10867),"Centro, Montevideo.",NA
LSTURUGUAY,http://perfil.mercadolibre.com.uy/LSTURUGUAY,8,8 años vendiendo en Mercado Libre,25680,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,26203,Negativa (87),Neutral (1058),Positiva (25058),"Tres Cruces, Montevideo.",NA
PRECIOSMIAMI,http://perfil.mercadolibre.com.uy/PRECIOSMIAMI,3,3 años vendiendo en Mercado Libre,26333,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,18792,Negativa (225),Neutral (615),Positiva (17952),"Centro, Montevideo.",NA
O TEC,http://perfil.mercadolibre.com.uy/O+TEC,5,5 años vendiendo en Mercado Libre,13210,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,8960,Negativa (2),Neutral (101),Positiva (8857),"Tres Cruces, Montevideo.",NA
LEAMAUSRL,http://perfil.mercadolibre.com.uy/LEAMAUSRL,2,2 años vendiendo en Mercado Libre,623,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,488,Negativa (1),Neutral (9),Positiva (478),"Pocitos, Montevideo.",NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,13,13 años vendiendo en Mercado Libre,92131,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,77919,Negativa (1155),Neutral (4413),Positiva (72351),"Jacinto Vera, Montevideo.",NA
NEPOLLUCH,http://perfil.mercadolibre.com.uy/NEPOLLUCH,7,7 años vendiendo en Mercado Libre,301,NA,NA,NA,336,Negativa (0),Neutral (0),Positiva (336),"Punta Carretas, Montevideo.",NA
