search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Peso,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Voltaje,Ancho,Altura,Conectores de entrada,Formato del parlante,Profundidad
1, Parlante True Wireless Soundcore Motion B ,22.99,39.990,303,1,6,3.832,NA,Envío gratis a todo el país,NA,NA,4.9,15,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,https://articulo.mercadolibre.cl/MLC-467283866-parlante-true-wireless-soundcore-motion-b-_JM,14,1,0,0,0,#467283866,Anker,SoundCore,400 g,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Parlantes Cajas Activas Bluetooth Tws Fiddler Con Trípode ,79.99,99.990,21,7,6,13.332,NA,Envío gratis a todo el país,NA,NA,5,1,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-486139169-parlantes-cajas-activas-bluetooth-tws-fiddler-con-tripode-_JM,1,0,0,0,0,#486139169,Fiddler,NA,NA,FD-PKBTDUAL8,NA,NA,NA,NA,NA,NA,NA,NA
3, Ld Systems Maui5 - Line Array Audio Portatil Activo Parlante ,339,NA,4,10,12,28.250,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/XPRO.STORE,https://articulo.mercadolibre.cl/MLC-449031045-ld-systems-maui5-line-array-audio-portatil-activo-parlante-_JM,NA,NA,NA,NA,NA,#449031045,LD Systems,NA,NA,MAUI 5,NA,NA,NA,NA,NA,NA,NA,NA
4, Jbl Flip 4 Parlante Bluetooth - Inetshop ,64.89,99.990,496,4,6,10.815,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/INETSHOP_2011,https://articulo.mercadolibre.cl/MLC-457315838-jbl-flip-4-parlante-bluetooth-inetshop-_JM,NA,NA,NA,NA,NA,#457315838,JBL,Flip Series,515 g,Flip 4,16 W,Activo,NA,NA,NA,NA,NA,NA
5, Parlante Ducha Bluetooth Portatil Agua Piscina Gocy 71603 ,2.89,NA,479,97921,6,482,NA,Envío a todo el país,NA,NA,5,2,https://perfil.mercadolibre.cl/GOCYEXPRESS,https://articulo.mercadolibre.cl/MLC-439441873-parlante-ducha-bluetooth-portatil-agua-piscina-gocy-71603-_JM,2,0,0,0,0,#439441873,Gocy,NA,NA,71603,3 W,NA,5,9 cm,9 cm,NA,NA,NA
6, Parlante Karaoke Bluetooth Fiddler Doble Altavoz + Micrófono ,32.99,49.990,298,23,6,5.498,NA,Envío gratis a todo el país,NA,NA,3.3,27,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-461986096-parlante-karaoke-bluetooth-fiddler-doble-altavoz-microfono-_JM,9,6,4,1,7,#461986096,Fiddler,NA,NA,FD-PKBTD6,10 W,NA,NA,NA,NA,Auxiliar,NA,NA
7," Parlante Karaoke Bluetooth Fiddler Altavoz 6,5'' Panel Led ",21.99,29.990,221,20,6,3.665,NA,Envío gratis a todo el país,NA,NA,4.4,12,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,https://articulo.mercadolibre.cl/MLC-462984847-parlante-karaoke-bluetooth-fiddler-altavoz-65-panel-led-_JM,8,3,0,0,1,#462984847,Fiddler,NA,2.8 kg,FD-PKBT61,10 W,NA,NA,NA,NA,NA,NA,NA
8, Jbl Go2 Parlante Portátil Bluetooth Inalámbrico Negro ,23.99,29.990,285,85,6,3.998,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-470706708-jbl-go2-parlante-portatil-bluetooth-inalambrico-negro-_JM,NA,NA,NA,NA,NA,#470706708,JBL,NA,184 g,GO 2,3 W,Activo,NA,NA,NA,NA,NA,NA
9, Parlante Bluetooth Harman Kardon Onyx Studio 4 Onlineclub ,99.99,129.990,322,37,6,16.665,NA,Envío gratis a todo el país,NA,NA,NA,NA,https://perfil.mercadolibre.cl/ONLINECLUB,https://articulo.mercadolibre.cl/MLC-448975270-parlante-bluetooth-harman-kardon-onyx-studio-4-onlineclub-_JM,NA,NA,NA,NA,NA,#448975270,Harman Kardon,NA,NA,Onyx Studio 4,60 W,Activo,NA,NA,NA,NA,NA,NA
10, Barra De Sonido Soundbar Bluetooth Sensewave Proglobal ,14.99,21.990,148,44,6,2.498,NA,Envío a todo el país,NA,NA,3.4,9,https://perfil.mercadolibre.cl/PROGLOBALCHILE,https://articulo.mercadolibre.cl/MLC-456354330-barra-de-sonido-soundbar-bluetooth-sensewave-proglobal-_JM,4,1,1,1,2,#456354330,MASTER G,NA,NA,Soundbar MGSB110,NA,NA,NA,NA,NA,NA,NA,NA
