search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,179,249,"
			
			
				
				66
				vendidos
			
		",(998 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 994
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,4.0,3,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,1,1,1,0,0,#463417487,NA,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,139,155,"
			
				Nuevo
			
			
				
					 - 
				
				189
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 27445
		
		 sin interés
		
	

	
		",45,NA,Envío a todo el país,NA,NA,4.8,18,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,14,4,0,0,0,#452289064,Energy Sistem,NA,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1296,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1510
				vendidos
			
		",(98489 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7200
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,NA,NA,NA,NA,NA,#446600412,JBL,GO 2,3 W,Activo,184 g,NA
4, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				43
				vendidos
			
		",(158 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1056
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,NA,NA,NA,NA,NA,#451362894,NA,NA,NA,NA,NA,USB
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,3768,4350,"
			
				Nuevo
			
			
				
					 - 
				
				942
				vendidos
			
		",(99057 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 20933
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,NA,NA,NA,NA,NA,#446600381,JBL,Flip 4,16 W,Activo,515 g,NA
6, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,"
			
			
				
				59
				vendidos
			
		",(2984 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7700
		
		 sin interés
		
	

	
		",00,NA,Envío a todo el país,NA,NA,4.7,6,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,2,0,0,0,#456920787,Kolke,NA,NA,NA,NA,NA
7, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,4370,4999,"
			
			
				
				171
				vendidos
			
		",(898 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 24278
		
		 sin interés
		
	

	
		",78,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM,NA,NA,NA,NA,NA,#458480865,JBL,Flip 4,16 W,Activo,NA,NA
8, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,197,NA,"
			
			
				
				29
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1094
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,5.0,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,NA,NA,NA,NA,NA,#462659823,NA,NA,NA,NA,NA,NA
9, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,197,249,"
			
			
				
				18
				vendidos
			
		",(991 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 38897
		
		 sin interés
		
	

	
		",97,NA,Envío a todo el país,NA,NA,NA,NA,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM,NA,NA,NA,NA,NA,#463032205,JBL,Charge 4,30 W,Activo,NA,NA
10, Parlante Portatil Ledstar 6 Bluetooth Bateria Futuro21 Dimm ,1149,NA,"
			
				Nuevo
			
			
				
					 - 
				
				21
				vendidos
			
		",(97 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6383
		
		 sin interés
		
	

	
		",83,NA,Envío a todo el país,NA,NA,2.5,2,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,https://articulo.mercadolibre.com.uy/MLU-446606518-parlante-portatil-ledstar-6-bluetooth-bateria-futuro21-dimm-_JM,NA,NA,NA,NA,NA,#446606518,Bose,NA,NA,NA,NA,NA
