seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Anker Tienda oficial,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,7,años,1489,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,263,8,5,250,"Las Condes, RM (Metropolitana).",meses,4
Fiddler Tienda oficial,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,1,año,690,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,91,3,1,87,"Huechuraba, RM (Metropolitana).",meses,4
XPRO.STORE,https://perfil.mercadolibre.cl/XPRO.STORE,3,años,570,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,132,1,2,129,"Santiago de Chile, RM (Metropolitana).",meses,4
INETSHOP_2011,https://perfil.mercadolibre.cl/INETSHOP_2011,7,años,1633,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,401,3,5,393,"Providencia, RM (Metropolitana).",meses,4
GOCYEXPRESS,https://perfil.mercadolibre.cl/GOCYEXPRESS,4,años,16300,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1017,237,111,669,"Santiago, RM (Metropolitana).",meses,4
ONLINECLUB,https://perfil.mercadolibre.cl/ONLINECLUB,6,años,22203,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,3007,241,286,2480,"La Florida, RM (Metropolitana).",meses,4
PROGLOBALCHILE,https://perfil.mercadolibre.cl/PROGLOBALCHILE,7,años,4071,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,827,30,27,770,"Providencia, RM (Metropolitana).",meses,4
MMSMIKE1,https://perfil.mercadolibre.cl/MMSMIKE1,10,años,1571,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,299,5,10,284,"RANCAGUA, Libertador B. O'Higgins.",meses,4
OFERTABKNCL,https://perfil.mercadolibre.cl/OFERTABKNCL,3,años,9524,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1694,45,130,1519,"Santiago, RM (Metropolitana).",meses,4
COMERCIALOMEGALTDA,https://perfil.mercadolibre.cl/COMERCIALOMEGALTDA,7,años,433,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,71,2,1,68,"Ñuñoa, RM (Metropolitana).",meses,4
LOI CHILE,https://perfil.mercadolibre.cl/LOI+CHILE,4,años,3142,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,516,23,23,470,"Renca, RM (Metropolitana).",meses,4
Master G Tienda oficial,https://perfil.mercadolibre.cl/GASEI+S.A.?brandId=278,9,meses,712,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,114,4,4,106,"Providencia, RM (Metropolitana).",meses,4
MR.CLICK CHILE,https://perfil.mercadolibre.cl/MR.CLICK+CHILE,5,meses,1620,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,296,8,11,277,"Macul, RM (Metropolitana).",meses,4
