seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Anker Tienda oficial,https://perfil.mercadolibre.cl/ANKERSTORE?brandId=188,7,7 años vendiendo en Mercado Libre,1489,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,263,Mala (8),Regular (5),Buena (250),"Las Condes, RM (Metropolitana).",1489 ventas en los últimos 4 meses
Fiddler Tienda oficial,https://perfil.mercadolibre.cl/MACROTEL+TO?brandId=335,1,1 año vendiendo en Mercado Libre,690,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,91,Mala (3),Regular (1),Buena (87),"Huechuraba, RM (Metropolitana).",690 ventas en los últimos 4 meses
XPRO.STORE,https://perfil.mercadolibre.cl/XPRO.STORE,3,3 años vendiendo en Mercado Libre,570,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,132,Mala (1),Regular (2),Buena (129),"Santiago de Chile, RM (Metropolitana).",570 ventas en los últimos 4 meses
INETSHOP_2011,https://perfil.mercadolibre.cl/INETSHOP_2011,7,7 años vendiendo en Mercado Libre,1633,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,401,Mala (3),Regular (5),Buena (393),"Providencia, RM (Metropolitana).",1633 ventas en los últimos 4 meses
GOCYEXPRESS,https://perfil.mercadolibre.cl/GOCYEXPRESS,4,4 años vendiendo en Mercado Libre,16300,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1017,Mala (237),Regular (111),Buena (669),"Santiago, RM (Metropolitana).",16300 ventas en los últimos 4 meses
ONLINECLUB,https://perfil.mercadolibre.cl/ONLINECLUB,6,6 años vendiendo en Mercado Libre,22203,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,3007,Mala (241),Regular (286),Buena (2480),"La Florida, RM (Metropolitana).",22203 ventas en los últimos 4 meses
PROGLOBALCHILE,https://perfil.mercadolibre.cl/PROGLOBALCHILE,7,7 años vendiendo en Mercado Libre,4071,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,827,Mala (30),Regular (27),Buena (770),"Providencia, RM (Metropolitana).",4071 ventas en los últimos 4 meses
MMSMIKE1,https://perfil.mercadolibre.cl/MMSMIKE1,10,10 años vendiendo en Mercado Libre,1571,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,299,Mala (5),Regular (10),Buena (284),"RANCAGUA, Libertador B. O'Higgins.",1571 ventas en los últimos 4 meses
OFERTABKNCL,https://perfil.mercadolibre.cl/OFERTABKNCL,3,3 años vendiendo en Mercado Libre,9524,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1694,Mala (45),Regular (130),Buena (1519),"Santiago, RM (Metropolitana).",9524 ventas en los últimos 4 meses
COMERCIALOMEGALTDA,https://perfil.mercadolibre.cl/COMERCIALOMEGALTDA,7,7 años vendiendo en Mercado Libre,433,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,71,Mala (2),Regular (1),Buena (68),"Ñuñoa, RM (Metropolitana).",433 ventas en los últimos 4 meses
