seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
SONY COLOMBIA,https://perfil.mercadolibre.com.co/SONY+COLOMBIA?brandId=11,4,años,2840,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,673,13,26,634,"Funza, Cundinamarca.",meses,4
BETHMARC,https://perfil.mercadolibre.com.co/BETHMARC,8,años,3325,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,920,28,32,860,"Bogotá, Bogotá D.C..",meses,4
DELLTHUS,https://perfil.mercadolibre.com.co/DELLTHUS,12,años,1011,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,280,5,5,270,"Chapinero, Bogotá D.C..",meses,4
ARTICULOSALTAGAMA,https://perfil.mercadolibre.com.co/ARTICULOSALTAGAMA,15,años,5650,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1402,28,40,1334,"Martires, Bogotá D.C..",meses,4
MUNDONOVEDAD.CO,https://perfil.mercadolibre.com.co/MUNDONOVEDAD.CO,6,años,2795,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,541,0,4,537,"Itaguí, Antioquia.",meses,4
MERCADO CLICKS,https://perfil.mercadolibre.com.co/MERCADO+CLICKS,3,años,3572,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,734,39,25,670,"Bogotá, Bogotá D.C..",meses,4
COLOMBIADECOMPRASTV,https://perfil.mercadolibre.com.co/COLOMBIADECOMPRASTV,8,años,4668,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,755,43,55,657,"Bogotá, Bogotá D.C..",meses,4
AEY DISTRIBUCIONES,https://perfil.mercadolibre.com.co/AEY+DISTRIBUCIONES,4,años,3173,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,499,0,26,473,"Bogotá, Bogotá D.C..",meses,4
VENTASBOGOTAOFICIAL,https://perfil.mercadolibre.com.co/VENTASBOGOTAOFICIAL,2,años,8753,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,1577,121,120,1336,"Bogotá, Bogotá D.C..",meses,4
EXPOCOLSUMINISTROSSAS,https://perfil.mercadolibre.com.co/EXPOCOLSUMINISTROSSAS,3,años,1518,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,417,4,16,397,"Bogotá, Bogotá D.C..",meses,4
TITAN ELECTRONIC,https://perfil.mercadolibre.com.co/TITAN+ELECTRONIC,14,años,281,MercadoLíder Gold,Brinda buena atención,Entrega sus productos a tiempo,64,1,1,62,"Bogotá, Bogotá D.C..",meses,4
JL LUJO,https://perfil.mercadolibre.com.co/JL+LUJO,1,año,2552,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,490,18,17,455,"Kennedy, Bogotá D.C..",meses,4
COMPRASDE VERDAD,https://perfil.mercadolibre.com.co/COMPRASDE+VERDAD,9,años,4151,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,778,26,33,719,"Bogotá, Bogotá D.C..",meses,4
TECHCOMCO,https://perfil.mercadolibre.com.co/TECHCOMCO,7,años,1014,MercadoLíder Platinum,Brinda buena atención,Entrega sus productos a tiempo,314,2,9,303,"Bogotá, Bogotá D.C..",meses,4
Brightside Tienda oficial,https://perfil.mercadolibre.com.co/INNOVATECHCOSAS?brandId=627,8,meses,702,MercadoLíder Gold,Brinda buena atención,Entrega sus productos a tiempo,213,3,5,205,"Bogotá, Bogotá D.C..",meses,4
ALI-BAG,https://perfil.mercadolibre.com.co/ALI-BAG,14,años,513,MercadoLíder Gold,Brinda buena atención,Entrega sus productos a tiempo,89,2,2,85,"Bogotá, Bogotá D.C..",meses,4
