seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Anker Tienda oficial,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,7,7 meses vendiendo en Mercado Libre,260,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,150,Negativa (2),Neutral (4),Positiva (144),"Lima, Lima.",NA
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,6,6 años vendiendo en Mercado Libre,1715,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1040,Negativa (3),Neutral (34),Positiva (1003),"Lima, Lima.",NA
BONOTECH.PE,http://perfil.mercadolibre.com.pe/BONOTECH.PE,6,6 años vendiendo en Mercado Libre,4156,NA,NA,NA,2468,Negativa (12),Neutral (271),Positiva (2185),"Lima, Lima.",NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,3 años vendiendo en Mercado Libre,1060,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,677,Negativa (1),Neutral (26),Positiva (650),"Lima, Lima.",NA
ELECTROFERTAS SELLADAS,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,1,1 año vendiendo en Mercado Libre,338,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,305,Negativa (0),Neutral (0),Positiva (305),"Lima, Lima.",NA
REYLU PRODUCTS,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,6,6 años vendiendo en Mercado Libre,141,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,107,Negativa (8),Neutral (8),Positiva (91),"Lima, Lima.",NA
INNOVA LEDS,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,3,3 años vendiendo en Mercado Libre,1328,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,779,Negativa (0),Neutral (0),Positiva (779),"Lima, Lima.",NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,11,11 meses vendiendo en Mercado Libre,895,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,614,Negativa (0),Neutral (18),Positiva (596),"Lima, Lima.",NA
BESTOFFERSPERU,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,5,5 años vendiendo en Mercado Libre,1525,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1047,Negativa (2),Neutral (61),Positiva (984),"Lima, Lima.",NA
SPORTECH BALHER,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,5,5 años vendiendo en Mercado Libre,455,NA,NA,NA,298,Negativa (0),Neutral (15),Positiva (283),"Lima, Lima.",NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,2 años vendiendo en Mercado Libre,2072,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1103,Negativa (0),Neutral (11),Positiva (1092),"Lima, Lima.",NA
LIZANDRIAN15,http://perfil.mercadolibre.com.pe/LIZANDRIAN15,2,2 años vendiendo en Mercado Libre,335,NA,NA,NA,184,Negativa (3),Neutral (11),Positiva (170),"Lima, Lima.",NA
Sony Tienda oficial,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,2,2 años vendiendo en Mercado Libre,1560,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,994,Negativa (22),Neutral (68),Positiva (904),"Lima, Lima.",NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,4 años vendiendo en Mercado Libre,23763,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8491,Negativa (187),Neutral (703),Positiva (7601),"Lima, Lima.",NA
OSCARENRIQUECASTILLOFALCON,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,1,1 año vendiendo en Mercado Libre,206,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,155,Negativa (2),Neutral (7),Positiva (146),"Lima, Lima.",NA
PERU_DE_SHOPPING,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,5,5 años vendiendo en Mercado Libre,2391,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1288,Negativa (24),Neutral (90),Positiva (1174),"Lima, Lima.",NA
