seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,14 años vendiendo en Mercado Libre,250569,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,285479,Negativa (5114),Neutral (16652),Positiva (263713),"Centro, Montevideo.",NA
AMVSTORE,http://perfil.mercadolibre.com.uy/AMVSTORE,6,6 años vendiendo en Mercado Libre,16821,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,10096,Negativa (28),Neutral (169),Positiva (9899),"Centro, Montevideo.",NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,11,11 años vendiendo en Mercado Libre,77728,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,52352,Negativa (90),Neutral (1229),Positiva (51033),"Centro, Montevideo.",NA
JESDEN SA,http://perfil.mercadolibre.com.uy/JESDEN+SA,4,4 años vendiendo en Mercado Libre,15332,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9365,Negativa (208),Neutral (623),Positiva (8534),"Atahualpa, Montevideo.",NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,12,12 años vendiendo en Mercado Libre,89353,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,75414,Negativa (1123),Neutral (4342),Positiva (69949),"Jacinto Vera, Montevideo.",NA
CIRCUIT OFERTAS,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,3,3 años vendiendo en Mercado Libre,17606,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,12929,Negativa (91),Neutral (403),Positiva (12435),"Centro, Montevideo.",NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,3 años vendiendo en Mercado Libre,15388,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,8865,Negativa (107),Neutral (375),Positiva (8383),"Centro, Montevideo.",NA
O TEC,http://perfil.mercadolibre.com.uy/O+TEC,4,4 años vendiendo en Mercado Libre,12408,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,8370,Negativa (2),Neutral (102),Positiva (8266),"Tres Cruces, Montevideo.",NA
TODOOFERTAS.UY,http://perfil.mercadolibre.com.uy/TODOOFERTAS.UY,10,10 años vendiendo en Mercado Libre,19626,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,12732,Negativa (25),Neutral (159),Positiva (12548),"Centro, Montevideo.",NA
MERCADOFULL82,http://perfil.mercadolibre.com.uy/MERCADOFULL82,7,7 años vendiendo en Mercado Libre,403,NA,NA,NA,290,Negativa (0),Neutral (4),Positiva (286),"Pocitos, Montevideo.",NA
YOVENTAS.COM,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,5,5 años vendiendo en Mercado Libre,4178,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,2815,Negativa (32),Neutral (111),Positiva (2672),"Rivera, Rivera.",NA
URU-MARKET,http://perfil.mercadolibre.com.uy/URU-MARKET,2,2 años vendiendo en Mercado Libre,401,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,290,Negativa (3),Neutral (12),Positiva (275),"Unión, Montevideo.",NA
Thonet & Vander Tienda oficial,http://perfil.mercadolibre.com.uy/THONET-VANDER-URUGUAY?brandId=148,3,3 años vendiendo en Mercado Libre,1242,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,920,Negativa (0),Neutral (8),Positiva (912),"Pocitos, Montevideo.",NA
ACCESOPC3000,http://perfil.mercadolibre.com.uy/ACCESOPC3000,5,5 años vendiendo en Mercado Libre,5941,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,4286,Negativa (14),Neutral (238),Positiva (4034),"Brazo Oriental, Montevideo.",NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,14 años vendiendo en Mercado Libre,42847,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,40627,Negativa (303),Neutral (2581),Positiva (37743),"Aguada, Montevideo.",NA
ELECTROVENTAS ONLINE,http://perfil.mercadolibre.com.uy/ELECTROVENTAS+ONLINE,11,11 años vendiendo en Mercado Libre,166444,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,95488,Negativa (348),Neutral (3246),Positiva (91894),"Centro, Montevideo.",NA
