search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Tipos de parlante,Voltaje,Altura
1, Parlante Portatil Bluetoooth Thonet Vander Frei Potenciado ,2998,NA,518,98,6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,308,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-745802501-parlante-portatil-bluetoooth-thonet-vander-frei-potenciado-_JM,190,83,25,6,4,#745802501,Thonet & Vander,Portatil,Frei BT,16 W,Woofer,Living,Caja,1.0,"USB, bluetooth, 3.5"" stereo",600 g,NA,NA,NA
2, Parlante Portatil Gadnic Karaoke Recargable Microfono Fiesta ,2299,4050,1237,119,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,146,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-749811314-parlante-portatil-gadnic-karaoke-recargable-microfono-fiesta-_JM,118,22,4,0,2,#749811314,Gadnic,NA,XBS10,2400 W,"Karaoke, Bluetooth, Fiesta, Luces","Departamento, Cumpleaños, eventos, comidas, reuniones",Trolley,NA,Entrada para Micrófono,NA,Karaoke,NA,NA
3, Parlante Bluetooth Portátil Luces Radio Usb + Envío Gratis ,1490,2190,3499,27,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,396,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-665013349-parlante-bluetooth-portatil-luces-radio-usb-envio-gratis-_JM,239,87,44,7,19,#665013349,Otras Marcas,MS,MS-105BT,NA,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",1.5 kg,Woofer,usb,NA
4, Parlante Bluetooth Portátil 4500 W Trípode + Mic Inalámbrico ,3990,4790,5943,135,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,683,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-679025125-parlante-bluetooth-portatil-4500-w-tripode-mic-inalambrico-_JM,448,151,58,10,16,#679025125,Otras Marcas,PBX,PBX-811SM,4500 W,Activo,De piso,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,Woofer,220V,NA
5, Parlante Xiaomi Portatil Bluetooth Inalambrico Mi Speaker ,2681,2979,385,9,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,29,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-767432359-parlante-xiaomi-portatil-bluetooth-inalambrico-mi-speaker-_JM,24,5,0,0,0,#767432359,Xiaomi,Bluetooth,Mi Speaker,6 W,Portátil,Universal,Bluetooth,NA,Auxiliar,NA,Portatil,1500mAh 3.8V,NA
6, Parlante Portatil Karaoke 8'' Bluetooth Fm Usb Bateria Luces ,2849,2999,356,61,6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.4,34,https://perfil.mercadolibre.com.ar/ELECTROWORLDGROUPARGENTINA,https://articulo.mercadolibre.com.ar/MLA-762427109-parlante-portatil-karaoke-8-bluetooth-fm-usb-bateria-luces-_JM,22,7,3,0,2,#762427109,Otras Marcas,PBX-8,PBX-8,NA,Woofer,NA,Caja,NA,NA,NA,Tweeter,9V,NA
7, Parlante Portatil Karaoke 8'' Bluetooth Fm Usb Bateria Luces ,2890,3790,2401,865,12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,325,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077353-parlante-karaoke-bluetooth-torre-fm-usb-mic-lampara-disco-_JM,213,84,18,4,6,#739077353,Otras Marcas,KPB,KPB-221,1500 W,Activo,NA,Torre Portátil,NA,"Bluetooth, USB, microSD y Aux 3.5 mm.",NA,Woofer,220V,NA
8, Parlante Karaoke Bluetooth Torre Fm Usb+ Mic + Lámpara Disco ,1899,2849,336,24,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,761,https://perfil.mercadolibre.com.ar/ELECTRO-SHOWS,https://articulo.mercadolibre.com.ar/MLA-779932908-parlante-jbl-go-2-bluetooth-portatil-nuevo-modelo-original-_JM,633,118,9,0,1,#779932908,JBL,NA,GO 2,3 W,Super tweeter,De piso,Caja,Estereo,NA,NA,Super tweeter,NA,NA
9, Parlante Jbl Go 2 Bluetooth Portatil Nuevo Modelo Original ,2279,2399,335,61,12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,62,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735697832-parlante-bluetooth-bomb-40w-luces-led-potenciado-usb-radio-_JM,48,7,2,4,1,#735697832,Kolke,NA,KPM222 BOMB,40 W,Activo,NA,NA,NA,Entrada para Micrófono,NA,NA,NA,NA
10, Parlante Bluetooth Bomb 40w Luces Led Potenciado Usb Radio ,1449,NA,294,48,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,30,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-674207418-parlante-karaoke-mp3-sd-usb-bluetooth-luces-efecto-full-_JM,22,7,0,0,1,#674207418,TECHNOLOGY LINE,NA,Bronx,10 W,Woofer,No aplica,Caja,NA,Entrada para Micrófono,NA,NA,NA,NA
