search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,179,249,84,999,18 cuotas,9.94,NA,Envío a todo el país,NA,NA,4.4,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,4,3,1,0,0,#463417487,NA,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,155,NA,191,10,18 cuotas,298.38,NA,Envío a todo el país,NA,NA,4.8,18,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,14,4,0,0,0,#452289064,Energy Sistem,NA,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1259,NA,1547,98452,18 cuotas,69.94,NA,Envío a todo el país,NA,NA,4.8,214,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,181,29,2,2,0,#446600412,JBL,GO 2,3 W,Activo,184 g,NA
4, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,47,154,18 cuotas,10.56,NA,Entrega a acordar con el vendedor,NA,NA,4,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,0,1,0,0,0,#451362894,NA,NA,NA,NA,NA,USB
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,3730,4350,971,99028,18 cuotas,207.22,NA,Envío a todo el país,NA,NA,4.8,205,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,173,26,4,1,1,#446600381,JBL,Flip 4,16 W,Activo,515 g,NA
6, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,14,99985,18 cuotas,1.386.11,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,2,0,1,0,0,#450750864,JBL,Boombox,NA,NA,NA,NA
7, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,197,NA,40,999,18 cuotas,10.94,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,2,0,0,0,0,#462659823,NA,NA,NA,NA,NA,NA
8, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3790,4999,172,898,18 cuotas,210.56,NA,Envío a todo el país,NA,NA,4.8,205,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM,173,26,4,1,1,#458480865,JBL,Flip 4,16 W,Activo,NA,NA
9, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6585,NA,95,99904,18 cuotas,365.83,NA,Envío a todo el país,NA,NA,4.8,44,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM,36,7,0,0,1,#452532629,JBL,Charge 4,30 W,Activo,NA,NA
10, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,63,2980,18 cuotas,75.07,NA,Envío a todo el país,NA,NA,4.7,6,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,2,0,0,0,#456920787,Kolke,NA,NA,NA,NA,NA
