seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,años,250656,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,287413,5146,16749,265518,"Centro, Montevideo.",NA,NA
AMVSTORE,http://perfil.mercadolibre.com.uy/AMVSTORE,6,años,17469,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,10462,29,182,10251,"Centro, Montevideo.",NA,NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,años,78831,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,53090,100,1270,51720,"Centro, Montevideo.",NA,NA
JESDEN SA,http://perfil.mercadolibre.com.uy/JESDEN+SA,4,años,15468,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9469,203,616,8650,"Atahualpa, Montevideo.",NA,NA
PCM URUGUAY-SA,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,8,años,72374,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,48474,837,2869,44768,"Centro, Montevideo.",NA,NA
FUTUROXXI DIMM,http://perfil.mercadolibre.com.uy/FUTUROXXI+DIMM,12,años,90208,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,76469,1136,4378,70955,"Jacinto Vera, Montevideo.",NA,NA
MERCADOFULL82,http://perfil.mercadolibre.com.uy/MERCADOFULL82,7,años,430,NA,NA,NA,305,0,4,301,"Pocitos, Montevideo.",NA,NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,años,16076,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9287,105,400,8782,"Centro, Montevideo.",NA,NA
TODOOFERTAS.UY,http://perfil.mercadolibre.com.uy/TODOOFERTAS.UY,10,años,20398,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,13257,50,190,13017,"Centro, Montevideo.",NA,NA
CIRCUIT OFERTAS,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,3,años,17925,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,13156,92,399,12665,"Centro, Montevideo.",NA,NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,años,41822,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,40989,309,2594,38086,"Aguada, Montevideo.",NA,NA
