search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Voltaje,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Conectores de entrada,Configuración de canales,Línea,Peso,Altura
1, Bafles Amplificados Bluetooth 8 Pulg Portatil Starsonic St80 ,548,"1,171","
			
			
				
				1396
				vendidos
			
		",(31 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3044
		
		 sin intereses
		
	

	
		",44,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.7,125,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-589904974-bafles-amplificados-bluetooth-8-pulg-portatil-starsonic-st80-_JM?searchVariation=21241457671,102,15,2,1,5,#589904974,Star Sonic,ST80,100v-240v 50Hz 0.5A,450 W,Subwoofer,Subwoofer,PISO / POSTE,BAFLE,Auxiliar,NA,NA,NA,NA
2, Megafono Bluetooth Mini Bocina Portatil Usbaltavoz Bs-559 /e ,129,NA,"
			
			
				
				1904
				vendidos
			
		",(16 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 717
		
		 sin intereses
		
	

	
		",17,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,2,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-569194544-megafono-bluetooth-mini-bocina-portatil-usbaltavoz-bs-559-e-_JM?searchVariation=29975771885,NA,NA,NA,NA,NA,#569194544,OEM,Megafono,NA,3 W,Subwoofer,Subwoofer,NA,NA,Entrada para Micrófono,NA,NA,NA,NA
3, Bocina Charge Mini Sd Aux Bluetooth+envió Gratis ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				989
				vendidos
			
		",(8 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1939
		
		 sin intereses
		
	

	
		",39,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,19,https://perfil.mercadolibre.com.mx/MALU8988452,https://articulo.mercadolibre.com.mx/MLM-648923855-bocina-charge-mini-sd-aux-bluetoothenvio-gratis-_JM,12,4,1,1,1,#648923855,Ridgiwey,BS-030,5W,15 W,Subwoofer,Subwoofer,Fij9,Bocina,NA,No,NA,NA,NA
4, Bocina Contra Agua Bluetooth Recargable Waterprof Negro ,63,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2293
				vendidos
			
		",(152 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 356
		
		 sin intereses
		
	

	
		",56,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.0,11,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744228-bocina-contra-agua-bluetooth-recargable-waterprof-negro-_JM,5,3,2,0,1,#665744228,Genérico,Waterproof,NA,3 W,Tweeter,NA,Portatil,NA,Auxiliar,NA,Bocina Bluetooth,100 g,NA
5, Bocina Jbl Go 2 Bluetooth Negra Metalica A Prueba De Agua ,599,799,"
			
				Nuevo
			
			
				
					 - 
				
				968
				vendidos
			
		",(147 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5918
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,479,https://perfil.mercadolibre.com.mx/TECNOLIBYO,https://articulo.mercadolibre.com.mx/MLM-669024398-bocina-jbl-go-2-bluetooth-negra-metalica-a-prueba-de-agua-_JM,445,31,2,1,0,#669024398,JBL,GO,NA,3 W,Subwoofer,Subwoofer,NA,NA,NA,"NA",NA,NA,NA
6, Bocina Contra Agua Bluetooth Recargable Waterprof Rosa ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2800
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1883
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,293,https://perfil.mercadolibre.com.mx/IDEAGLOBALMX,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=90bfjDE8SUeQsSKgyufVn1qOYh9DGBh4xjK8Y%2FKU%2BD2QUoitw%2FGv4SkB82W6hi%2FF2B%2Bak0ZO91KsTULWJ8oIA7NSAMzxrdwHKB5LHbzSHcjT3hhIhzzo7Xa5TO5aLZ%2F10yoIckckF%2FDcO3ipYEcLpdrRu%2BhCSzxS9oLpiALh2Cem9G88RoXKyB%2F48hJcEFI0ajDL%2BtM1lj0wJ0D7Lrlkq5FdIIKGyY8nEHxahr8KGNv15BlUUq3hcWwDwMCt%2FInV84wU%2BDrPeG6Um271fGNc5LXbut%2FW3ieVETISu%2BEY%2B39V%2BC%2FFBMh4B%2BhDKY5JbaA1bLd6u2Imh7Ua8obV4obW2A1pnqKC3K%2FAdg5Bhi5b4p%2FZ9qdaln6YJqyqTS4cPuTOy1mJ8jcmZgQvN9qExhR%2Fuv%2FLSJDCAOPztB8UeJFvdqtnaosCTkPorPtUmt5NIus8mKO%2BnFdwr%2FrRpYNNkn1Rnzyo3mSAtZk29UKkLP944auVK9VQOIkSXUaP6p%2FusGtmqCARmdLjW5TV%2BogmjtajTdybIfeXQw3KV3vo6DQdnRKlUCqojdb9HkLMa8l8CfL7Y4Ji8Fah0vZY1qvHRujbAXQJnsiZK4ItEPLq7OgpLT%2Fg2ZG15CxJ8XXVf65GMqG5UPpr1CQMJdbMTpvUvvAFwW%2FNpKbV7wctv%2FvybU2Ujo%2Fj9k10reeRSLMgG6UWHrXdJiMTUGJNqFpesMK5zawOBAoPAgo3xa9UWOlmqnatkAJ2gRuRKVnIfJZoog7SRY9Pmnv2JO%2Bw5kdMME%2Bv79et7uH4Ha%2B5CNSgPM13a0z27qF%2FKBlR8zs7w9qF2iJr36RZS7sGftJp5U5wqGVqNJi3ey%2FWbkULWMbQlPPjdFQPUO7xd2%2FpGFTpSXQANWlM7AsmTXFE1RDfGYwJHrIsSUF9SbRvxR%2Bq94%2Bx3USXCQoNC0fsKc0Cu6KOeVUEQl9zgi502RYKhdxNUtpY0QrOdfHcLIA4Z0UYLajq9i9QkIdKWaQelQvkHObDyyCfxDOJGcsSCaUPakcbD20H9hLWIbmYEbWyD%2BvhQmRVua%2BAiXz%2F4SdrxnZBZ8RjEoMFjEeVh0z3rtIscxvoPE%2F56b4VYKM8jCzKA1t9Hkh2o%2FVgVpDJ8qw3AC1Brf7oCiZhts1hB%2F5MzPlWi6CrgcSz6ADNfZgYWsGtofWyl8HhzNPq95fYCqfOsEuOyy0L2YIXiU7WjdKpfvQ7vAX1Cr%2F0%2BUgS2gBxx3upYVAsZrMNPr54WvxtxtQCL79jfOWSO%2FOV%2FBV2PJYqGhYZ5PPEp7rOdg6brPng0XIBUC40FdbVWQ54umxRvfQbgvmNe8KBYbpGHoqUk3tZ7SskTmJxVmiMoFjfRFjcglp5UfjVkYIPSu4XimtYqOC5Zm5IPTRo72%2BiwsiCI5zR3tUJrog%2BjFxxs6Z1b3VED32E2G2tknCoJxAl2iMA3AXIdjZyG2f3TtDslxwJenaHQOjepzKFxOeV5qo1mZdjjjLDDf4P7rBismLc%2BhEwl5ALoK6Ir8ZJXMb5duV8kkXtzHb5GD85zxECNCnmGImy4vM0SwAcA2GngwS8w%2BxG6y6X%2BFjM0djg4GflvduP2LKcC3A%2BHlnqLuY58YWm2bxt5VNR11xBW38RsOREWH9IzOk0CKwDknLlXDUf%2FRz6tAb7Q9Gqsn5gxmFxX5MTD1LCMphkqN2aJOvrFD3vEH%2BPiCcX%2FQmlPSLOUsG4p4wYusWbcm8Mbjx1RDaTk%2FwEvqfGZRBFGDoLSwmtxOwz%2FWWzHSvmtZjQyDMBY8LTNiberSGyYF03aciyvVB%2F4zRY2CrIQTnXHMrCWIy%2BPxLtmmZiF3ufFpcghrEvBejw49hmZnrktrQfLEwqbkztZ1bNoIw9Cdz%2FC1nq3hEow8Sj8Z%2BU2kDdXqw2oToD7b%2BXyaQyG4HjGxQXlNyZR8vCQLQCys2D%2FbGGpwcEiS8YIpBXLnI%3D,202,69,19,2,1,#541621537,Idea global mx,Plus,110V,6 W,Subwoofer,Subwoofer,Na,cilindro,USB,2.1,S9,300 g,NA
7, Bafles Amplificados Bluetooth 8 Pulg Portatil 81 Star Sonic ,63,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1070
				vendidos
			
		",(495 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 356
		
		 sin intereses
		
	

	
		",56,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,7,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744227-bocina-contra-agua-bluetooth-recargable-waterprof-rosa-_JM,4,2,0,0,1,#665744227,Genérico,Waterproof,NA,3 W,Tweeter,N/A,De pared,NA,Auxiliar,NA,Bocina Bluetooth,100 g,NA
8, Bocina Bluetooth 4.2 Usb Sd Mp3 + Radio Bateria 12 Hrs ,545,899,"
			
			
				
				4621
				vendidos
			
		",(142 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,158,https://perfil.mercadolibre.com.mx/VENTRONIC_GDL?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-593882819-bafles-amplificados-bluetooth-8-pulg-portatil-81-star-sonic-_JM?searchVariation=17434285683,111,36,4,4,3,#593882819,Link Bits,ST-81L,NA,4500 W,Subwoofer,Subwoofer,De piso,BAFLE,Auxiliar,NA,NA,NA,NA
9, Bocina Bluetooth 4.2 Usb Sd Mp3 + Radio Bateria 12 Hrs ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				2800
				vendidos
			
		",(6 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 1883
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.6,293,https://perfil.mercadolibre.com.mx/IDEAGLOBALMX,https://articulo.mercadolibre.com.mx/MLM-541621537-bocina-bluetooth-42-usb-sd-mp3-radio-bateria-12-hrs-_JM?searchVariation=34568212465,202,69,19,2,1,#541621537,Idea global mx,Plus,110V,6 W,Subwoofer,Subwoofer,Na,cilindro,USB,2.1,S9,300 g,NA
10, Bocina Contra Agua Bluetooth Recargable Waterprof Blanco ,63,NA,"
			
				Nuevo
			
			
				
					 - 
				
				654
				vendidos
			
		",(467 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 356
		
		 sin intereses
		
	

	
		",56,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,2.5,2,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665899989-bocina-contra-agua-bluetooth-recargable-waterprof-blanco-_JM,NA,NA,NA,NA,NA,#665899989,Genérico,Waterproof,NA,3 W,Tweeter,NA,De pared,NA,Auxiliar,NA,Bocina Bluetooth,100 g,NA
