search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,179,249,96,999,18 cuotas,9.94,NA,Envío a todo el país,NA,NA,4.3,8,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,3,4,1,0,0,#463417487,3 W,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,155,NA,193,10,18 cuotas,302.34,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1248,NA,1563,98436,18 cuotas,69.33,NA,Envío a todo el país,NA,NA,4.8,217,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,183,29,2,2,0,#446600412,3 W,JBL,GO 2,Activo,184 g,NA
4, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,52,149,18 cuotas,10.56,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,0,1,0,0,0,#451362894,NA,NA,NA,NA,NA,NA
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,3725,4350,975,99024,18 cuotas,206.94,NA,Envío a todo el país,NA,NA,4.8,209,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,176,26,4,1,1,#446600381,16 W,JBL,Flip 4,Activo,515 g,NA
6, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,14,99985,18 cuotas,1.386.11,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,2,0,1,0,0,#450750864,NA,NA,NA,NA,NA,NA
7, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,197,NA,43,999,18 cuotas,10.94,NA,Envío a todo el país,NA,NA,5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,2,0,0,0,0,#462659823,3 W,NA,NA,NA,NA,NA
8, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3790,4999,174,897,18 cuotas,210.56,NA,Envío a todo el país,NA,NA,4.8,209,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM,176,26,4,1,1,#458480865,16 W,JBL,Flip 4,Activo,NA,NA
9, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6550,NA,96,99903,18 cuotas,363.89,NA,Envío a todo el país,NA,NA,4.8,45,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM,36,7,0,0,1,#452532629,30 W,JBL,Charge 4,Activo,NA,NA
10, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,65,2978,18 cuotas,76.07,NA,Envío a todo el país,NA,NA,4.6,7,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,3,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA
