search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de alto-falante,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Peso,Linha,Voltagem,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Resposta máxima em frequência,Resposta mínima em frequência,Cor
1," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",169,NA,1210,241,12x,14.11,NA,Envio para todo o país,NA,NA,4.8,119,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1068923654-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,99,13,5,0,1,#1068923654,JBL,28910851,3 W,Woofer,Ativo,"Moto, bicicleta",Caixa,.,1,340 g,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,159,NA,12551,160,12x,15.29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1287,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,792,262,122,45,66,#757364044,Infokit,VC-M874BT,12 W,"Subwoofer, Twitter",Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Torre,Bluetooth,3,NA,Bluetooth,110/220v ou USB 5v,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",80 dB,17 cm,14 cm,36.5 cm,NA,NA,NA
3, Caixinha Som Portátil Bluetooth Fm P2 Mp3 Cartão Pen Drive ,26,NA,3136,4,5x,5.89,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,188,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175510231-caixinha-som-portatil-bluetooth-fm-p2-mp3-carto-pen-drive-_JM,165,13,6,2,2,#1175510231,Goldenultra,GT-356BT,8 W, , , , , ,NA,NA,NA,(Bivolt),"P2,Leitor SD, Usb, Auxiliar P2",NA,NA,NA,NA,NA,NA,NA
4, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,35,43,4344,4,6x,6.51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,187,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154024173-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,145,16,15,3,8,#1154024173,Goldenultra,Torre,10 W,Subwoofer,Subwoofer,Portátil,Torre,5.1,NA,NA,Caixa de Som,NA,USB,NA,NA,NA,NA,NA,NA,NA
5, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,36,NA,3173,2,6x,6.84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,155,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175508663-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,129,8,7,3,8,#1175508663,Grasep,Torre,10 W,NA, , , , ,2,NA,Portátil,110V/220V (Bivolt),USB,80 dB,NA,NA,NA,NA,NA,NA
6, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,205,NA,1075,264,12x,19.66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,44,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,30,8,3,1,2,#1114227033,Grasep,D-Q10,30 W,Woofer,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",Caixa,5.1,3,NA,Voxcube,Bivolt,Entrada para Microfone,NA,NA,NA,NA,NA,NA,NA
7, Mini Caixa De Som 8w Rms Bluetooth Rádio Fm Sd Auxiliar Usb ,32,NA,1132,56,6x,6.09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,30,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,20,4,5,0,1,#1019314215,Importado,QS-505,8 W,NA,NA,NA,Caixa,NA,1,387 g,NA,NA,USB,80 dB,NA,NA,NA,150 kHz,18 kHz,NA
8, Caixinha Som Potente 80w Bluetooth Caixa Amplificada Mondial ,159,NA,420,2,12x,15.29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,27,https://perfil.mercadolivre.com.br/MAGAZINE+NOBREAK,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=Nft8VD3xqZ0mKlbZ%2FT8CshPGu%2Frf9AOyx5dyL2Mf6tOS1A%2Fh6zfd45zhKBiQvz3edo1vTKe5S%2FDAFVkKnC3Qh6qRP%2FU4OVp3oaCfQJOBDfODpaF69mV4tlzthvqeu2fJyaBT7OD3FwYtGX3KuEn3dqHXc6nAjpOHS39m1lnQLZVrzr5uqsu3jI7iaZXDmYF1s%2F55m%2Bc%2BMM58PdR3mtrD8syAWLTeayas58S6m20blxOV7fIr%2FK7WMaMea6yh0MLGQQZ%2BHUYGgaLrAoNLfNpT4VqBAgVCeLhKBeTYpiy5cc4tkz7nlbIlj6xS0JxXKptNvtOQdXhuQ7Xd1ZFl5p2eGDLJ%2B5xX04WGyqAY0mfkEfpHLIKkCHHQX0JhmOWBjB%2BkWZWf%2FGFftdFsMMxw30OEL72gw8oD%2FReudLB17Md80tJWfubdb41KEUooT2NP0RG3zBmsSv%2FALbcWlCY9gBk9l8sZmd5T95XuV1jkIU7sy9GoQqGrKeonmZ74MegK69JWXwg9OyyySoTZOKFkOdZghPRqq%2BM7wD4yx9o38V1YNqA7ixnHPX4eiJQjrHWwt9hc4BpeF1EFoSWZpGPG4cN9TcF5oKJdUkKw0M0LQ8tTbCZBcshrhsbAyHKFPT%2FDSDTvlabt49idM7kwck4XIGpacEK%2F2bwnjQuH%2Bb%2FvfBgSEpaHvDSCKlheAJ7FgoNmtM263jN3M%2BRin08it6ev3msrR%2Fklyjce1WOVO5d3l1GhvEgf23QlhwRF6cSkFVl6jx74q7PYWkGJ0AOE4LS993h0alMYjFuBQIE9nR143o4xyje%2BBChYpJtJzxjsRbm%2BGnhgKG4SjOBfDvkNQNcpX3f3jxokbByYehMWvZAuUhjelH%2Bp4eUEXR%2BZI8QR9x4tMybYewcD3kwCqyZ9bPuaKQqUkpZkP48z4kc3KS%2FuBhxy5RI7uziYi3w0G0z1OTPfSzrhX5BeBQASUZpbnLNQl3Bx43FN4VSHmRgQzlbzOyZ4XW3CLvk4h4kG4uPce2Pmr2Al1gHxzrV2lf0PKSyG52%2BAcpangbVFY6eRKHxxfrWLPmNH2%2Buy0fjQClHZweal%2BUWkgfxRAq4SbaF2s5lWZluq7IiPHhtyzVghx2WZWTBYQUqLktfdqbKKXS3R0DSD%2BdT8%2Fz2YD2%2FUmRViqRCMfNFxqarzGsQ2HmeGomagH0dlmcA8i%2BYFvZSvpc5uROiutnqPM18a%2F0vFlXIJqEcMAOKkDTH3AMsDVyDJmVw89iklTW%2BJtM6YFQxEMBkBbQ5B8HytsSwF5BYEEwyQAq0iAoxxxvh7JFhbiQjl6EAhf8UjuLM7T0gq0m1vty4KaJnsi3vihdTCsflcE7J9%2BY%2FGEqdpDbGHhoz8vQQXGzgumhIXxApg3w6rWJDRpxgy7V8MuQzyA%2FgffhaTmhSdElQRNZQ06n%2BoNp2PMVKTv5wJA%2B9DnIk2iKMlFhik1xlPb7tDNlputL0mw870WjvGkc0Fh8Ab%2BnvB%2F3SOtdeoVbT2KXR3ZFxIr4qYeXefbYV8b80SlhSiusnTCPLoH1JBcQJsSJPLfd1aO2SyEhcrdM6vuZhJfaVzO%2FKXaKazQ2w9V1H9jh8jZMWKwAbwWYG%2BQxWvaqRJ3y0qaeDiJlMGtWoQWUCF5jWoLcFiAgsnSr9HPFr7hpI3zrXYLCZZYZrPBHKFySE8VjNJdZq%2BoYwqsXac9sYRSJWJWDMy0J8ZpUPu%2FnA5DQbsz94HBC7%2FN1ZqXdHlgd4ElrH02%2F0c07PTBPJp%2F46wIyklZcC7DXeETwabw%2BjabmB737NDQUURV5MUJPjDRjGhhqlxa%2FnGNw6tkrsgtsA6d8fZNc8VBdWdd79fAT10rTnLfLtddMFn76%2FwHkc%3D,26,0,1,0,0,#1208611850,Goldenultra,Ws-887,3 W,NA, ,NA,NA,NA,NA,NA,NA, , ,NA,NA,NA,NA,NA,NA,Pele
9, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,207,NA,753,16,12x,17.32,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,26,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,https://produto.mercadolivre.com.br/MLB-1147417505-caixinha-som-potente-80w-bluetooth-caixa-amplificada-mondial-_JM,21,3,2,0,0,#1147417505,Mondial,MCO-07,80 W,Subwoofer,Subwoofer,Alça para Transporte,Caixa,Digial,NA,2.2 kg,Thunder VII,Bivolt,NA,NA,22 cm,12 cm,32 cm,NA,NA,NA
10, Caixa Caixinha Som Portátil Bluetooth Mp3 Usb Cartão Fm 300w ,158,206,657,172,12x,15.16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,883,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,https://produto.mercadolivre.com.br/MLB-1073888661-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM,715,118,34,6,10,#1073888661,JBL,Wind,3 W,NA,Ativo,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,20 kHz,20 Hz,NA
