seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Ventronic Tienda oficial,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=1714,4,años,129072,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,9620,317,199,9104,"Guadalajara, Jalisco.",meses,4
MALU8988452,https://perfil.mercadolibre.com.mx/MALU8988452,2,años,4224,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,383,21,19,343,"Coyoacán, Distrito Federal.",meses,4
TC MEMORY.,https://perfil.mercadolibre.com.mx/TC+MEMORY.,11,meses,11047,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,761,48,33,680,"Guadalajara, Jalisco.",meses,4
TECNOLIBYO,https://perfil.mercadolibre.com.mx/TECNOLIBYO,1,año,1820,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,239,3,2,234,"Naucalpan, Estado De México.",meses,4
IDEAGLOBALMX,https://perfil.mercadolibre.com.mx/IDEAGLOBALMX,7,años,13379,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1200,21,20,1159,"Coyoacán, Distrito Federal.",meses,4
Ventronic Tienda oficial,https://perfil.mercadolibre.com.mx/VENTRONIC_GDL?brandId=1714,12,años,29843,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1966,58,40,1868,"Guadalajara, Jalisco.",meses,4
COMPUPRICE,https://perfil.mercadolibre.com.mx/COMPUPRICE,15,años,22618,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,2791,86,55,2650,"Huichapan, Hidalgo.",meses,4
Select Sound Tienda oficial,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,4,años,1556,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,150,1,4,145,"Tlalnepantla de Baz, Estado De México.",meses,4
SLIM_COMPANY,https://perfil.mercadolibre.com.mx/SLIM_COMPANY,12,años,149140,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,10309,399,253,9657,"Cuauhtémoc, Distrito Federal.",meses,4
ORIENTAL FITNESS,https://perfil.mercadolibre.com.mx/ORIENTAL+FITNESS,17,años,4958,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,536,20,27,489,"Venustiano Carranza, Distrito Federal.",meses,4
GURUDELGADGET,https://perfil.mercadolibre.com.mx/GURUDELGADGET,19,años,825,MercadoLíder Gold¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,68,0,1,67,"Jesús Maria, Aguascalientes.",meses,4
PSACOMPUTOYPAPELERIA,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,14,años,16222,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,691,29,16,646,"Durango, Durango.",meses,4
TKPARTES,https://perfil.mercadolibre.com.mx/TKPARTES,13,años,13708,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1371,36,34,1301,"Guadalajara, Jalisco.",meses,4
Velikka Tienda oficial,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=884,4,años,129072,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,9620,317,199,9104,"Guadalajara, Jalisco.",meses,4
GRUPO MARTIÑON,https://perfil.mercadolibre.com.mx/GRUPO+MARTI%C3%91ON,11,años,6131,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,526,18,7,501,"Cuautitlan Izcalli, Estado De México.",meses,4
AXLOIEFFCN,https://perfil.mercadolibre.com.mx/AXLOIEFFCN,8,meses,9835,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1179,44,40,1095,"Cuautitlan Izcalli, Estado De México.",meses,4
Bose Tienda oficial,https://perfil.mercadolibre.com.mx/PREETAIL?brandId=1312,7,años,6822,MercadoLíder Platinum¡Es uno de los mejores del sitio!,Brinda buena atención,Entrega sus productos a tiempo,1602,15,12,1575,"Alvaro Obregón, Distrito Federal.",meses,4
