seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Ultimate Ears Tienda oficial,http://perfil.mercadolibre.com.pe/IN5517657?brandId=142,8,meses,157,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,107,0,5,102,"Lima, Lima.",NA,NA
Anker Tienda oficial,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,8,meses,281,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,167,2,5,160,"Lima, Lima.",NA,NA
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,7,años,1739,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1060,3,34,1023,"Lima, Lima.",NA,NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,años,1117,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,717,1,26,690,"Lima, Lima.",NA,NA
ELECTROFERTAS SELLADAS,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,1,año,378,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,346,0,0,346,"Lima, Lima.",NA,NA
BESTOFFERSPERU,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,5,años,1568,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1082,2,61,1019,"Lima, Lima.",NA,NA
BONOTECH.PE,http://perfil.mercadolibre.com.pe/BONOTECH.PE,6,años,4098,NA,NA,NA,2483,12,271,2200,"Lima, Lima.",NA,NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,1,año,1077,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,770,0,20,750,"Lima, Lima.",NA,NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,años,2109,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1125,0,12,1113,"Lima, Lima.",NA,NA
Sony Tienda oficial,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,2,años,1624,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1055,24,71,960,"Lima, Lima.",NA,NA
