value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Llega gratis hoy,,
3,días,días,Envío,,
4,,,Llega hoy,,
5,,,Entrega a acordar con el vendedor,,
6,,,Envío gratis a todo el país,,
7,,,Retiro gratis en local de Ribeiro,,
8,,,Envío a todo el país,,
9,,,Retiro gratis en local de Frávega,,
10,,,Retiro gratis en local del vendedor,,
11,,,Llega mañana,,
12,,,Retiro gratis en local de Compumundo,,
13,,,Retiro gratis en local de Garbarino,,
14,,,Envío gratis,,
15,,,Chegará amanhã,,
16,,,Llega gratis el viernes,,
17,,,Retiro gratis en tienda de Geant,,
18,,,Retiro gratis en tienda de Mosca,,
19,,,Retiro gratis en tienda del vendedor,,
