search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Voltaje,Tipos de parlante,Altura,Ancho
1, Parlante Portatil Bluetoooth Thonet Vander Frei Potenciado ,2698,2998,547,89,6 cuotas sin interés,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,316,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-745802501-parlante-portatil-bluetoooth-thonet-vander-frei-potenciado-_JM,193,88,25,6,4,#745802501,Thonet & Vander,Portatil,Frei BT,16 W,Woofer,Living,Caja,1.0,"USB, bluetooth, 3.5"" stereo",600 g,NA,NA,NA,NA
2, Parlante Portatil Bluetooth Gadnic Karaoke Luz Mic Trolley ,3499,5650,616,4965,12 cuotas,NA,NA,Llega gratis hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,58,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-647302443-parlante-portatil-bluetooth-gadnic-karaoke-luz-mic-trolley-_JM,44,6,6,1,1,#647302443,Gadnic,NA,XBS11,2500 W,"Karaoke, Bluetooth, Wireless, MP3","Salones, casas, departamentos",Trolley,NA,Entrada para Micrófono,NA,12V,Karaoke,40 cm,NA
3, Parlante Bluetooth Portátil Luces Radio Usb + Envío Gratis ,1490,2190,3751,127,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,417,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-665013349-parlante-bluetooth-portatil-luces-radio-usb-envio-gratis-_JM,250,91,45,9,22,#665013349,Otras Marcas,MS,MS-105BT,NA,Activo,NA,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",1.5 kg,usb,Woofer,NA,NA
4, Parlante Bluetooth Portátil 4500 W Trípode + Mic Inalámbrico ,3990,4790,6108,21,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,697,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-679025125-parlante-bluetooth-portatil-4500-w-tripode-mic-inalambrico-_JM,458,153,60,10,16,#679025125,Otras Marcas,PBX,PBX-811SM,NA,Activo,De piso,Caja Portátil,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,220V,Woofer,NA,NA
5, Parlante Xiaomi Portatil Bluetooth Inalambrico Mi Speaker ,2839,NA,439,3,12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,38,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-767432359-parlante-xiaomi-portatil-bluetooth-inalambrico-mi-speaker-_JM,32,6,0,0,0,#767432359,Xiaomi,Bluetooth,Mi Speaker,6 W,Portátil,NA,Bluetooth,NA,Auxiliar,270 g,1500mAh 3.8V,Portatil,NA,NA
6, Parlante Jbl Go 2 Original 100% Nuevo Modelo Garantía ,1879,NA,446,9,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,809,https://perfil.mercadolibre.com.ar/LMS-TIENDAVIRTUAL,https://articulo.mercadolibre.com.ar/MLA-732396927-parlante-jbl-go-2-original-100-nuevo-modelo-garantia-_JM,676,122,10,0,1,#732396927,JBL,NA,GO 2,3 W,Pasivo,todos,portatil,NA,NA,184 g,NA,Tweeter,NA,NA
7, Parlante Karaoke Mp3 Sd Usb Bluetooth Luces Efecto Full! ,1399,1999,385,56,12 cuotas,NA,NA,Envío,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,30,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-674207418-parlante-karaoke-mp3-sd-usb-bluetooth-luces-efecto-full-_JM,22,7,0,0,1,#674207418,TECHNOLOGY LINE,NA,Bronx,10 W,Woofer,No aplica,Caja,NA,Entrada para Micrófono,NA,NA,Portatil,NA,NA
8, Parlante Bluetooth Inalambrico Resistente Agua Sopapa Ducha ,208,NA,240,8,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,3,2,https://perfil.mercadolibre.com.ar/DIGITAL+APPS,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=qDbhSsfO1cEzf%2F38wcFac8JhkcA1C1yDwPf4RDGUEBvguwwuIWn7iX%2F4ZnTGpo6W8yxPb0iaFRJxuL%2FRDbNm5z1tyWl8fuRbk%2FH%2F6owno8LviS%2BsPhCCEe0hODOyEnqGzgHxDdAFmamPncOyiuIMWQYh4HIexoQ5AuaJ4YHkhm6kekPi27RWdCPNRwBhLLqOORjDcpGjPxEqVyb6ZYtCLJKMTo97ZpB52D5ummAOrzjetuj3%2B79h3IDbDw6KufizKU2OUPDkUz4lG8W3a5pOFZGtXH9w4agr%2FeX%2BK6jM%2FnQGYzb%2FITz5J15NxD81j5REW3KHvgZdWXsJPGnSr1KfYpcFPaPI6nRah9K0prH91PSQt3IcLlmFNvpA5BfSqbqRkpT25EuSVDUN3f3TLEtT2cFvInKwzZGVogWBffEaFjQzZpJhJhvky1cDUdErP8yple3%2BuqNuphrm7r84uPJb7FcGXuAuM%2FrafDm0VmRftyFmaMHj4VgsV2dR3H66KEP2EIhtGQyjkb7zLMZH1O0xOLckz64W7LKyuX%2Fr%2F4IZ%2FoeDkHzGdwd%2FNJjGeNBbJHE3xZEW17ZtI35weUlGbWlzzmtJNh7tbn7%2FxEVKaYZZowZxfj5GXn6mp%2BwMWY3jZilbEzzB8R4jlzrsK9Zm%2BwsQIUjqVyIFSWtTOXZNaQfr%2BCsMsy8BpCePM4Qkk99TIM1qDBLSpykoxqpuo9C1xNwf6PPwBT18EbRcbHX9MPCOtADGP9NjU8Ir6dXXUP9pcCT32jY40DqMzY%2BRus67WiPqq%2BLm%2FhFSqXnnu1orDVJl1Q4C%2BJtYvfwj9igph3Lbzrl95PFL9w5kz%2FIZ8nczgkot%2BhBi9JTIr6FyfQaXIqAbDtGsdqUO1ihVDmsLs4UajlbUfLRjtACxglkobhgWqFohIVtaKi1rPKkXF%2BR0zsVLQmNFEKlzxuJl9QkG7DbQjzTHTK46CS%2BEmZdWWgea%2FtMVzUJr9b7Gd57jOyQYQpYpCwQ3EeDGdC9OFIpJ7HzdY%2Fi%2BdfZSRSBhmIRhdw63HvPvb19Zp5RWE%2FBSLwupBt9fnUSIif2LZW6GW8JzJu6E9rFrHEtos8ltH%2FQKGngTitQI%2FB3cU8iwUlgxKvvzwwEOkrMQsZXc8JhDRppcPGAW2%2F%2BHYDeuW1H6%2Bw5F%2Bpqay0jg6kiyKZAyPrT0L5%2FxdGzSytUo8kdrNGEFZub%2BM%2Fzg1ZPwYgSMdQENlC9bB%2B2k3HZb2hJIEbhfsoBilChtE56oVnvMzigAqPFDRi76EqyjPe1JovJ%2FYgAEAHRKDQAH9fLoiJtO8U8uuON6Cw3nxABvcAq4oU1lNsarEnKoPIzJse8iqGkVP6a5nc154qa4hp6eHEp94hBu15d8Y5sF1U3rNN6e49N8RYocEOR8dbeKmN0B%2FUt9qEGSrcETSDuafn5pt%2BzAnbdYHbJNP0CumBzOBgRuRllBT97DTtA468bXJbG80HM5QeXGhWUOHTICda6giKK6YZeFLRsM%2FLsiR2cObsIVKH3ySk0qN6YJOWICSDg3LTtK8l1tJuV6sSDGd9f3NJ5rkQqmQ2tuvyRy%2F4Hmy9Z6rOT7YtN45y54puvosC2ZDZ0Nn7Qh%2Fc68LElN0zZwAhk52zKkyl0J5LMY96%2BqJn8YmdAb9QIc%2Fi7MTQXx1ArKEWkKaD8h5qkSkIraBQP6T1gHAyHjkGcHoFu2oN6iiFuYOU%2BdojQj85BYn02Gk8DR0PIvSHvkqT7cVTQph5WgOa7gRj9f%2FOP5fsH1hXcz%2FqfxrejPu8E3eFAgegH5Z2h1ToDeCXU434WwvBXaOwkqi3LYibGX3QnnjBdnEBaMTsmdg0eJTajTtaLfzpn8hsr3FKhXOXZF%2Bg%3D%3D,0,0,2,0,0,#723725229,Global Electronics,NA,Bluetooth,3 W,NA,NA,redondo,NA,NA,NA,NA,Bluetooth Inalambrico,NA,NA
9, Parlante Karaoke Bluetooth Torre Luces Led Fm Usb Micrófono ,2890,3790,2456,239,12 cuotas,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,326,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077353-parlante-karaoke-bluetooth-torre-luces-led-fm-usb-microfono-_JM,214,84,18,4,6,#739077353,Otras Marcas,KPB,KPB-221,NA,Activo,NA,Caja,NA,"Bluetooth, USB, microSD y Aux 3.5 mm.",NA,220V,Woofer,NA,NA
10, Parlante Karaoke Bluetooth Usb + Luz + Sd + Microfono ,1349,2299,1005,15,12 cuotas,NA,NA,Llega hoy,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,84,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-648179703-parlante-karaoke-bluetooth-usb-luz-sd-microfono-_JM,59,18,5,1,1,#648179703,TECHNOLOGY LINE,NA,SBL10-KARAOKE-RED,10 W,Woofer,NA,Caja,NA,NA,NA,NA,NA,NA,NA
