search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potência de saída (RMS),Tipos de filtros do alto-falante,Resposta máxima em frequência,Resposta mínima em frequência,Linha,Modelo alfanumérico,Voltagem,Tipos de alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Quantidade de alto-falantes,Conectores de entrada,Sensibilidade de entrada,Largura,Profundidade,Altura,Peso,Cor
1, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,158,206,"
			
			
				
				719
				vendidos
			
		",(132 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1516
		
		 sem juros
		
	

	
		",16,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,895,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,https://produto.mercadolivre.com.br/MLB-1073888661-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM,723,119,36,6,11,#1073888661,JBL,Wind,3 W,Ativo,20 kHz,20 Hz,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2," Caixa De Som Jbl, Wind, Bluetooth, 3 Watts, Preto - Jblwind ",159,NA,"
			
				Novo
			
			
				
					 - 
				
				12690
				vendidos
			
		",(54 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1529
		
		 sem juros
		
	

	
		",29,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,1290,https://perfil.mercadolivre.com.br/BREVISTORE,https://produto.mercadolivre.com.br/MLB-757364044-caixa-de-som-bluetooth-amplificada-portatil-microfone-gratis-_JM,795,262,122,45,66,#757364044,Infokit,VC-M874BT,12 W,Ativo/Passivo,NA,NA,Bluetooth,VC-M874QBT,110/220v ou USB 5v,"Subwoofer, Twitter","Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Torre,Bluetooth,3,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",80 dB,17 cm,14 cm,36.5 cm,NA,NA
3, Caixa De Som Jbl Go 2 Portátil 3w Bluetooth Original ,35,43,"
			
				Novo
			
			
				
					 - 
				
				4519
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 651
		
		 sem juros
		
	

	
		",51,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,194,https://perfil.mercadolivre.com.br/FIXEXPLODE,https://produto.mercadolivre.com.br/MLB-1154024173-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,151,17,15,3,8,#1154024173,Goldenultra,Torre,10 W,Subwoofer,NA,NA,Caixa de Som,NA,NA,Subwoofer,Portátil,Torre,5.1,NA,USB,NA,NA,NA,NA,NA,NA
4, Caixa De Som Bluetooth Amplificada Portátil Microfone Grátis ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				3265
				vendidos
			
		",1,"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,158,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://produto.mercadolivre.com.br/MLB-1175508663-caixa-som-bluetooth-amplificada-torre-mp3-fm-usb-sd-pc-500w-_JM,131,8,7,4,8,#1175508663,Grasep,Torre,10 W, ,NA,NA,Portátil,GT--515BT,110V/220V (Bivolt),NA, , , ,2,USB,80 dB,NA,NA,NA,NA,NA
5, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,205,NA,"
			
				Novo
			
			
				
					 - 
				
				1134
				vendidos
			
		",(205 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1966
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,45,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM,30,8,3,1,3,#1114227033,Grasep,D-Q10,30 W,Woofer,NA,NA,Voxcube,NA,Bivolt,Woofer,"Sala, Quarto, Festas, Eventos, Sítio, Praia",Caixa,5.1,3,Entrada para Microfone,NA,NA,NA,NA,NA,NA
6, Mini Caixa De Som Rádio Fm Am Sw Portátil Mp3 Player Usb Sd ,32,NA,"
			
				Novo
			
			
				
					 - 
				
				1159
				vendidos
			
		",(44 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 609
		
		 sem juros
		
	

	
		",09,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.4,31,https://perfil.mercadolivre.com.br/123+COMPROU,https://produto.mercadolivre.com.br/MLB-1019314215-mini-caixa-de-som-8w-rms-bluetooth-radio-fm-sd-auxiliar-usb-_JM,21,4,5,0,1,#1019314215,Importado,QS-505,8 W,NA,150 kHz,18 kHz,NA,NA,NA,NA,NA,Caixa,NA,1,USB,80 dB,NA,NA,NA,387 g,NA
7, Caixa De Som Speaker Google Home Mini Wi-fi Original C Nf ,39,NA,"
			
				Novo
			
			
				
					 - 
				
				1639
				vendidos
			
		",(32 disponíveis),"
	
		
			
		
		6x 
		
			
				R$ 731
		
		 sem juros
		
	

	
		",31,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,92,https://perfil.mercadolivre.com.br/ACME+ELETRONICOS,https://produto.mercadolivre.com.br/MLB-910970810-caixa-som-musica-caixinha-smartphone-android-bluetooth-_JM,83,8,1,0,0,#910970810,Wireless Speaker,HF-Q3,5 W,Ativo/Passivo,NA,NA,Portátil,HF-Q3,5V,Woofer,Mesa,Caixa,2.1,1,USB,NA,9.5 cm,9.5 cm,10.8 cm,480 g,NA
8, Caixa Som Bluetooth Fm Auxiliar Compre 1 E Leve 2 ,36,NA,"
			
				Novo
			
			
				
					 - 
				
				3265
				vendidos
			
		",1,"
	
		
			
		
		6x 
		
			
				R$ 684
		
		 sem juros
		
	

	
		",84,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,158,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=wPKDoN4VDp8CC6s7KRRBibN6NlLMacz4u14IJrCtPKfzeir7AK%2BZL%2BNbBIweYgNFqpWBcvl71joWRoGN3hYgUYimQxXqCz7NLEDDQne93xdoZZpH4q%2B2GAvRx11DUXjrEI4Q8%2FdhFeEShTshh8x4ZNshfj9WvmQczEMvE8SXFWmMxokTyBlKtjrpJaL8G7nvH74GkFG0ngcq7fRvKK%2BUkx%2BybhNxhh1CeAKgoMyTkpDZZaHgcp1loK0H%2BAf6dncLw%2BGfEN0aq7T7nPG8oVPuDJk%2BjoriWEKN%2FWXOEMUx3Vaeg0i3Dn4mMSfWTR29KVS0ZEBwYewGx9nOz1aIeTq6jMcGkzafppywMFo%2FMz0lOg9jF%2FxQQKhWNCm1Yaux9HZfxD5lOGjaC7yYBljwu8Z1RFP1lp9EmmM69ks1AIXtoE4G6wIuvNqq%2BdHCQnpNzBhrOMXuz1SIqpBl8jN%2ByqmqQsMKXvJy3jWTjPy8MhqX%2BV1MgADdui8KnnCpejt2%2F3SJa3RAOn2Pi3UnP7YcIx74F0fSDdobXdNSzjHcq%2FngzS7rg4aY1HSZ%2FM37pXHArxs8rEsxZwWRpaOTPuw04aXvQSuiUsMvkuwwVnTKikEtkoX7ipp7QsBsr3YvXTNb6w9xFBA%2FHFjl7gb2axz1uDZ2EN7j%2F73HZQDIVmxoD8NjXRrluXF7QQGev4dqqcVv8AvtpL7tngR1%2BrOtbF653qxxLreASOUr2hhcYXjLgNL3CRVv%2BQoZOHabOPLi7Y7jw797kzmLsKedj2V8AAvtQ1xt104FETTwF6qzI5c4%2F%2BiL4KX9YjYctcxO5vkdS4Uxx5Nrqs7kG7g68S13eQwJYmAup3lKWkTtvcN6nqXktBGS4qGNGI6x1kzqDB2enttuVnTcSceQebaqAB2AeEmPSJ50hYyCVNotcjOj74mQLq25tNvNOJwoP0p6Ser3tGKyhVVJ3OQBDs2UGwIa6z5CSo%2FBzhgETWgLhEyQSBliUgpRhsHubIcy4%2BbiCBk9uMCWf55DIN4F6lI8BrcrXaxPtKkYJrcgMqf4tH7RxwVpMvhKkVN8vt3M%2BOJwkQau%2FR3813G7S49ckz2t2smjic7zmo6ifRnk88ZExK6Ps9lK%2FYWw5oFAvg%2BkW%2FQxyeJgMWo%2BV1UN8IfEs2060a8GSLsJ014MIbxGIlN01HZEsDJpIOaOLeLI6cEFdKd0en9MwQLXrY2N4%2B0qzeCe8U58l3Se5wJQqz1W7ywlHXS4cL7DJFaFVJMC8rIpQfwWsGd%2BknQpkGhyZIv8V%2Bx%2Bb0BEy0SX4hm703zB%2FlwfAqV%2Fg3SrfGze19DPd%2FWbBXFCucfdKUfTnjtUxM6acO9wrXJW07MtKmiikEU4ttbyXR1DZAQQ0lTjt7sWNqxXiAuuyGapYqyAywahpDeWgC3thB%2BtjmjHaDX80RnsJkGszoynaBgA7MeJkNc24G6U91BA7B4XUaLUEbRk4JPkl9d9pgoGCGgPBpChp3w5WS5L3u%2BwzDSKLRW8IrD4cwL03krIhAClGw9%2FeTlFrLgL3FKpvHw2XsrjQ81eDmREsW8Uk8SbcIx2HbGwASjFK6bgJQiPPZFErr0Z6UF8WGXsCyf94dcaxuXOWQBiFwY%2BMbRRFk%2FH9Xw86nNDcG6T3ZdB7HQ%2BA8kVrNfPT8gkHsiykqCNkMqjWfd%2FnDdeac2wivSYD%2F5STUq8V0hLATsGh%2BGL7vfyCbNany8NDvjbSlxGbsy9LucmobWxL0qtdfTy1X2Fxt1o9NcizdjMZRgLzOQZvITVwyiHrVOAMsNLOh%2BlqqqDhU8Mffkxo7P4SsDA1Sodq7W7XEIO1hAqs3791HPU%2BRyGQLDr3nIqYQqqQKga%2FKslpV1y2Pc%3D,131,8,7,4,8,#1175508663,Grasep,Torre,10 W, ,NA,NA,Portátil,GT--515BT,110V/220V (Bivolt),NA, , , ,2,USB,80 dB,NA,NA,NA,NA,NA
9, Caixa Som Bluetooth Xtreme Mini Potente 40w Rms Radio Fm ,27,NA,"
			
				Novo
			
			
				
					 - 
				
				2959
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		5x 
		
			
				R$ 613
		
		 sem juros
		
	

	
		",13,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,93,https://perfil.mercadolivre.com.br/MEGA+EXOPLANET.SHOP,https://produto.mercadolivre.com.br/MLB-1169578372-caixa-caixinha-som-portatil-bluetooth-mp3-usb-carto-fm-300w-_JM,79,10,3,0,1,#1169578372,SPEAKER,MS-302bt,5 W,Subwoofer,1500 Hz,150 Hz,Bluetooth,MS-302bt,NA,Subwoofer,Portátil,Redondos,2.1,1,USB,80 dB,NA,NA,NA,318 g,NA
10, Caixa Som Bluetooth Amplificada Torre Mp3 Fm Usb Sd Pc 500w ,172,NA,"
			
			
				
				1211
				vendidos
			
		",(775 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1439
		
		 sem juros
		
	

	
		",39,NA,Envio para todo o país,NA,NA,4.8,123,https://perfil.mercadolivre.com.br/GLOBALDISTRIBUIODEBENS?brandId=1397,https://produto.mercadolivre.com.br/MLB-1068923654-caixa-de-som-jbl-wind-bluetooth-3-watts-preto-jblwind-_JM,102,14,6,0,1,#1068923654,JBL,28910851,3 W,Ativo,NA,NA,NA,NA,NA,Woofer,"Moto, bicicleta",Caixa,.,1,NA,NA,NA,NA,NA,340 g,NA
