search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Peso,Marca,Modelo,Tipos de filtros del parlante,Conectores de entrada,Tipos de parlante,Color,Potencia de salida (RMS)
1, Ue Megaboom 3 Night Black ,779,NA,3,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/IN5517657?brandId=142,https://articulo.mercadolibre.com.pe/MPE-435023877-ue-megaboom-3-night-black-_JM,NA,NA,NA,NA,NA,#435023877,925 g,NA,NA,NA,NA,NA,NA,NA
2, Bose Parlante Soundtouch 10 Serie Iii Bluetooth Wifi Blanco ,999,NA,1,8,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071329-bose-parlante-soundtouch-10-serie-iii-bluetooth-wifi-blanco-_JM,1,0,0,0,0,#434071329,NA,Bose,SoundTouch,Activo,Auxiliar,NA,NA,NA
3, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,46,10,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM,5,1,0,0,0,#435227656,300 g,Amazon,Echo  Dot 3era Gen,NA,NA,Wifi,NA,NA
4, Google Home Mini Charcoal Smart Assistant No Chromecast ,133,NA,32,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-435158863-google-home-mini-charcoal-smart-assistant-no-chromecast-_JM,2,0,0,0,0,#435158863,NA,Google,home mini,NA,NA,"wifi, bluetooth, smart","Charcoal, chalk",NA
5, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,41,2,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM,2,0,0,0,0,#428636742,2 kg,Samsung,HW-N300PE,NA,USB,NA,NA,100 W
6, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,31,19,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA,NA,NA,NA,NA
7, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,349,NA,14,28,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM,7,2,0,0,0,#432200042,NA,JBL,Flip 4,Activo,NA,Woofer,Como,20 W
8, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,189,NA,19,5,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM,1,0,0,0,0,#434444301,NA,Sony,XB12,NA,NA,Portatil,Como,NA
9, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,339,NA,15,42,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM,7,2,0,0,0,#429687772,NA,JBL,Flip 4,Activo,NA,NA,NA,16 W
10, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,589,NA,6,18,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM,NA,NA,NA,NA,NA,#434111505,NA,JBL,Charge 4,Activo,NA,Portatil,Como,30 W
11, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,33,100,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,15,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM,12,1,1,0,0,#428500548,NA,JBL,GO 2,Activo,NA,"Portátil, Resistente al Agua",NA,3 W
12, Parlante Portatil Maxtron Urban 8 Bluetooth Karaoke Fm Usb ,123,NA,10,3,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,https://articulo.mercadolibre.com.pe/MPE-434666277-parlante-portatil-maxtron-urban-8-bluetooth-karaoke-fm-usb-_JM,NA,NA,NA,NA,NA,#434666277,NA,NA,NA,NA,NA,NA,NA,NA
13, Jbl Flip 4 Parlante Bluetooth Original Acuático Tienda ,349,NA,12,993,NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5,1,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-429636474-jbl-flip-4-parlante-bluetooth-original-acuatico-tienda-_JM,1,0,0,0,0,#429636474,NA,JBL,Flip 4,NA,NA,NA,NA,NA
