search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,167,249,"
			
			
				
				118
				vendidos
			
		",(984 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 928
		
		 sin interés
		
	

	
		",28,NA,Envío a todo el país,NA,NA,4.0,9,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,3,4,1,1,0,#463417487,3 W,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,139,155,"
			
				Nuevo
			
			
				
					 - 
				
				194
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 27646
		
		 sin interés
		
	

	
		",46,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA
3, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1228,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1577
				vendidos
			
		",(98422 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 6822
		
		 sin interés
		
	

	
		",22,NA,Envío a todo el país,NA,NA,4.8,220,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM,187,29,2,2,0,#446600412,3 W,JBL,GO 2,Activo,184 g,NA
4, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,187,197,"
			
			
				
				47
				vendidos
			
		",(998 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1039
		
		 sin interés
		
	

	
		",39,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,NA,NA,NA,NA,NA,#462659823,3 W,NA,NA,NA,NA,NA
5, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,4275,NA,"
			
				Nuevo
			
			
				
					 - 
				
				978
				vendidos
			
		",(99021 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 23750
		
		 sin interés
		
	

	
		",50,NA,Envío a todo el país,NA,NA,4.8,214,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,180,28,4,1,1,#446600381,16 W,JBL,Flip 4,Activo,515 g,NA
6, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,37,42,"
			
			
				
				70
				vendidos
			
		",(2973 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 7359
		
		 sin interés
		
	

	
		",59,NA,Envío a todo el país,NA,NA,4.6,7,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,3,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA
7, Parlante Mini Bluetooth Portatil Craquelado Ahorro Y Compras ,190,NA,"
			
				Nuevo
			
			
				
					 - 
				
				56
				vendidos
			
		",(145 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1056
		
		 sin interés
		
	

	
		",56,NA,Entrega a acordar con el vendedor,NA,NA,4.0,1,http://perfil.mercadolibre.com.uy/JESDEN+SA,https://articulo.mercadolibre.com.uy/MLU-451362894-parlante-mini-bluetooth-portatil-craquelado-ahorro-y-compras-_JM,NA,NA,NA,NA,NA,#451362894,NA,NA,NA,NA,NA,USB
8, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3790,4999,"
			
			
				
				182
				vendidos
			
		",(892 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 21056
		
		 sin interés
		
	

	
		",56,NA,Envío a todo el país,NA,NA,4.8,214,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM,180,28,4,1,1,#458480865,16 W,JBL,Flip 4,Activo,NA,NA
9, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(99985 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.38611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,2,0,1,0,0,#450750864,NA,JBL,Boombox,NA,NA,NA
10, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,NA,"
			
			
				
				42
				vendidos
			
		",(998 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3872
		
		 sin interés
		
	

	
		",72,NA,Envío a todo el país,NA,NA,4.0,4,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM,1,2,1,0,0,#462663421,10 W,NA,NA,NA,NA,NA
