search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Configuración de canales,Conectores de entrada,Peso,Tipos de parlante,Voltaje,Altura
1, Parlante Portatil Bluetoooth Thonet Vander Frei Potenciado ,2698,2998,"
			
			
				
				610
				vendidos
			
		",(77 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,315,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-745802501-parlante-portatil-bluetoooth-thonet-vander-frei-potenciado-_JM,193,87,25,6,4,#745802501,Thonet & Vander,Portatil,Frei BT,16 W,Woofer,Living,Caja,1.0,"USB, bluetooth, 3.5"" stereo",600 g,NA,NA,NA
2, Parlante Portatil Bluetooth Gadnic Recargable Potenciado ,2549,3640,"
			
			
				
				1265
				vendidos
			
		",(4995 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,185,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-749811314-parlante-portatil-bluetooth-gadnic-recargable-potenciado-_JM,147,30,6,0,2,#749811314,Gadnic,NA,ABLUE050,10 W,"Bluetooth, Fiesta","Departamento, Cumpleaños, eventos, comidas, reuniones",Bullet,NA,Entrada para Micrófono,0.715 g,Portatil,NA,NA
3, Parlante Xiaomi Portatil Bluetooth Inalambrico Mi Speaker ,1490,2190,"
			
				Nuevo
			
			
				
					 - 
				
				3965
				vendidos
			
		",(49 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.3,432,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-665013349-parlante-bluetooth-portatil-luces-radio-fm-usb-microfono-_JM,258,95,46,10,23,#665013349,Otras Marcas,MS,SK-170,NA,Activo,NA,Caja,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",1.5 kg,Subwoofer,usb,NA
4, Parlante Bluetooth Bomb 40w Luces Led Potenciado Usb Radio ,3990,4990,"
			
				Nuevo
			
			
				
					 - 
				
				6186
				vendidos
			
		",(91 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,708,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-679025125-parlante-portatil-bluetooth-potente-usb-fm-luces-microfono-karaoke-pendrive-mp3-radio-led-musica-bateria-recargable-_JM,465,155,62,10,16,#679025125,Otras Marcas,T,T101,2000 W,Activo,De piso,Caja,NA,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,Subwoofer,220V,NA
5, Parlante Karaoke Mp3 Sd Usb Bluetooth Luces Efecto Full! ,3190,3990,"
			
				Nuevo
			
			
				
					 - 
				
				2480
				vendidos
			
		",(215 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,326,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-739077353-parlante-karaoke-bluetooth-torre-luces-led-fm-usb-microfono-_JM,214,84,18,4,6,#739077353,Otras Marcas,KPB,KPB-221,NA,Activo,NA,Caja,NA,"Bluetooth, USB, microSD y Aux 3.5 mm.",NA,NA,220V,NA
6, Parlante Jbl Go 2 Original 100% Nuevo Modelo Garantía ,1599,1999,"
			
				Nuevo
			
			
				
					 - 
				
				458
				vendidos
			
		",(85 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,34,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-674207418-parlante-karaoke-mp3-sd-usb-bluetooth-luces-efecto-full-_JM,24,9,0,0,1,#674207418,TECHNOLOGY LINE,NA,Bronx,10 W,Woofer,No aplica,Caja,NA,Entrada para Micrófono,NA,Portatil,NA,NA
7, Parlante Valija Carrito Karaoke Bluetooth ,3499,NA,"
			
				Nuevo
			
			
				
					 - 
				
				459
				vendidos
			
		",(6 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.8,42,https://perfil.mercadolibre.com.ar/JAZAKSHOP.COM,https://articulo.mercadolibre.com.ar/MLA-767432359-parlante-xiaomi-portatil-bluetooth-inalambrico-mi-speaker-_JM,34,7,1,0,0,#767432359,Xiaomi,Bluetooth,Mi Speaker,6 W,Portátil,NA,Bluetooth,NA,Auxiliar,270 g,Portatil,1500mAh 3.8V,NA
8, Parlante Recargable Portátil Vintage Bluetooth Usb Radio ,2960,3500,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(80 disponibles),12 cuotas,NA,NA,Envío gratis a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,3,https://perfil.mercadolibre.com.ar/MACCESORIOS+AR,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=7y2kMcI2nvlpAUUXJ37S2bUja4wRVoC3Pfjg9n4a9mmD9dIW23h6s69b2ikmG%2Bkd%2FbfG1GOfbIzrxpg1Znnm1DmtpQLWBD%2Bm8hL%2BrQJVPO%2FS9HkmaatV53M9ofGbNxwcQM6s4Y4L9A8Zn6mY9CXgLF8NVmeyuxFGmUCxx3xtpztr9pUYt4%2FR5c6%2BG4rN8EbtWoc4JMHuhHk76jRJR9hBWycunwVvMG9T%2BFApxyoF922WcDxsubw%2BdBv4XUlCXCAnFiebxBcUdi395Y1u4%2Fkm9Ea774M76l8%2BWuYlx2q93scsOTTVNnFbNN2z%2FCGB5gCGd%2FcPkUYVaMEokOtFN25odfmRmP%2FUP8AfIVd5RNm8rCQpNnt3jJbaC80u%2F3Y07rwer49gaZIPEG4G0RUCK00LO2x9hcK9X7hFaRBJGMKfH%2F1zo3ZkRhDDmxaJRe7Cu7AZwbWAoBhoftBAZq%2BkBRhfwSDov3yZzbNVjWrkVL15BoKJNQhrkqFBF%2BdAX2Qb%2FaOqYjsp4PJ%2FSws1mbdNIoaeq5qA3T2K%2BERAOIq%2BFuAdyuOr91XT0f96cfpPQC4koazZi%2F6QgohuUFzHMT34vJMGSOS5IGRRyKOb6hfxeHKFo4Juu6W7vkRIQV%2BfwNYWszQXfft3Pz93lQVL7sOsGwTBQvStEbwoHvtWZEexm%2FIZeoYIPXQ3t3ca1ZUNVPECeOshnBgQBojP%2FI328XWaK59R2sbN5ezF803BoX3J76mp%2FNorIivSSrfDXPFneE3OLZ5wwNlP6dYWc4B3T1fdI9bqZ70kwM6kJ8sANrJ3gc%2FEUGs5%2Bn6cC0BaI7mJOY7KgLIFcss1lDA%2FTpx6A5QV%2BB%2FJ%2B0pEMvMN2HZt3Dnshgf2g%2FC1yWcoHOsw9jsUmyCpAZ8d2zmC9e0jO3YjZ4X5W5DXVeCv9IDWd07lmn%2FMzVbH1VA0T6pMU15T0w77cH3DxjsNgSzmAVQpwIa07XjstjCE70ms8lWqkBHhBMpCAWPsU%2B%2BGMNxviuyTcje17VpVuaUjHZwOAEG005tt%2FIP%2FqoRK5JhWihBnkrHI4R1%2B3g1RmwcfjUVwGgrtcbOmjrsdhgp%2Fy55SIVfH8wVDq3U7JRiWJYFOvkN7xaMAwIN54ABfZuRJYPayMvggWINYCFaFbP2ypwZ23a87xRa9keJkji5MEBloaMnO1YWp6VZ0Vx0XrZR4yMjGnSy5gUOQ0BZg8st%2Fg8BOWwZqlAqsPdc5phfj1UaJMiFsI3ZN8zySltZqjCpLlJnaDeoS6YOf51vGrNB%2Fe0G4egeg3zJ4%2BZXqlehWKRnxgnOWQSsj%2BG%2B%2FhqbgUUa5LwzzDYeGvlXVc8yMW%2BxBdNSgGYQb5scefgqM2KhJ4aUbija6rZfopVU6ROT1uTw7o90LgVjvq%2Bh8cHzZkRPMTv0Vpz9893oxNUYV4MjOCiXkmpGwZEkCYAPi8kBu3k%2BkeEc6mFr%2F%2BC5zlbczAVYAwIoIjBa%2FL8YTWt%2FnjGACGybtyIlVB42h30pVvqAO5Bm7Rh%2BADcyyWYm%2BWBclnnWW3Rh3hzM6F6Pte%2BCDccI3uk8%2BAREosE%2BactLbPrffyoRho9ByWn%2FCW7rQkEkrplA3Pxc5m5%2FKVG%2BKofIuVhqJeN4Jkmo51C8txeJT%2FIJUu0zWdCDDJJ5X7XVkD2EwTZXAYpXO%2FQlJ%2BITNvezTykhzhvP6Ur0I8Ux%2FItnlUvz%2Bq5oln4ohR0TrXb0NYbMV17jGLDDfDbkWKzJ6MW5pvfyApnQf%2Bj3SLh7OIRpGtHn269%2Fxec%2FqSDwaVmUKHBATrjd8gYG5Fx2%2BMs4pZKgDiGalZ29IlYyF4nSWiBhZYEJ7afzPEMb5YPlDDr3FOsmlteyD23Fu4EcZtl9G,2,1,0,0,0,#764119359,Genérico,NA,Vintage,6 W,Subwoofer,"interior, exterior",Caja,FM,NA,NA,Subwoofer,NA,NA
9, Parlante Portátil Bluetooth Usb Radio Fm Charge Mini ,2699,3300,"
			
				Nuevo
			
			
				
					 - 
				
				382
				vendidos
			
		",(40 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,65,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735697832-parlante-bluetooth-bomb-40w-luces-led-potenciado-usb-radio-_JM,50,8,2,4,1,#735697832,Kolke,NA,KPM222 BOMB,40 W,Activo,NA,NA,NA,Entrada para Micrófono,NA,NA,NA,NA
10, Parlante Jbl Go 2 Bluetooth Portátil Sumergible 3w Go2 Cuota ,3189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1379
				vendidos
			
		",(66 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,131,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-720520187-parlante-portatil-bluetooth-karaoke-fm-led-usb-mp3-aux-mic-_JM,91,22,11,4,3,#720520187,Oryx,KPB,KPB-221,NA,Activo,NA,Caja,NA,USB,NA,Subwoofer,220,NA
