seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
Fast Shop Loja oficial,https://perfil.mercadolivre.com.br/FASTSHOP+OFICIAL?brandId=942,2,anos,20458,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,8779,182,325,8272,"Cajamar, São Paulo.",meses,4
BREVISTORE,https://perfil.mercadolivre.com.br/BREVISTORE,12,anos,9175,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1082,21,29,1032,"São Paulo, São Paulo.",meses,4
FIXEXPLODE,https://perfil.mercadolivre.com.br/FIXEXPLODE,1,ano,25383,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,4713,130,113,4470,"São Paulo, São Paulo.",meses,4
A7NOVIDADES,https://perfil.mercadolivre.com.br/A7NOVIDADES,2,anos,6693,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,662,13,12,637,"São Paulo, São Paulo.",meses,4
TROPARDI ELETRO,https://perfil.mercadolivre.com.br/TROPARDI+ELETRO,1,ano,13768,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,2612,84,63,2465,"São Paulo, São Paulo.",meses,4
Giro Rápido Loja oficial,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,3,anos,23820,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,2369,137,87,2145,"Presidente Prudente, São Paulo.",meses,4
STOCKCARNET,https://perfil.mercadolivre.com.br/STOCKCARNET,4,anos,2663,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,301,13,11,277,"Porto Velho, Rondônia.",meses,4
Autorama  Loja oficial,https://perfil.mercadolivre.com.br/AUTORAMAESTAR?brandId=1796,1,ano,3385,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,424,7,11,406,"Cariacica, Espírito Santo.",meses,4
ENCOMENDAMAIS-SP,https://perfil.mercadolivre.com.br/ENCOMENDAMAIS-SP,1,ano,2159,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,220,6,6,208,"Vinhedo, São Paulo.",meses,4
123 COMPROU,https://perfil.mercadolivre.com.br/123+COMPROU,9,anos,125294,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,10631,334,285,10012,"Diadema, São Paulo.",meses,4
