seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
LOi Tienda oficial,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,14,14 años vendiendo en Mercado Libre,254640,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,289196,Negativa (5162),Neutral (16823),Positiva (267211),"Centro, Montevideo.",NA
AMVSTORE,http://perfil.mercadolibre.com.uy/AMVSTORE,6,6 años vendiendo en Mercado Libre,18208,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,10835,Negativa (34),Neutral (183),Positiva (10618),"Centro, Montevideo.",NA
FEBOUY,http://perfil.mercadolibre.com.uy/FEBOUY,12,12 años vendiendo en Mercado Libre,80477,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,54136,Negativa (129),Neutral (1309),Positiva (52698),"Centro, Montevideo.",NA
CIRCUIT OFERTAS,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,3,3 años vendiendo en Mercado Libre,18460,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,13428,Negativa (92),Neutral (401),Positiva (12935),"Centro, Montevideo.",NA
MERCADOFULL82,http://perfil.mercadolibre.com.uy/MERCADOFULL82,7,7 años vendiendo en Mercado Libre,501,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,335,Negativa (0),Neutral (5),Positiva (330),"Pocitos, Montevideo.",NA
TUBELUXUY,http://perfil.mercadolibre.com.uy/TUBELUXUY,14,14 años vendiendo en Mercado Libre,42270,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,41284,Negativa (317),Neutral (2603),Positiva (38364),"Aguada, Montevideo.",NA
PCM URUGUAY-SA,http://perfil.mercadolibre.com.uy/PCM+URUGUAY-SA,8,8 años vendiendo en Mercado Libre,73133,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,48930,Negativa (843),Neutral (2885),Positiva (45202),"Centro, Montevideo.",NA
YOVENTAS.COM,http://perfil.mercadolibre.com.uy/YOVENTAS.COM,5,5 años vendiendo en Mercado Libre,4447,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,3043,Negativa (30),Neutral (130),Positiva (2883),"Rivera, Rivera.",NA
JESDEN SA,http://perfil.mercadolibre.com.uy/JESDEN+SA,5,5 años vendiendo en Mercado Libre,15609,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9508,Negativa (203),Neutral (620),Positiva (8685),"Atahualpa, Montevideo.",NA
TECNOCELL.UY,http://perfil.mercadolibre.com.uy/TECNOCELL.UY,3,3 años vendiendo en Mercado Libre,17008,MercadoLíder Platinum¡Es uno de los mejores del sitio!,NA,NA,9649,Negativa (109),Neutral (426),Positiva (9114),"Centro, Montevideo.",NA
