search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Potencia de salida (RMS),Marca,Modelo,Tipos de filtros del parlante,Peso,Conectores de entrada,Color
1, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,179,249,"
			
			
				
				177
				vendidos
			
		",(938 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 994
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,4.1,12,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM,4,6,1,1,0,#463417487,3 W,NA,NA,NA,NA,NA,NA
2, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,155,NA,"
			
				Nuevo
			
			
				
					 - 
				
				195
				vendidos
			
		",(10 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 31827
		
		 sin interés
		
	

	
		",27,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM,15,4,0,0,0,#452289064,NA,Energy Sistem,NA,NA,NA,NA,NA
3, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,4275,NA,"
			
				Nuevo
			
			
				
					 - 
				
				979
				vendidos
			
		",(99020 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 23750
		
		 sin interés
		
	

	
		",50,NA,Envío a todo el país,NA,NA,4.8,221,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM,185,29,4,1,1,#446600381,16 W,JBL,Flip 4,Activo,515 g,NA,NA
4, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,197,NA,"
			
			
				
				73
				vendidos
			
		",(983 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1094
		
		 sin interés
		
	

	
		",94,NA,Envío a todo el país,NA,NA,5.0,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM,NA,NA,NA,NA,NA,#462659823,3 W,NA,NA,NA,NA,NA,NA
5, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,187,249,"
			
			
				
				23
				vendidos
			
		",(3983 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 38397
		
		 sin interés
		
	

	
		",97,NA,Envío a todo el país,NA,NA,4.8,46,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM,37,7,0,0,1,#463032205,30 W,JBL,Charge 4,Activo,NA,NA,NA
6, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,"
			
				Nuevo
			
			
				
					 - 
				
				14
				vendidos
			
		",(99985 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 1.38611
		
		 sin interés
		
	

	
		",11,NA,Envío a todo el país,NA,NA,4.5,5,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM,3,0,1,0,0,#450750864,NA,JBL,Boombox,NA,NA,NA,NA
7, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,990,"
			
			
				
				60
				vendidos
			
		",(999 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3872
		
		 sin interés
		
	

	
		",72,NA,Envío a todo el país,NA,NA,4.2,5,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM,2,2,1,0,0,#462663421,10 W,NA,NA,NA,NA,NA,NA
8, Parlante Kolke Kpb-160 C/microfono Inalambrico Circuit ,3338,NA,"
			
				Nuevo
			
			
				
					 - 
				
				101
				vendidos
			
		",(48 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 18544
		
		 sin interés
		
	

	
		",44,NA,Envío a todo el país,NA,NA,4.7,18,http://perfil.mercadolibre.com.uy/CIRCUIT+OFERTAS,https://articulo.mercadolibre.com.uy/MLU-449889793-parlante-kolke-kpb-160-cmicrofono-inalambrico-circuit-_JM,13,4,1,0,0,#449889793,NA,Kolke,NA,NA,NA,NA,NA
9, Parlante Portátil Bluetooth Con Radio Fm ,690,NA,"
			
				Nuevo
			
			
				
					 - 
				
				132
				vendidos
			
		",(97 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 3833
		
		 sin interés
		
	

	
		",33,NA,Envío a todo el país,NA,NA,4.4,10,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532602-parlante-portatil-bluetooth-con-radio-fm-_JM,6,3,0,1,0,#455532602,NA,NA,NA,NA,1 kg,NA,NA
10, Parlante Portátil Bluetooth Park Led Karaoke Batería Mic Loi ,39,42,"
			
			
				
				74
				vendidos
			
		",(2969 disponibles),"
	
		
			Hasta
		
		18 cuotas de
		
			
				$ 8008
		
		 sin interés
		
	

	
		",08,NA,Envío a todo el país,NA,NA,4.6,7,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-456920787-parlante-portatil-bluetooth-park-led-karaoke-bateria-mic-loi-_JM,4,3,0,0,0,#456920787,NA,Kolke,NA,NA,NA,NA,NA
