seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
Bose Tienda oficial,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,1,1 año vendiendo en Mercado Libre,432,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,289,Negativa (3),Neutral (3),Positiva (283),"Lima, Lima.",NA
JAPIMPORTA,http://perfil.mercadolibre.com.pe/JAPIMPORTA,7,7 años vendiendo en Mercado Libre,1768,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1082,Negativa (3),Neutral (34),Positiva (1045),"Lima, Lima.",NA
MIALIENSTORE,http://perfil.mercadolibre.com.pe/MIALIENSTORE,3,3 años vendiendo en Mercado Libre,1168,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,743,Negativa (1),Neutral (27),Positiva (715),"Lima, Lima.",NA
BESTOFFERSPERU,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,5,5 años vendiendo en Mercado Libre,1624,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1119,Negativa (2),Neutral (61),Positiva (1056),"Lima, Lima.",NA
ELECTROFERTAS SELLADAS,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,1,1 año vendiendo en Mercado Libre,401,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,370,Negativa (1),Neutral (0),Positiva (369),"Lima, Lima.",NA
FULL NOVEDADES-,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,1,1 año vendiendo en Mercado Libre,1183,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,845,Negativa (0),Neutral (21),Positiva (824),"Lima, Lima.",NA
IMANIA.PERU,http://perfil.mercadolibre.com.pe/IMANIA.PERU,2,2 años vendiendo en Mercado Libre,2158,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1158,Negativa (0),Neutral (6),Positiva (1152),"Lima, Lima.",NA
BONOTECH.PE,http://perfil.mercadolibre.com.pe/BONOTECH.PE,6,6 años vendiendo en Mercado Libre,4133,NA,NA,NA,2500,Negativa (12),Neutral (271),Positiva (2217),"Lima, Lima.",NA
REYLU PRODUCTS,http://perfil.mercadolibre.com.pe/REYLU+PRODUCTS,6,6 años vendiendo en Mercado Libre,165,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,130,Negativa (8),Neutral (12),Positiva (110),"Lima, Lima.",NA
GRUPONATIC.PE,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,4,4 años vendiendo en Mercado Libre,24030,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,8604,Negativa (188),Neutral (707),Positiva (7709),"Lima, Lima.",NA
VELBRO PERU,http://perfil.mercadolibre.com.pe/VELBRO+PERU,4,4 años vendiendo en Mercado Libre,1059,NA,NA,NA,488,Negativa (0),Neutral (29),Positiva (459),"Lima, Lima.",NA
ANDREUS STORE,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,1,1 año vendiendo en Mercado Libre,38,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,42,Negativa (1),Neutral (0),Positiva (41),"Lima, Lima.",NA
OSCARENRIQUECASTILLOFALCON,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,1,1 año vendiendo en Mercado Libre,232,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,178,Negativa (2),Neutral (8),Positiva (168),"Lima, Lima.",NA
MASPLAY PERU,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,7,7 años vendiendo en Mercado Libre,1308,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,947,Negativa (8),Neutral (89),Positiva (850),"Lima, Lima.",NA
SOUNDA E.I.R.L,http://perfil.mercadolibre.com.pe/SOUNDA+E.I.R.L,10,10 años vendiendo en Mercado Libre,707,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,390,Negativa (0),Neutral (14),Positiva (376),"Lima, Lima.",NA
Sony Tienda oficial,http://perfil.mercadolibre.com.pe/SONYPERUSRL?brandId=25,2,2 años vendiendo en Mercado Libre,1632,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1091,Negativa (26),Neutral (74),Positiva (991),"Lima, Lima.",NA
SANTOFA E.I.R.L,http://perfil.mercadolibre.com.pe/SANTOFA+E.I.R.L,3,3 años vendiendo en Mercado Libre,2628,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1563,Negativa (2),Neutral (86),Positiva (1475),"Lima, Lima.",NA
EDISEL.TS,http://perfil.mercadolibre.com.pe/EDISEL.TS,2,2 años vendiendo en Mercado Libre,216,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,142,Negativa (2),Neutral (1),Positiva (139),"Lima, Lima.",NA
Anker Tienda oficial,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,9,9 meses vendiendo en Mercado Libre,289,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,171,Negativa (2),Neutral (5),Positiva (164),"Lima, Lima.",NA
ELEAZARALATAMARINO,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,1,1 año vendiendo en Mercado Libre,32,NA,NA,NA,27,Negativa (0),Neutral (0),Positiva (27),"Lima, Lima.",NA
NO2125288,http://perfil.mercadolibre.com.pe/NO2125288,4,4 meses vendiendo en Mercado Libre,69,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,63,Negativa (0),Neutral (2),Positiva (61),"Lima, Lima.",NA
PERU_DE_SHOPPING,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,5,5 años vendiendo en Mercado Libre,2424,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1308,Negativa (23),Neutral (89),Positiva (1196),"Lima, Lima.",NA
INTECGLOBALPERU,http://perfil.mercadolibre.com.pe/INTECGLOBALPERU,6,6 años vendiendo en Mercado Libre,5153,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,3740,Negativa (7),Neutral (30),Positiva (3703),"Lima, Lima.",NA
PRECIO.PE,http://perfil.mercadolibre.com.pe/PRECIO.PE,2,2 años vendiendo en Mercado Libre,4235,NA,NA,NA,1632,Negativa (67),Neutral (196),Positiva (1369),"Lima, Lima.",NA
SPORTECH BALHER,http://perfil.mercadolibre.com.pe/SPORTECH+BALHER,6,6 años vendiendo en Mercado Libre,495,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,327,Negativa (0),Neutral (15),Positiva (312),"Lima, Lima.",NA
FLOYDTEC.,http://perfil.mercadolibre.com.pe/FLOYDTEC.,7,7 años vendiendo en Mercado Libre,456,NA,NA,NA,324,Negativa (0),Neutral (12),Positiva (312),"Lima, Lima.",NA
OSWALDO VALVERDE,http://perfil.mercadolibre.com.pe/OSWALDO+VALVERDE,7,7 años vendiendo en Mercado Libre,505,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,240,Negativa (0),Neutral (14),Positiva (226),"Lima, Lima.",NA
CIBERVENTAS4000,http://perfil.mercadolibre.com.pe/CIBERVENTAS4000,10,10 años vendiendo en Mercado Libre,655,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,357,Negativa (2),Neutral (20),Positiva (335),"Lima, Lima.",NA
DIGITALZ PERU,http://perfil.mercadolibre.com.pe/DIGITALZ+PERU,11,11 años vendiendo en Mercado Libre,4350,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2454,Negativa (8),Neutral (238),Positiva (2208),"Lima, Lima.",NA
DIGITAL-PERU,http://perfil.mercadolibre.com.pe/DIGITAL-PERU,11,11 años vendiendo en Mercado Libre,9303,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5721,Negativa (26),Neutral (246),Positiva (5449),"Lima, Lima.",NA
IMPORTACIONESMYJASOCIADOS,http://perfil.mercadolibre.com.pe/IMPORTACIONESMYJASOCIADOS,13,13 años vendiendo en Mercado Libre,155,NA,NA,NA,90,Negativa (0),Neutral (6),Positiva (84),"Lima, Lima.",NA
IPLUS_STORE,http://perfil.mercadolibre.com.pe/IPLUS_STORE,1,1 año vendiendo en Mercado Libre,428,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,318,Negativa (0),Neutral (0),Positiva (318),"Lima, Lima.",NA
OFERTAS DELIVERY,http://perfil.mercadolibre.com.pe/OFERTAS+DELIVERY,4,4 años vendiendo en Mercado Libre,3739,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,1781,Negativa (12),Neutral (125),Positiva (1644),"Lima, Lima.",NA
GRAFOPERU,http://perfil.mercadolibre.com.pe/GRAFOPERU,7,7 años vendiendo en Mercado Libre,3526,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2731,Negativa (12),Neutral (82),Positiva (2637),"Lima, Lima.",NA
INNOVA LEDS,http://perfil.mercadolibre.com.pe/INNOVA+LEDS,3,3 años vendiendo en Mercado Libre,1374,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,801,Negativa (0),Neutral (0),Positiva (801),"Lima, Lima.",NA
KOBYINVERSIONESSAC,http://perfil.mercadolibre.com.pe/KOBYINVERSIONESSAC,3,3 años vendiendo en Mercado Libre,536,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,370,Negativa (0),Neutral (16),Positiva (354),"Lima, Lima.",NA
INNOVASYSTEMCORP,http://perfil.mercadolibre.com.pe/INNOVASYSTEMCORP,3,3 años vendiendo en Mercado Libre,11757,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,5313,Negativa (18),Neutral (278),Positiva (5017),"Lima, Lima.",NA
HUANCAYOVENDE.COM,http://perfil.mercadolibre.com.pe/HUANCAYOVENDE.COM,2,2 años vendiendo en Mercado Libre,1148,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,723,Negativa (2),Neutral (108),Positiva (613),"Lima, Lima.",NA
DALTHRON S.A.C.,http://perfil.mercadolibre.com.pe/DALTHRON+S.A.C.,3,3 años vendiendo en Mercado Libre,645,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,440,Negativa (8),Neutral (36),Positiva (396),"Lima, Lima.",NA
Pioneer Tienda oficial,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=82,1,1 año vendiendo en Mercado Libre,432,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,289,Negativa (3),Neutral (3),Positiva (283),"Lima, Lima.",NA
MACROTELSTORE PERU,http://perfil.mercadolibre.com.pe/MACROTELSTORE+PERU,1,1 año vendiendo en Mercado Libre,54,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,29,Negativa (1),Neutral (1),Positiva (27),"Lima, Lima.",NA
GRUPONATIC TIENDA,http://perfil.mercadolibre.com.pe/GRUPONATIC+TIENDA,4,4 años vendiendo en Mercado Libre,5354,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1878,Negativa (30),Neutral (131),Positiva (1717),"Lima, Lima.",NA
MYJ CÁNEPANEGOCIOS,http://perfil.mercadolibre.com.pe/MYJ+C%C3%81NEPANEGOCIOS,12,12 años vendiendo en Mercado Libre,527,NA,NA,NA,443,Negativa (2),Neutral (8),Positiva (433),"Lima, Lima.",NA
SHOPOPERU,http://perfil.mercadolibre.com.pe/SHOPOPERU,8,8 años vendiendo en Mercado Libre,3487,MercadoLíder¡Está entre los mejores del sitio!,NA,NA,1612,Negativa (12),Neutral (82),Positiva (1518),"Lima, Lima.",NA
Mesajil Tienda oficial,http://perfil.mercadolibre.com.pe/DISTRIBUIDORAMESAJILHNOS?brandId=153,7,7 meses vendiendo en Mercado Libre,251,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,171,Negativa (2),Neutral (5),Positiva (164),"Lima, Lima.",NA
Logitech Tienda oficial,http://perfil.mercadolibre.com.pe/DISTRIBUIDORA+MESAJILHNOSSAC?brandId=145,8,8 meses vendiendo en Mercado Libre,171,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,122,Negativa (0),Neutral (5),Positiva (117),"Lima, Lima.",NA
VERTICELL PERÚ,http://perfil.mercadolibre.com.pe/VERTICELL+PER%C3%9A,1,1 año vendiendo en Mercado Libre,79,NA,NA,NA,60,Negativa (0),Neutral (1),Positiva (59),"Lima, Lima.",NA
MIRAFLORES STORE,http://perfil.mercadolibre.com.pe/MIRAFLORES+STORE,5,5 años vendiendo en Mercado Libre,2909,NA,NA,NA,2387,Negativa (52),Neutral (399),Positiva (1936),"Lima, Lima.",NA
UNALUKA,http://perfil.mercadolibre.com.pe/UNALUKA,9,9 años vendiendo en Mercado Libre,3998,MercadoLíder Gold¡Está entre los mejores del sitio!,NA,NA,2821,Negativa (8),Neutral (39),Positiva (2774),"Lima, Lima.",NA
LACASADIGITALYAGA,http://perfil.mercadolibre.com.pe/LACASADIGITALYAGA,1,1 año vendiendo en Mercado Libre,24,NA,NA,NA,17,Negativa (0),Neutral (1),Positiva (16),"Lima, Lima.",NA
