search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Conectores de entrada,Peso,Lugares de colocación,Formato del parlante,Línea,Configuración de canales,Voltaje,Altura
1," Bocina Bafle Portátil - Tedge - 8 Pulgadas Bluetooth Recargable Con Karaoke, Micrófono Y Control Remoto ",545,799,"
			
			
				
				7
				vendidos
			
		",(1282 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,NA,NA,https://perfil.mercadolibre.com.mx/TEMAKLAMEXMEX?brandId=2268,https://articulo.mercadolibre.com.mx/MLM-680248351-bocina-bafle-portatil-tedge-8-pulgadas-bluetooth-recargable-con-karaoke-microfono-y-control-remoto-_JM#position=1&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,NA,NA,NA,NA,NA,#680248351,Tedge,SPBL01,5 W,Subwoofer,Subwoofer,USB,2.1 kg,NA,NA,NA,NA,NA,NA
2, Bocina Bluetooth Select Sound Bt228 Bazooka Radio Fm Usb ,499,NA,"
			
			
				
				714
				vendidos
			
		",(124 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 4930
		
		 sin intereses
		
	

	
		",30,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,34,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,https://articulo.mercadolibre.com.mx/MLM-589887600-bocina-bluetooth-select-sound-bt228-bazooka-radio-fm-usb-_JM?searchVariation=25443119914#position=2&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,28,5,1,0,0,#589887600,Select Sound,BT228,10 W,Subwoofer,Subwoofer,"USB, Auxiliar",NA,NA,NA,NA,NA,NA,NA
3, Bafles Amplificados Bocina Bluetooth 8 Pulgadas Recargable Portatil Microfono Larga Duracion Usb Auxiliar Fm Karaoke ,545,"1,030","
			
			
				
				5280
				vendidos
			
		",(201 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,181,https://perfil.mercadolibre.com.mx/VENTRONIC_GDL?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-593882819-bafles-amplificados-bocina-bluetooth-8-pulgadas-recargable-portatil-microfono-larga-duracion-usb-auxiliar-fm-karaoke-_JM?searchVariation=17434285683#position=3&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,125,40,5,5,6,#593882819,Link Bits,ST-81L,4500 W,Subwoofer,Subwoofer,Auxiliar,NA,De piso,BAFLE,NA,NA,NA,NA
4, Bocina Contra Agua Bluetooth Recargable Waterprof Negro ,59,63,"
			
				Nuevo
			
			
				
					 - 
				
				2562
				vendidos
			
		",(285 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 333
		
		 sin intereses
		
	

	
		",33,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.1,17,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744228-bocina-contra-agua-bluetooth-recargable-waterprof-negro-_JM#position=4&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,7,6,3,0,1,#665744228,Genérico,Waterproof,3 W,Tweeter,NA,Auxiliar,100 g,Portatil,NA,Bocina Bluetooth,NA,NA,NA
5, Bocina Jbl Go 2 Bluetooth Negra Metalica A Prueba De Agua ,629,799,"
			
				Nuevo
			
			
				
					 - 
				
				1141
				vendidos
			
		",(12 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 6214
		
		 sin intereses
		
	

	
		",14,NA,Llega gratis mañana,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,557,https://perfil.mercadolibre.com.mx/TECNOLIBYO,https://articulo.mercadolibre.com.mx/MLM-669024398-bocina-jbl-go-2-bluetooth-negra-metalica-a-prueba-de-agua-_JM#position=5&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,515,36,5,1,0,#669024398,JBL,GO,3 W,Subwoofer,Subwoofer,NA,NA,NA,NA,NA,"NA",NA,NA
6, Bocina Contra Agua Bluetooth Recargable Waterprof Rosa ,59,63,"
			
				Nuevo
			
			
				
					 - 
				
				1235
				vendidos
			
		",(332 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 333
		
		 sin intereses
		
	

	
		",33,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.3,9,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665744227-bocina-contra-agua-bluetooth-recargable-waterprof-rosa-_JM#position=6&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,6,2,0,0,1,#665744227,Genérico,Waterproof,3 W,Tweeter,N/A,Auxiliar,100 g,De pared,NA,Bocina Bluetooth,NA,NA,NA
7, Bocina Bluetooth Recargable Contra El Agua Full ,59,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1002
				vendidos
			
		",(115 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 583
		
		 sin intereses
		
	

	
		",83,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,2.3,6,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-554604485-bocina-bluetooth-recargable-contra-el-agua-full-_JM#position=7&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,1,0,2,0,3,#554604485,Link Bits,QB09,3 W,Woofer,NA,NA,NA,De pared,Caja,NA,NA,5V DC,NA
8, Bafles Amplificados 8 Pulgadas Bluetooth Recargable Bocina Vorago Audio Profesional Usb Radio Micrófono ,799,"1,070","
			
			
				
				1146
				vendidos
			
		",(23 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 4439
		
		 sin intereses
		
	

	
		",39,NA,Llega gratis el viernes,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,87,https://perfil.mercadolibre.com.mx/VENTRONIC_T.O?brandId=359,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=3nDh9Kd%2BQ9lpf8n4roohqOn9cCOEgZ1X6e2SaPICJKaIwCL2X%2FpgQz1ewaGZD6k6BI2RQLEooxJmnAPvKsBMvr2Ck7Vwc73Ioh00TwzY062BTdJuLP5xGgYavxOFQu5tEd0x%2Bmz%2F44ioF3DuWNwQWZm7G6UYbRT8DSqhNETDO181U1z5tsEZK5YMZLryL6itddeyEn1nDBU1NA1ks2Oi6dyr%2Fx2HUAx50vj3S17CS5WHEZd%2Ft2B9pAWj8dbCOiVKj2tiBwlixx7WLn%2FHfhcWNiVcZ2VZEjc3s0%2FNdPTxAmxIVEqXGAt49BlU7mQrGrVfjTn9XzW1A%2Fi3NH%2BE90gRefwrgeEpdT%2B3EdhWEIAJ3SLuyOAaV18W2m0wN7qTOE1Ys%2Bq%2FqUNaIuq21NTo6Wh7PrUyNTZU%2BJqiEfTe0D6p1FDSlx3URqg92FQRfUPS%2FjIQx98ATUahGvAoHpp5RHyIDTiXuuFadReeRe%2Bp6%2FAq437yius1Bixn9M%2BBJegUyb1hB5IrtomlucJZQCItXGMc5mj5ZyU8whV%2FTn9cmTjqYO4SYV2IKLXUq%2BVJ4Glz3BV7O9%2Bfd7%2Fb3nk39oCK0RQEAwN87jeHutFIm5r2su5etZzdI8qSJwDJn%2Fs8q4ffayJ7HCweDVg9YrZeG9eJI4u%2B8VZnudPr1ZNCBmhn7gwYlfp8ZOWmyPdf0NdLJR2hEgqiubVffuXKSj9vredodj8WJM1vXOUzvyFPdhTXPO4%2FY5wMN%2F1IFyPgyqRXr90RInOJ%2FORDSXdrdynpHYpffeawjgn0yT%2FY0ynkaseic%2FyCJD66SySYZKQUmOo4abrm5w6ko0ogx5zomJ3QO7ppuzVo%2BiI0A4OLXSsONvHZg6YwAYYb8GVUeh1ErG1y93xod5p8ZqfiW6cuKHlLukc2YXrJ%2BvuDEDFdZgSZ2gTkMhUTnw9s7PJHrWDLt5M5XVqdkjRzF4A0DbfaUIFVcmV3d7LFFxGLtFha52nRbQdSnVfKhXUG%2FB9%2BWA34Je1MZ9o0zQypNVLqLc2Paqv1rwTy8HljIzwYWn8ssLbJkmMS23Udu1MSAkxKrhvGMUOaVYArZjPZIeyR4FxqXVqo9OQ%2BB0qWMojJZaKmqD1ws45pjvpluKutFNQ27KN53fMayShVJpk4cfor3wOIwqE9sgw1Xr%2BDUfMRkBr8pOBkV0aX4YmGotXS%2Bt5dShLBz5QrY4%2FzHcFDMJMjMHH6EGCBzzQElwT0QKtccVJB75xeNkhLM381zkkogwlHRqVb5n25JtomkaQ7VF%2FK8sDgU%2F%2B%2BBv%2FFulK9c1FOFVefI%2FxqVNoAukFpzgXIcAQdzDsvo7fRYztKHF3fQbaknUACrNW73JKKEA6aKWEbJrwyI2VNtjuE6Cscc4mF%2FkfNwHfUskfh1fu3cHtRtbJjH1y5WSx1u2Q7zFXbrnoOAK82kuWmm53aKzpBiwqrQ%2BZs60Mra%2F9obK03n6FJjvSp2sRy054cITtmrY7dEB4tQ0Gkzshct2qK9EmCTg7QxExGJP7MMYOav0MwFmY2E9kiOU9gCKuU%2FPOzOrlmJPwIhYGcwzQrHN2B8zXt2wLbuBt%2BIrdBmiJW1DcWgMlm5TwISa338wl4jnuDtFw69aAn%2F6Sb1ZB9v9QJGORTzjdN1nNZUADnhKrB5Du5AdWEqbTDm%2FjGyE0jRiqvK1oRtARbCqPFYUrmRsBJDsEzbSU5aK%2BIdOVoFPatQ4eSMkr%2BNOiCNZ1XJdsQsxLrbIvjrYScwJe3Q3Axrwehe%2Fs8SCNDpx7XJhAjH7GFtxhO8vWEvpjXQR1eny0EwRJNocEYQpjZVWTtMRtkqwFhEwKSsvVPYRhmbS2xH2nG2eiXWT7%2FZ%2BrIkqkqVJaHR0%2FthjxElV%2FqV99cNBMdst47Ll1tvxjyp4KWkzMpoDueIhR8igPU3tgXP8BdFjgFHfcAXGlFKAKKeLhxSUy2r30PHIRGVxXzEGV8%2Bl9cnmIjznMXehxkQbBDib3H9eRgnAjzhiUYs69kwv66%2BvK5Q7gfe0bTyL9okkaMMyxXm%2FR5KzuUPEnrkkXBxlfqKlHx9AG9lUJJm3zXGHhnCOJe16VHulXs7vmXh18AnGiTuJ6ckv80vQdB4oijjoA6LoBjSgJsDwIWZdEQO5gmc4o0aGXn0LFF1Fq4sD7MgaQ0dOcXwc3cNwAgZIP4,75,12,0,0,0,#613533664,Vorago,KSP-300,30 W,Subwoofer,Subwoofer,USB,3 kg,"De piso, Poste, De pared, De techo",Caja,NA,1.1,NA,NA
9, Bocina Bluetooth Regadera Llamadas Recargable Contra Agua ,56,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6749
				vendidos
			
		",(100 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 563
		
		 sin intereses
		
	

	
		",63,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,34,https://perfil.mercadolibre.com.mx/COMPU_VICHIS,https://articulo.mercadolibre.com.mx/MLM-624119055-bocina-bluetooth-regadera-llamadas-recargable-contra-agua-_JM#position=9&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,21,8,4,0,1,#624119055,Genérico,Agua,20 W,Super tweeter,NA,NA,NA,INTERIOR,REDONDO,NA,MONO,NA,NA
10, Bocina Contra Agua Bluetooth Recargable Waterproof Azul ,77,NA,"
			
				Nuevo
			
			
				
					 - 
				
				3002
				vendidos
			
		",(179 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 430
		
		 sin intereses
		
	

	
		",30,NA,Envío a todo el país,Devolución gratis,Tienes 30 días desde que lo recibes,4.4,11,https://perfil.mercadolibre.com.mx/TC+MEMORY.,https://articulo.mercadolibre.com.mx/MLM-665638990-bocina-contra-agua-bluetooth-recargable-waterproof-azul-_JM#position=10&type=item&tracking_id=5f718be3-e877-48ec-9cdc-97907f039a02,7,2,1,1,0,#665638990,OEM,BC-BT-02,3 W,NA,Tweeter,Auxiliar,100 g,De pared,Caja,NA,NA,NA,NA
