search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de parlante,Tipos de filtros del parlante,Lugares de colocación,Formato del parlante,Conectores de entrada,Peso,Línea,Configuración de canales,Voltaje,Ancho,Altura
1, Parlante Portatil Bluetooth Gadnic Recargable Potenciado ,2549,3640,"
			
			
				
				1326
				vendidos
			
		",(4956 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,192,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://articulo.mercadolibre.com.ar/MLA-749811314-parlante-portatil-bluetooth-gadnic-recargable-potenciado-_JM#position=1&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,152,31,7,0,2,#749811314,Gadnic,ABLUE050,10 W,Portatil,"Bluetooth, Fiesta","Departamento, Cumpleaños, eventos, comidas, reuniones",Bullet,Entrada para Micrófono,0.715 g,NA,NA,NA,NA,NA
2, Parlantes Bluetooth Portatil Thonet Vander Frei Potenciado ,3498,NA,"
			
			
				
				652
				vendidos
			
		",(67 disponibles),6 cuotas sin interés,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,325,https://perfil.mercadolibre.com.ar/THONETANDVANDER?brandId=370,https://articulo.mercadolibre.com.ar/MLA-745802501-parlantes-bluetooth-portatil-thonet-vander-frei-potenciado-_JM#position=2&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,199,90,26,6,4,#745802501,Thonet & Vander,Frei BT,16 W,Portatil,Bluetooth,Living,Caja,"USB, bluetooth, 3.5"" stereo",600 g,Portatil,1.0,NA,NA,NA
3, Parlante Portátil Bluetooth Más Potente Usb Fm Led + Micrófono Karaoke Pendrive Música Mp3 Aux Radio Batería Recargable ,3590,4990,"
			
				Nuevo
			
			
				
					 - 
				
				6269
				vendidos
			
		",(14 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,721,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-679025125-parlante-portatil-bluetooth-mas-potente-usb-fm-led-microfono-karaoke-pendrive-musica-mp3-aux-radio-bateria-recargable-_JM#position=3&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,469,163,63,10,16,#679025125,Otras Marcas,T101,NA,Subwoofer,Activo,De piso,Caja,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,T,NA,220V,NA,NA
4, Parlante Karaoke Mp3 Sd Usb Bluetooth Luces Efecto Full! ,1599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				480
				vendidos
			
		",(63 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,43,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-674207418-parlante-karaoke-mp3-sd-usb-bluetooth-luces-efecto-full-_JM#position=4&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,28,14,0,0,1,#674207418,TECHNOLOGY LINE,Bronx,10 W,Portatil,Woofer,No aplica,Caja,Entrada para Micrófono,NA,NA,NA,NA,NA,NA
5, Parlante Bluetooth Bomb 40w Luces Led Potenciado Usb Radio ,2699,NA,"
			
				Nuevo
			
			
				
					 - 
				
				390
				vendidos
			
		",(32 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,69,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735697832-parlante-bluetooth-bomb-40w-luces-led-potenciado-usb-radio-_JM#position=5&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,52,10,2,4,1,#735697832,Kolke,KPM222 BOMB,40 W,NA,Activo,NA,NA,Entrada para Micrófono,NA,NA,NA,NA,NA,NA
6, Parlante Portatil Karaoke Recargable Usb 60w Luz Led + Microfono ,3299,NA,"
			
				Nuevo
			
			
				
					 - 
				
				374
				vendidos
			
		",(47 disponibles),12 cuotas,NA,NA,Envío gratis,Devolución gratis,Tenés 30 días desde que lo recibís,4.6,61,https://perfil.mercadolibre.com.ar/AJAXGOLD,https://articulo.mercadolibre.com.ar/MLA-735695374-parlante-portatil-karaoke-recargable-usb-60w-luz-led-microfono-_JM#position=6&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,46,10,3,1,1,#735695374,Kolke,KPB207,60 W,Portatil,Woofer,EXTERIOR / INTERIOR,Caja,USB,NA,NA,NA,NA,27 cm,46 cm
7, Parlante Karaoke Bluetooth Usb + Luz + Sd + Microfono ,1679,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1147
				vendidos
			
		",(993 disponibles),12 cuotas,NA,NA,Retiro gratis en local del vendedor,NA,NA,4.6,96,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-648179703-parlante-karaoke-bluetooth-usb-luz-sd-microfono-_JM#position=7&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,66,22,5,2,1,#648179703,TECHNOLOGY LINE,SBL10-KARAOKE-RED,10 W,NA,Woofer,NA,Caja,NA,NA,NA,NA,NA,NA,NA
8, Parlante Portatil Bluetooth Gadnic Recargable Potenciado ,2549,3640,"
			
			
				
				1326
				vendidos
			
		",(4956 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.7,192,https://perfil.mercadolibre.com.ar/SALES+COM?brandId=945,https://click1.mercadolibre.com.ar/mclics/clicks/external/MLA/count?a=%2FY8yFh4NHmBWbxTjhEqcw%2BRU1DnsspnEN8Wc8o8D7C8ivD99%2Bf%2FTX1aX4WX74bKT7OCCaaWl5bXWHbM6OeCFuRQr5hnTt7h6CsgC2fVHv1COPhq9LrM8dgFSqrND%2FKbZGJq5pS%2B43PHnHDLM7B3sTbBqRClUs4bBYUPwkpEzY3sYtAi2hzeY8SPCa7Q2YenZPKtbJrmeMEbMjLPYs9RtwCD5pD8z6hKQW3iLTkre%2BTMpN6KgwQkrMdWrK%2B2pw7SXXlnxNsBvZD%2BapkAXMzFQgBFsUzpcUQIlJDameiepaeA%2BzowMA9Lvguo1B9ihfP8knnAlVELgHG1ND5lqIqwTwtCcw9w7xqGaqYgHyJf7UTWO5o4JS6ED2DUpf8LoYFjF94uFDlH5uFknJtZxaE26EDpYrJGWq%2FCLjUBjIy%2FCFges7TVqZmr2mw4k7Jp9c%2BZM7ZOfmIJ5mckf5Z2VvEiKujk5WDu8kDHc3lE8yI%2FFkBu5IOIIftFVYA2mByTho9Z5MFbfz5JqrX%2BNKdinMpoLWzbWU1iq0WgDb%2F9YbAERLM3O8xddVuShxE4vRXIfQh7ElN9rfDH7C8TPR6XvQYcOwH%2FCwEdztGlCVf4%2Bcjb1XmE4Xe2ims%2BMkG4J6FqcgelFPeTBBJvpcQSiNgaTUIRdi2Y%2Bhm59SrTyQimvMzyC21rpvLfaz1i%2BeNxHYAA87VaWHuPehAIW7Li8XORPBTNKwx1T1kk9W6nFYcA652PP%2BTzcm3BpRzcB3hjnXdVt9tKMZTOiODr37wjFW1XNcQvepJJzUdnq%2B2iUsSaZn2pSyZgPkGmgJ59T44jqSYskRBotNrTAs4lUrheZvWmc%2FhB2sQgUTpAv8k0Xvtd0g0Vy0kfMI%2FeJFHtoAOp1HweEn5uIGTe5hX4K8NdM%2FW8lFxFWdYTSkceYIogIzsw4wLyOj975clWpzxrkHE2pEw%2BBCkdjxc7X0Zf%2B9pOrsEFmKhOIkRxVyNbY1kollv1qtFTZLx1%2FVwUAofHQhSMDPIEtCMr57JmNpWh3WMpvXIjmrfeK7b4fx9gVU7m3kN8BXWiPc4Mo0K9Ggtl%2B7IQxtETOi%2Fc1b0pom0KMzf9vCazIExoxDkwPEGOGequSAvJIEMx7hCDqoPnnHo8ebHz75OIG%2F11IqbDo6FCv%2FSBjKZwE5zS%2BSK5i7mYi4ZPL840vet%2BpPlUk5BCgdaAc793D7ClhjKp1MFQ6%2BGhOskKHjAOSiiyRPbwGL68NCS2npS54jHzvrKdcpWTVn2xM3uWC%2BP5TtCVaKziR9OSbvVx7x2zla%2BftStHmf0GdwCiAdPvZuuSnZJqPlOAxaNUWi2HWDZLUgFllezVIHbnR9gaeAjypnrC19cTRZym4iaZd07sKwjBHu9FPGWSlQKAPCIzj2bm4APL77RxeL%2FbDWtaO2MmN13%2BnQZiI0v6vB%2FuyKzPT7rFfw4qbKz56Tw8KgaSFawqHoEY6hzmTepzxUpdtZB38ZdlFmtsNYcSrGOUnJ8OIT%2B30qfXzmtsNcqyFF8HN0ryl4jADY%2F%2B1uA7pCSJFaiCFaSfTAzDzhLdffV2h10J0pG0UCTG7eQE9hjFx5r7zSrm7h4yDr9ML%2Fpimkk1wGEsND4IBRoR9OKi60p3a4ZzgHMeMFgDqwdN8K8EW8vD7SQmHqD13y017BNJyMGtAD4QsTz80kCU%2FUrQmb5ooSUBoQKZVhiEFW4I61qS1dQ1ij6op6y8EtK7WLcddS4q0Mm1uVN35pQDR7YUhyDO5ZhOlQG8HR9PcqE5lr78qFqcrNnOOYIlbUDnSP3gjyQd0MfwfAMt2GAUcyrqXK0Dk8qbMnA9Y3wY5QpfThEvWu14yycxXjYHLbwDmKyPpYd8fzVvD8Vt6T1Z9pVWbGKDhbmjTXbN8EhFPFd1iVLrcXxnmS4pULs4NThcd3zCdSLPxVaf4%2BW0AdNskfc2C3SvW7AZvoDjHd%2F4rkVaBRis1XA%3D%3D,152,31,7,0,2,#749811314,Gadnic,ABLUE050,10 W,Portatil,"Bluetooth, Fiesta","Departamento, Cumpleaños, eventos, comidas, reuniones",Bullet,Entrada para Micrófono,0.715 g,NA,NA,NA,NA,NA
9, Parlante Portátil Bluetooth Karaoke Usb Fm Luces + Micrófono Control Remoto Radio Potencia Superior 220v Aux Usb Sd Mp3 ,3589,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1674
				vendidos
			
		",(21 disponibles),12 cuotas,NA,NA,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís,4.5,291,https://perfil.mercadolibre.com.ar/ALCLICK+ML,https://articulo.mercadolibre.com.ar/MLA-663857293-parlante-portatil-bluetooth-karaoke-usb-fm-luces-microfono-control-remoto-radio-potencia-superior-220v-aux-usb-sd-mp3-_JM#position=9&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,199,64,21,3,4,#663857293,Otras Marcas,T101,NA,Subwoofer,Activo,De piso,Caja,"Bluetooth, USB, microSD, AUX, Micrófono.",NA,T,NA,220V,NA,NA
10, Parlante Bluetooth Usb Mcsd Microfono C/cable Full! ,1679,NA,"
			
				Nuevo
			
			
				
					 - 
				
				200
				vendidos
			
		",(28 disponibles),12 cuotas,NA,NA,Envío a todo el país,Devolución gratis,Tenés 30 días desde que lo recibís,4.9,12,https://perfil.mercadolibre.com.ar/REAL-COLOR,https://articulo.mercadolibre.com.ar/MLA-698611319-parlante-bluetooth-usb-mcsd-microfono-ccable-full-_JM#position=10&type=item&tracking_id=6cfbb1a2-a86b-4a94-9351-435789693cc5,11,1,0,0,0,#698611319,Global Electronics,SBL10,10 W,Portatil,Woofer,"Living, Habitacion, Comedor",Portatil,NA,NA,NA,NA,NA,NA,NA
