search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Linha,Modelo,Potência de saída (RMS),Tipos de alto-falante,Quantidade de alto-falantes,Tipos de filtros do alto-falante,Lugares de colocação,Formato do alto-falante,Configuração de canais,Conectores de entrada,Peso,Resposta mínima em frequência,Resposta máxima em frequência,Distorção,Voltagem,Largura,Profundidade,Altura,Cor
1, Caixa Som Bluetooth Amplificada 500w Portátil Led Falante 15 ,729,NA,"
			
				Novo
			
			
				
					 - 
				
				78
				vendidos
			
		",(1 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 6083
		
		 sem juros
		
	

	
		",83,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,183,https://perfil.mercadolivre.com.br/TOCADOSPEIXES,https://produto.mercadolivre.com.br/MLB-1188732226-caixa-som-bluetooth-amplificada-500w-portatil-led-falante-15-_JM#position=1&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,128,31,14,4,6,#1188732226,Amvox,ACA,ACA501 NEW,500 W,Tweeter,1,Tweeter,"chao, bancada",Caixa,2.1,AUX/CARD/USB/Microfone ou instrumento,13.72 kg,NA,NA,NA,NA,NA,NA,NA,NA
2, Caixa De Som Portátil Jbl Wind P/ Moto E Bike P2 E Bluetooth ,159,NA,"
			
			
				
				877
				vendidos
			
		",(4 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1520
		
		 sem juros
		
	

	
		",20,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.7,940,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,https://produto.mercadolivre.com.br/MLB-1073888661-caixa-de-som-portatil-jbl-wind-p-moto-e-bike-p2-e-bluetooth-_JM#position=2&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,760,122,39,7,12,#1073888661,JBL,NA,Wind,3 W,falante,NA,Ativo,bike e motocicleta,Caixa,5.1,NA,NA,20 Hz,20 kHz,NA,NA,NA,NA,NA,NA
3, Caixa De Som Amplificada Portátil Bateria Bluetooth Fm 1200w ,169,NA,"
			
				Novo
			
			
				
					 - 
				
				3039
				vendidos
			
		",(249 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1624
		
		 sem juros
		
	

	
		",24,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,124,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1089428322-caixa-de-som-amplificada-portatil-bateria-bluetooth-usb-500w-_JM#position=3&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,76,27,7,6,8,#1089428322,Grasep,NA,DQ-9,20 W,"Subwoofer, Twitter",NA,Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Torre,5.1,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,0.3 %,NA,NA,NA,NA,NA
4, Caixa De Som Amplificada Portátil Bateria Bluetooth Usb 500w ,205,NA,"
			
				Novo
			
			
				
					 - 
				
				1283
				vendidos
			
		",(152 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1966
		
		 sem juros
		
	

	
		",66,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.3,55,https://perfil.mercadolivre.com.br/A7NOVIDADES,https://produto.mercadolivre.com.br/MLB-1114227033-caixa-de-som-amplificada-portatil-bateria-bluetooth-fm-1200w-_JM#position=4&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,35,11,4,2,3,#1114227033,Grasep,Voxcube,D-Q10,30 W,"Subwoofer, Twitter",3,Ativo/Passivo,"Festas, Eventos, Sala, TV, Notebook, PC, Computador, Celular",Caixa,5.1,"Bluetooth, P2 Auxiliar, USB Pendrive, SD Cartão, P10 Microfone, P10 Instrumento Musicais, Violão, Guitarra, Baixo",NA,NA,NA,0.2 %,Bivolt,NA,NA,NA,NA
5, Caixa De Som Jbl Go2 Bluetooth Original A Prova Dágua ,55,NA,"
			
				Novo
			
			
				
					 - 
				
				444
				vendidos
			
		",(81 disponíveis),"
	
		
			
		
		10x 
		
			
				R$ 636
		
		 sem juros
		
	

	
		",36,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.8,29,https://perfil.mercadolivre.com.br/PLACECOMPRAS,https://produto.mercadolivre.com.br/MLB-1189229037-mini-caixa-de-som-radio-fm-am-sw-portatil-mp3-player-usb-sd-_JM#position=5&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,26,2,0,0,1,#1189229037,Briwax,NA,BX-667 / BX-670,3 W,Tweeter,NA,Tweeter,De piso,Caixa,2.1,USB,830 g,NA,NA,NA,NA,NA,NA,NA,NA
6, Caixa Som Bluetooth Portátil Amplificada Mp3 Usb 2 Microfone ,224,NA,"
			
				Novo
			
			
				
					 - 
				
				258
				vendidos
			
		",(2 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2149
		
		 sem juros
		
	

	
		",49,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.6,14,https://perfil.mercadolivre.com.br/GOLD_TECH,https://produto.mercadolivre.com.br/MLB-1228293421-caixa-som-bluetooth-portatil-amplificada-mp3-usb-2-microfone-_JM#position=6&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,10,3,1,0,0,#1228293421,Briwax,NA,FBX-107,40 W,Tweeter,NA,Tweeter,NA,Caixa,2.1,Entrada para Microfone,2.75 kg,NA,NA,1 %,NA,NA,NA,NA,NA
7, Caixa De Som Jbl Go 2 Portátil 3w Bluetooth Original ,179,NA,"
			
				Novo
			
			
				
					 - 
				
				201
				vendidos
			
		",(24 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1492
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1675,https://perfil.mercadolivre.com.br/ELETROPRINTER,https://produto.mercadolivre.com.br/MLB-1243855044-caixa-de-som-jbl-go-2-portatil-3w-bluetooth-original-_JM#position=7&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,1538,106,19,6,6,#1243855044,JBL,GO,GO 2,3 W,NA,NA,NA,Portátil,Quadrado,NA,NA,184 g,NA,NA,NA,NA,NA,NA,NA,NA
8, Kit 3 Caixa Som Bluetooth Torre Amplificada - Mp3 Usb Fm Top ,90,NA,"
			
				Novo
			
			
				
					 - 
				
				136
				vendidos
			
		",(864 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 750
		
		 sem juros
		
	

	
		",50,NA,Envio para todo o país,Devolução grátis,Você tem 30 dias a partir do recebimento,4.5,2,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,https://click1.mercadolivre.com.br/mclics/clicks/external/MLB/count?a=qXHAnf9%2FRLbG0VvplQ0e2rmnBfYUaQzVG7DiqxRNpjXz98YPMegAGPAqmccN0EOwaPpP1G64pUD4ALFgiakTMfh%2FwLihKo6mHFnHckQT2ZcgMU4duTGyWq9tkFUnt4QS8iXG7yNQJ49bIK5HUFHwrRYX%2FHp0MAuzgAeE693WVSxHMW56%2B2Wp2h5EAQSKUpBUi4cs%2BPAC7QwFP0eRQ7jdIO%2FBWDbvBWJR0UFqBRWXyaQVQKHZJjydZ%2F4UWeABFF98ns9%2BeGx9sYnbjPn%2Fr0EHYP8gm%2Fg3vL6vvFXQLqfFjND%2Br9aVGbbtY7eCiO%2FbL2QnYrKQ0CU8Hy6JdSG4GDE2sJN1N2XWaSw%2Beqexmi3WUSjmCdrK7obQ7dol36Rc3ASQW%2B1ofdu7HQSIHb7JsaKwMbDXzKG1N7GvJSG0h9qLFwDAL0tT5SZ%2F7%2FBYgbHyomuTYYFXE7gGEWc49DQVlZDa8E0jsTMFOnF4nmp9NTcCi9I7q4%2BeyVoI2oPshSWdBhCX93nffQlfjgknSFGE7pb9OI64RTsxPIv9hmIv5XNpR%2B%2Feyrycf0eSbTv0mjy23V4HiD0FLWBl8hVM844Aj5QqtKVPZX82VpZJUpANXZ3JMQWFKwY8jIEB9hagDk87IbiBTMohp7NzMjgZmFzuTKQMk%2BjaQYw41dvicw5QJqYyNOZQF1E0fAWc7utENPb6bDAw10umI0Iv%2BbT%2BHAC5R8TDmrVa7NY3ZEwTszmRblxfAmjXjTxy7YcH34yetsVWzKCl68NoSu%2BNeTmO%2BqPflBqZeYo0ChDOtb2HRdBY5bU3hOe1wpQ3dkiBXL9FyQn31cHpLEnSJ2fYTVK%2FHTJzBZCwNewP9yD3Kqba8dLdcrV6TqQK0wFpsvYTYRS52ZfaP0KsF7W3%2Fh57jd3hoTvN%2B0uSl8l05yB35zT7wHPowlhUxsxr8rw%2BOj6MfjU%2F4CN4GPHR%2Fuv2dT2Md26N70HVFBBapuLx88a6Kr1th7tK%2BOPHywEMEDJoiROfxjKgKNtnuhe2DILGlb1houfXs1jKzmDV0ZR4xfled7iVXyX6VD9K5760CS%2Ba1OPngZ3nEU4R9uhdt8Jsfmx3SfRDyVK%2FpEQEU1zFMymVbsLcVsDEIGBxVMqzieFWk96%2BHqIKcWwAojSXOx1zz3guCKY%2FxC0CugwQUr48TJG0lGn9VxqIrmjcm%2BrZ8R0WLALYyWuORdsGzLeE4JLOkdxlMIyrAWfNG1qUUYJlFSGE7uOEyEiMZ2aXRee%2FrmyeBptf9vNCWbY2Ls3gFmXdXoqvP%2BxQjhWLIDK4ERNb3pzF2sRDzPKdRcx%2BUraIaeJGk7nxstHlrRzCkmWfVChqodqUJg7AoYPxksnMHF73SupEyg0l3uEjbTNwPoRywlo%2B%2BzzOoe2aVaG5rWxdNY65tAC5VZqX6pcgiAUgW9JRvYQvZEALUZYp4PISidHfs3ghapPRGjdzTY3MiQDWNrGH6HfOZXxk0gABsYBmMOs%2BWtMzL5ErJH5tNU0wBDMgQp2x5VkwvDa79tKV9mVZwv8SwSp%2Fw7Hacctg1tvSfTxrTJyD8YX7hI8lZKDHEwHm1eVEXBbWR9Qae48yRo4dqbk6h0Pd9PTLllPv43A6YIEPGOzBT5gu38196ciAw7%2B2ie%2BcaVJ6rJtafblqqqdBoe6udtZJkZ%2FUXhtQnPyY5%2FEwWIegxqynoYnnuBG2iz3mnZEonD1XXF9iCZYtUhJPjGrZZTk0AP2Wlv1ZDI5AH6N8OkiyDsJa32rzqJWbXhiLEq8%2B41oOtzkHw7lbdekKOeqPwVLkUCsGbyx68aKV13P4jIg8kJhWLKrgbv3A9xflcOjOr8TwJPpMi5fqNCmlY6ep52cvh3xkUKFuwyrVHXWt9ZeStjG4RVy7q4%2BEVqb18btO5sLe22RjGAMFf6Fd8rjPnXdAoQ3BLcaHbwN%2BlX%2Fq9P%2FsbCf7y6itO%2BrBo4Ew0bSUFnvhB4vMh8TIHw%3D%3D,NA,NA,NA,NA,NA,#1244442589,Goldenultra,NA,Torre,10 W,Subwoofer,NA,Ativo/Passivo,Todos,Caixa,5.1,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
9, Caixa Som Bluetooth Amplificada 40w Rms Usb Radio Controle ,149,NA,"
			
				Novo
			
			
				
					 - 
				
				129
				vendidos
			
		",(44 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 1248
		
		 sem juros
		
	

	
		",48,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,4.9,1675,https://perfil.mercadolivre.com.br/VITORIAGUILHERMINHO5,https://produto.mercadolivre.com.br/MLB-1278954745-caixa-de-som-jbl-go2-bluetooth-original-a-prova-dagua-_JM#position=9&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,1538,106,19,6,6,#1278954745,JBL,NA,GO 2,3 W,Woofer,NA,Ativo,Ambientes Domésticos,Caixa,2.1,NA,0.18 kg,NA,NA,NA,NA,NA,NA,NA,NA
10, Caixa Bluetooth Jbl Go2 Original Lacrada Várias Cores ,250,NA,"
			
				Novo
			
			
				
					 - 
				
				141
				vendidos
			
		",(3 disponíveis),"
	
		
			
		
		12x 
		
			
				R$ 2092
		
		 sem juros
		
	

	
		",92,NA,Frete grátis,Devolução grátis,Você tem 30 dias a partir do recebimento,5.0,3,https://perfil.mercadolivre.com.br/HDV.VENDAS,https://produto.mercadolivre.com.br/MLB-1188152243-caixa-de-som-grande-amplificada-via-bluetooth-grave-karaoke-_JM#position=10&type=item&tracking_id=be9a09cc-a512-4aa3-84ce-1d48133c253f,3,0,0,0,0,#1188152243,Briwax,NA,BX-668,20 W,Woofer,NA,Subwoofer,Portátil,Caixa,5.1,USB,NA,NA,NA,NA,NA,NA,NA,NA,NA
