seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold
TOCADOSPEIXES,https://perfil.mercadolivre.com.br/TOCADOSPEIXES,12,12 anos vendendo no Mercado Livre,17370,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1528,Ruim (52),Regular (35),Bom (1441),"Piracicaba, São Paulo.",17370 vendas nos últimos 4 meses
Giro Rápido Loja oficial,https://perfil.mercadolivre.com.br/GIRO+R%C3%81PIDO?brandId=2104,4,4 anos vendendo no Mercado Livre,21639,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,2137,Ruim (97),Regular (68),Bom (1972),"Presidente Prudente, São Paulo.",21639 vendas nos últimos 4 meses
A7NOVIDADES,https://perfil.mercadolivre.com.br/A7NOVIDADES,2,2 anos vendendo no Mercado Livre,5869,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,521,Ruim (9),Regular (6),Bom (506),"São Paulo, São Paulo.",5869 vendas nos últimos 4 meses
PLACECOMPRAS,https://perfil.mercadolivre.com.br/PLACECOMPRAS,1,1 ano vendendo no Mercado Livre,3235,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,324,Ruim (9),Regular (12),Bom (303),"São Paulo, São Paulo.",3235 vendas nos últimos 4 meses
GOLD_TECH,https://perfil.mercadolivre.com.br/GOLD_TECH,10,10 meses vendendo no Mercado Livre,3027,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,309,Ruim (21),Regular (14),Bom (274),"São Paulo, São Paulo.",3027 vendas nos últimos 4 meses
ELETROPRINTER,https://perfil.mercadolivre.com.br/ELETROPRINTER,6,6 anos vendendo no Mercado Livre,7562,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,592,Ruim (10),Regular (6),Bom (576),"Campinas, São Paulo.",7562 vendas nos últimos 4 meses
LUCRIMAXTENDNCIAS,https://perfil.mercadolivre.com.br/LUCRIMAXTENDNCIAS,3,3 meses vendendo no Mercado Livre,991,MercadoLíderÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,40,Ruim (2),Regular (2),Bom (36),"São Paulo, São Paulo.",991 vendas nos últimos 3 meses
VITORIAGUILHERMINHO5,https://perfil.mercadolivre.com.br/VITORIAGUILHERMINHO5,6,6 meses vendendo no Mercado Livre,605,NA,Presta um bom atendimento,Entrega os produtos dentro do prazo,65,Ruim (2),Regular (1),Bom (62),"Nhandeara, São Paulo.",605 vendas nos últimos 4 meses
HDV.VENDAS,https://perfil.mercadolivre.com.br/HDV.VENDAS,2,2 anos vendendo no Mercado Livre,1682,MercadoLíder GoldÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,176,Ruim (1),Regular (1),Bom (174),"São Paulo, São Paulo.",1682 vendas nos últimos 4 meses
LOI BRASIL,https://perfil.mercadolivre.com.br/LOI+BRASIL,6,6 anos vendendo no Mercado Livre,12906,MercadoLíder PlatinumÉ um dos melhores do site!,Presta um bom atendimento,Entrega os produtos dentro do prazo,1073,Ruim (44),Regular (27),Bom (1002),"Mauá, São Paulo.",12906 vendas nos últimos 4 meses
