search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Tipos de parlante,Cantidad de parlantes,Tipos de filtros del parlante,Conectores de entrada,Peso,Línea,Configuración de canales,Lugares de colocación,Formato del parlante,Voltaje,Altura,Ancho
1," Bocina Bafle Portátil - Tedge - 8 Pulgadas Bluetooth Recargable Con Karaoke, Micrófono Y Control Remoto ",545,799,"
			
			
				
				93
				vendidos
			
		",(1196 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/TEMAKLAMEXMEX?brandId=2268,https://articulo.mercadolibre.com.mx/MLM-680248351-bocina-bafle-portatil-tedge-8-pulgadas-bluetooth-recargable-con-karaoke-microfono-y-control-remoto-_JM#position=1&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,NA,NA,NA,NA,NA,#680248351,Tedge,SPBL01,5 W,Subwoofer,1,Subwoofer,USB,2.1 kg,NA,NA,NA,NA,NA,NA,NA
2, Bocina Bluetooth Select Sound Bt228 Bazooka Radio Fm Usb ,499,NA,"
			
			
				
				754
				vendidos
			
		",(109 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 4930
		
		 sin intereses
		
	

	
		",30,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.8,42,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,https://articulo.mercadolibre.com.mx/MLM-589887600-bocina-bluetooth-select-sound-bt228-bazooka-radio-fm-usb-_JM?searchVariation=25443119914#position=2&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,35,5,2,0,0,#589887600,Select Sound,BT228,10 W,Subwoofer,NA,Subwoofer,"USB, Auxiliar",NA,NA,NA,NA,NA,NA,NA,NA
3, Bafles Amplificados Bocina Bluetooth 8 Pulgadas Recargable Portatil Microfono Larga Duracion Usb Auxiliar Fm Karaoke ,599,799,"
			
				Nuevo
			
			
				
					 - 
				
				1214
				vendidos
			
		",(107 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5918
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,573,https://perfil.mercadolibre.com.mx/TECNOLIBYO,https://articulo.mercadolibre.com.mx/MLM-669024398-bocina-jbl-go-2-bluetooth-negra-metalica-a-prueba-de-agua-_JM#position=3&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,530,37,5,1,0,#669024398,JBL,GO,3 W,Subwoofer,NA,Subwoofer,NA,NA,GO,"NA",NA,NA,NA,NA,NA
4, Bocina Contra Agua Bluetooth Recargable Waterprof Negro ,599,NA,"
			
				Nuevo
			
			
				
					 - 
				
				319
				vendidos
			
		",(47 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5918
		
		 sin intereses
		
	

	
		",18,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,573,https://perfil.mercadolibre.com.mx/TECNOLIBYO,https://articulo.mercadolibre.com.mx/MLM-676471802-bocina-bluetooth-jbl-go-2-azul-metal-a-prueba-de-agua-_JM?searchVariation=39643733513#position=4&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,530,37,5,1,0,#676471802,JBL,GO 2,3 W,Subwoofer,NA,Subwoofer,NA,NA,GO,Na,De piso,Caja,NA,NA,NA
5, Bocina Jbl Go 2 Bluetooth Negra Metalica A Prueba De Agua ,649,NA,"
			
				Nuevo
			
			
				
					 - 
				
				195
				vendidos
			
		",(9 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 6412
		
		 sin intereses
		
	

	
		",12,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,573,https://perfil.mercadolibre.com.mx/MUB+M%C3%89XICO,https://articulo.mercadolibre.com.mx/MLM-676174660-jbl-go-2-waterproof-_JM?searchVariation=35272412977#position=5&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,530,37,5,1,0,#676174660,JBL,GO 2,3 W,Mini tweeter,1,Mini tweeter,NA,NA,GO,1.0,De piso,Caja,NA,NA,NA
6, Bocina Contra Agua Bluetooth Recargable Waterprof Rosa ,545,"1,030","
			
			
				
				5445
				vendidos
			
		",(238 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío,Devolución gratis,Tienes 30 días desde que lo recibes,4.5,191,https://perfil.mercadolibre.com.mx/VENTRONIC_GDL?brandId=1714,https://articulo.mercadolibre.com.mx/MLM-593882819-bafles-amplificados-bocina-bluetooth-8-pulgadas-recargable-portatil-microfono-larga-duracion-usb-auxiliar-fm-karaoke-_JM?searchVariation=17434285683#position=6&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,133,43,5,5,5,#593882819,Link Bits,ST-81L,4500 W,Subwoofer,NA,Subwoofer,Auxiliar,NA,NA,NA,De piso,BAFLE,NA,NA,NA
7, Bocina Bluetooth Recargable Contra El Agua Full ,509,NA,"
			
			
				
				270
				vendidos
			
		",(78 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 5038
		
		 sin intereses
		
	

	
		",38,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,15,https://perfil.mercadolibre.com.mx/SELECT+SOUND?brandId=1529,https://articulo.mercadolibre.com.mx/MLM-643443579-bocina-bluetooth-select-sound-con-luces-led-fm-subwoofer-_JM#position=7&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,14,1,0,0,0,#643443579,Select Sound,BT229,10 W,Subwoofer,NA,Subwoofer,Auxiliar,NA,NA,NA,NA,NA,NA,NA,NA
8," Bocina Bafle Portátil - Tedge - 8 Pulgadas Bluetooth Recargable Con Karaoke, Micrófono Y Control Remoto ",545,799,"
			
			
				
				93
				vendidos
			
		",(1196 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 3028
		
		 sin intereses
		
	

	
		",28,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,5.0,1,https://perfil.mercadolibre.com.mx/TEMAKLAMEXMEX?brandId=2268,https://click1.mercadolibre.com.mx/mclics/clicks/external/MLM/count?a=9ny2q4lIGDzvy7kwd5Kmp%2BwoVrAcfop7UNi5crpAnmPUznIB9HX5UE2%2F3OPOSFrLlnB3el3HfMsPdi7GccaDlKZqNl1Hj27PoMWB2SdSAyUzumZgDJY7rbTW%2FaV1kv0CYGQeM42WlHohwb7yvCAE8xOyQXGFehW7JNkQ%2FdkTvT0P6AEZFcQjaRRJ9tS84tbznEFJtx2P7JUQ9%2FDv%2Ba5HWuyUh2yJHgtZlGNukWwFBQfl1G484Y%2B%2BBWSgF%2B%2FU0e3%2FiOzL3VLE6Ekoo5oUSxzxCqBqUNAbo3UZ4pb7AyLFoECngReMEPx0SXEWMCbuue7OdgMXXIsmb0zl4Z35MjZqHRH1cXGDnseIkEWfE3JFpMiOUPSI53zX3nSjhk6%2BigFzGs%2FfRw0SYL%2BdNIm5KkkCWM0Ze%2FlrA%2FtlZ7rCW0Ph0ucK8dOMxrp4ov4csD7sgdHAuKJt43eJ6U8FJi%2B1Qa2d%2F7v8QYtq3a6k75XLe%2BTHbjBzKpayYphZQki1XhOeTjtknCXzmWXrUl84tNAMPcE3wLesiCoI6eJyKAQENxw6XnH%2FQJbY%2B%2BKQBPuqar%2FubhJ2slSUtS%2BrS3m87%2F2I5fhKLG75lJk5iFf6RUjlMNKzsTprOcIWAY%2F3wpJoGRo8Flq2%2Bv7qe1L%2Bmqxs8wF4A1MLTDC6mmzojGbD%2FqT0Chr8o7WQs3xPNYDJmKiGm8gfQI4Lr5%2BDp%2Bh1YmNdi43GsU37dWcRIvFpLLKycv6zTxJ5ay74mvMsUun8WfTp3oTFUFnWEphRlC70mgNjM3cKPKzw9M2Uc1dm9pdVC%2FbG1PwKUlmCmJJiuKfzXZ0%2FIvROFueA%2B2UXikfV%2BAkHiWZz83oRWEwpn81AO9ja%2FhV0pWtHkzeoBYmtbQ1HQscfuHJgODgZZpXroqJ11lnx%2Bg95WfVoE7gZDPeyMPucf5aS5LAPIj%2FOZQBov7gEz6Ks%2Bgdfm80P1yjbcomtB%2Bo16drCI%2F3hqlVqK%2F7ohIut%2B7myicNfOqys8MZfPcalU2D6st%2F%2F3fjxT5t6Ka17U2pUoG8TTXtbpvwTgrDzzSh4xPmcOEDwa5NrZKZxk2vTzT%2FzWx8pa1ekNet7Klrl7pPPwYe%2B9ilfnzekQhKmQnemvDbyO2wguPPeNcHTxs3ElNNoerCwkj9aJl9RoXUrLTowHaYp3SAKoBRF8S%2BOzznJLJmGZrbRp3SPI89ytG%2FbjLy9u54raWoqozCLXydd%2BO%2B6%2B33W6OjuWpMsJB6Gf3tFY0v4iezJha1KnsLehN6Ecr5yZ4k%2BfUJBkwUdFQLTT8BK3cjd30Ns4zwSPMItd8WLTInbfEUVTQJhibt00thw3zFFQOiYbDqchc58rDPQhPCTW6iQsrJeYfaxFKZY3otxBDLW%2F8c4XAuHL0Kf%2FxIsM%2FVn0cslkNhhMUgi5dS2LZEVBzKA5rI%2F1qAL8JwEb%2BgHZfWdJWzHTRP7kCYSPZmIsWFr1dIcozf%2F2ojUmxkgh6GryZ%2FsEpIbL6lKk3jj1uKh26Q1PLEAAvRoeddqJ3IZNTs1KuG90L1wM5D96gzebxgYpWpodcFtE%2B%2BGPQ4tjQmZV0a8D0vJg92ObIhHKs1aA0aplBrjApRNvTDod2H8dusI1Ap0ahMcFtWHRPIuJ1v%2FnzAvGumlLAuY94SlluazkikUEnqg%2FoKKauyZu9wOU74yu4pc0EMfYerB5w5HlIyiF9DH5mgR4ThxPJiq2ZqXpD%2B9VUYSM9FTruFw25PWuhwaoouhbOwSYtnT9n2tpMI0tKFvoZN2UBfOVfLJwR35tQwisqes4QCiVuYfAr1HmM7D3oV5zpphgUWWkKBUpGwS9CctWG8niqv1Bbwkphc7ZUiDv%2F5rI4hFy9A1isK0yl%2FQl%2BeKdER%2Bo%2FQcJ7BCINcQEWb9Sm%2B%2FpVl%2BXmJORAFV3LM76EwraGTft4NdgqZrd%2Bprs724Z6GQgVSTiuIQgNB1YEw9DxdSMliDe8U9d7FkGFeQKAbSrF39726J48dnQAV1u%2F35QhFA7c8bQWxGXHA7hQpDqn4EiwuT1%2BNv%2FamXnlFWrWM3R5k%2Fk7gMyF%2FsjPmU%2B3UamrdQh%2FronVGojERlTlldFK%2B1mRqUlxiCJm75GrwdVDra1jo4M10zCdF2oAy9h1z3f6D3S%2BulkChAVjEhuisPpEcV5w2JlZP5Y177c4sM%2FnFt,NA,NA,NA,NA,NA,#680248351,Tedge,SPBL01,5 W,Subwoofer,1,Subwoofer,USB,2.1 kg,NA,NA,NA,NA,NA,NA,NA
9, Bocina Jbl Go 2 Bluetooth Metalica A Prueba De Agua ,56,NA,"
			
				Nuevo
			
			
				
					 - 
				
				1053
				vendidos
			
		",(114 disponibles),"
	
		
			
		
		12 meses de
		
			
				$ 563
		
		 sin intereses
		
	

	
		",63,NA,Envío,Devolución gratis,Tienes 30 días desde que lo recibes,2.7,7,https://perfil.mercadolibre.com.mx/PSACOMPUTOYPAPELERIA,https://articulo.mercadolibre.com.mx/MLM-554604485-bocina-bluetooth-recargable-contra-el-agua-full-_JM#position=9&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,2,0,2,0,3,#554604485,Link Bits,QB09,3 W,Woofer,1,usb,NA,NA,NA,2.1,De pared,Caja,5V DC,NA,NA
10, Bocina Contra Agua Bluetooth Recargable Waterprof Blanco ,"1,299","1,599","
			
			
				
				870
				vendidos
			
		",(110 disponibles),"
	
		
			
		
		18 meses de
		
			
				$ 7217
		
		 sin intereses
		
	

	
		",17,NA,Envío gratis,Devolución gratis,Tienes 30 días desde que lo recibes,4.9,346,https://perfil.mercadolibre.com.mx/GRUPODECME?brandId=1700,https://articulo.mercadolibre.com.mx/MLM-646034025-bocinas-logitech-ue-wonderboom-portatil-bluetooth-recargable-_JM?searchVariation=35034030070#position=10&type=item&tracking_id=eee060dc-a333-453c-a57c-47c272ff85e0,320,20,3,0,3,#646034025,Logitech,UE WonderBoom,NA,NA,1,NA,NA,425 g,NA,NA,NA,NA,NA,102 mm,NA
