search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Modelo,Potencia de salida (RMS),Línea,Tipos de parlante,Peso,Conectores de entrada,Color,Tipos de filtros del parlante
1, Xiaomi Round Bluetooth Speaker 2 ,135,NA,NA,(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/QUETALCOMPRADELPERUEIRL?brandId=159,https://articulo.mercadolibre.com.pe/MPE-436972266-xiaomi-round-bluetooth-speaker-2-_JM#position=1&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#436972266,Xiaomi,Speaker 2,5 W,NA,NA,NA,NA,NA,NA
2, Bose Parlante Soundtouch 30 Serie Iii Bluetooth Wifi Negro ,2399,NA,"
			
			
				
				3
				vendidos
			
		",(96 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/GWYICHANGYCIASATO?brandId=133,https://articulo.mercadolibre.com.pe/MPE-434071308-bose-parlante-soundtouch-30-serie-iii-bluetooth-wifi-negro-_JM#position=2&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#434071308,Bose,SoundTouch,NA,SoundTouch,NA,NA,NA,NA,NA
3, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,209,NA,"
			
				Nuevo
			
			
				
					 - 
				
				50
				vendidos
			
		",(6 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,6,http://perfil.mercadolibre.com.pe/MIALIENSTORE,https://articulo.mercadolibre.com.pe/MPE-435227656-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM#position=3&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,5,1,0,0,0,#435227656,Amazon,Echo  Dot 3era Gen,NA,NA,Wifi,300 g,NA,NA,NA
4, Samsung Soundbar 100w 2019 Barra De Sonido ,179,NA,"
			
				Nuevo
			
			
				
					 - 
				
				45
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/ELECTROFERTAS+SELLADAS,https://articulo.mercadolibre.com.pe/MPE-428636742-samsung-soundbar-100w-2019-barra-de-sonido-_JM#position=4&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#428636742,Samsung,HW-N300PE,100 W,NA,NA,2 kg,USB,NA,NA
5, Jbl Flip 4 Parlante Bluetooth Portatil Acuatico Bass Colores ,349,NA,"
			
				Nuevo
			
			
				
					 - 
				
				17
				vendidos
			
		",(25 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-432200042-jbl-flip-4-parlante-bluetooth-portatil-acuatico-bass-colores-_JM#position=5&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,7,2,0,0,0,#432200042,JBL,Flip 4,20 W,Flip,Woofer,NA,NA,Como,Activo
6, Jbl Go 2 Parlante Bluetooth Resistente Al Agua Tienda ,119,NA,"
			
				Nuevo
			
			
				
					 - 
				
				38
				vendidos
			
		",(95 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,16,http://perfil.mercadolibre.com.pe/IMANIA.PERU,https://articulo.mercadolibre.com.pe/MPE-428500548-jbl-go-2-parlante-bluetooth-resistente-al-agua-tienda-_JM#position=6&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,13,1,1,0,0,#428500548,JBL,GO 2,3 W,GO,"Portátil, Resistente al Agua",NA,NA,NA,Activo
7, Amazon Echo Dot 3ra Gen Altavoz Inteligente Alexa Sellado ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				10
				vendidos
			
		",(4 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BESTOFFERSPERU,https://articulo.mercadolibre.com.pe/MPE-437115986-amazon-echo-dot-3ra-gen-altavoz-inteligente-alexa-sellado-_JM#position=7&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#437115986,Amazon,Echo  Dot 3era Gen,10 W,NA,Wifi,300 g,NA,NA,"SMART, WIFI, BLUETOOTH, SALIDA 3.5MM"
8, Sony Parlante Bluetooth Extra Bass Ip67 Acuatico Xb12 ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				20
				vendidos
			
		",(50 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.5,2,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444301-sony-parlante-bluetooth-extra-bass-ip67-acuatico-xb12-_JM#position=8&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#434444301,Sony,XB12,NA,EXTRA BASS,Portatil,NA,NA,Como,NA
9, Oferta! Pk08 Parlante Karaoke Bluetooth Radio Fm 8 Pulgadas ,169,NA,"
			
				Nuevo
			
			
				
					 - 
				
				24
				vendidos
			
		",(87 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,2,http://perfil.mercadolibre.com.pe/VELBRO+PERU,https://articulo.mercadolibre.com.pe/MPE-433317574-oferta-pk08-parlante-karaoke-bluetooth-radio-fm-8-pulgadas-_JM#position=9&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#433317574,NA,NA,NA,NA,NA,NA,Auxiliar,NA,NA
10, Mini Parlante Waterproof Mini Speaker Conexión Bluetooth ,19,NA,"
			
				Nuevo
			
			
				
					 - 
				
				31
				vendidos
			
		",(19 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/BONOTECH.PE,https://articulo.mercadolibre.com.pe/MPE-435701030-mini-parlante-waterproof-mini-speaker-conexion-bluetooth-_JM#position=10&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#435701030,NA,NA,NA,NA,NA,NA,NA,NA,NA
11, Jbl Xtreme 2 Parlante Acuatico Bluetooth Portatil By Harman ,999,1069,"
			
				Nuevo
			
			
				
					 - 
				
				3
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-435224647-jbl-xtreme-2-parlante-acuatico-bluetooth-portatil-by-harman-_JM#position=11&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#435224647,NA,NA,NA,NA,NA,NA,NA,NA,NA
12, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,529,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(293 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ELEAZARALATAMARINO,https://articulo.mercadolibre.com.pe/MPE-437378262-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM#position=12&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#437378262,JBL,Charge 4,30 W,NA,Woofer,NA,NA,NA,Activo
13, Google Home Mini - Masplay ,139,NA,"
			
				Nuevo
			
			
				
					 - 
				
				12
				vendidos
			
		",(9987 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/MASPLAY+PERU,https://articulo.mercadolibre.com.pe/MPE-434654884-google-home-mini-masplay-_JM#position=13&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#434654884,NA,NA,NA,NA,NA,173 g,NA,NA,NA
14, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,29,NA,"
			
				Nuevo
			
			
				
					 - 
				
				269
				vendidos
			
		",(739 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,3.9,7,http://perfil.mercadolibre.com.pe/GRUPONATIC.PE,https://articulo.mercadolibre.com.pe/MPE-419076361-receptor-bluetooth-adaptador-35-para-autos-parlantes-_JM#position=14&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,3,1,2,1,0,#419076361,generic,aux,NA,NA,NA,NA,NA,NA,NA
15, Receptor Bluetooth Adaptador 3.5 Para Autos Parlantes ,339,NA,"
			
				Nuevo
			
			
				
					 - 
				
				15
				vendidos
			
		",(42 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,4.8,9,http://perfil.mercadolibre.com.pe/OSCARENRIQUECASTILLOFALCON,https://articulo.mercadolibre.com.pe/MPE-429687772-parlante-bluetooth-jbl-flip-4-sumergible-sellado-tienda-_JM#position=15&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,7,2,0,0,0,#429687772,JBL,Flip 4,16 W,Flip,NA,NA,NA,NA,Activo
16, Parlante Bluetooth Jbl Flip 4 Sumergible Sellado / Tienda ,300,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(7 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/ANDREUS+STORE,https://articulo.mercadolibre.com.pe/MPE-436941118-parlante-tronsmart-t6-plus-bluetooth-40w-estuche-_JM#position=16&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#436941118,NA,NA,40 W,NA,NA,NA,NA,NA,NA
17, Parlante Tronsmart T6 Plus Bluetooth 40w + Estuche ,189,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(9 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434444306-parlante-sony-bluetooth-extra-bass-ip67-acuatico-xb12-_JM#position=17&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#434444306,Sony,XB12,NA,EXTRA BASS,Portatil,NA,NA,Como,NA
18, Parlante Jbl Xtreme 2 Resistente Al Agua ,549,649,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(18 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/FULL+NOVEDADES-,https://articulo.mercadolibre.com.pe/MPE-434111505-parlante-jbl-charge-4-acuatico-bluetooth-portatil-by-harman-_JM#position=18&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#434111505,JBL,Charge 4,30 W,NA,Portatil,NA,NA,Como,Activo
19, Parlante Sony Bluetooth Extra Bass Ip67 Acuatico Xb12 ,569,NA,"
			
				Nuevo
			
			
				
					 - 
				
				6
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,NA,NA,http://perfil.mercadolibre.com.pe/PERU_DE_SHOPPING,https://articulo.mercadolibre.com.pe/MPE-434645186-autoradio-pioneer-dxt-s4069bt-bluetooth-4-parlante-pioneer-_JM#position=19&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#434645186,NA,NA,NA,NA,NA,NA,NA,NA,NA
20, Parlante Jbl Charge 4 Acuatico Bluetooth Portatil By Harman ,230,NA,"
			
				Nuevo
			
			
				
					 - 
				
				5
				vendidos
			
		",(95 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/GRAFOPERU,https://articulo.mercadolibre.com.pe/MPE-437604895-parlante-tronsmart-force-plus-ipx7-40w-sd-extra-bass-2019-_JM#position=20&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#437604895,Tronsmart,ELEMENT FORCE PLUS +,40 W,NA,NA,NA,Auxiliar,NA,NA
21, Autoradio Pioneer Dxt-s4069bt Bluetooth + 4 Parlante Pioneer ,180,NA,"
			
				Nuevo
			
			
				
					 - 
				
				7
				vendidos
			
		",(2 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,1,http://perfil.mercadolibre.com.pe/EDISEL.TS,https://articulo.mercadolibre.com.pe/MPE-436628951-amazon-echo-dot-3ra-gen-altavoz-alexa-nuevo-y-sellado-_JM#position=21&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,NA,NA,NA,NA,NA,#436628951,Amazon,NA,NA,NA,NA,300 g,NA,Gris oscuro,NA
22, Parlante Tronsmart Force + Plus Ipx7 40w Sd Extra Bass 2019 ,139,199,"
			
			
				
				19
				vendidos
			
		",(3 disponibles),NA,NA,NA,Entrega a acordar con el vendedor,NA,NA,5.0,3,http://perfil.mercadolibre.com.pe/ANKER+PERU?brandId=144,https://articulo.mercadolibre.com.pe/MPE-434836116-parlante-true-wireless-soundcore-motion-b-_JM#position=22&type=item&tracking_id=b7510433-e85c-4a67-be85-41cc2a52f3db,3,0,0,0,0,#434836116,NA,NA,NA,NA,NA,400 g,NA,NA,NA
