search_position,name,curr_price,orig_price,num_sold,in_stock,num_installments,amt_installments,arrival_time,shipping,free_return,free_return_info,review_avg,num_reviews,seller_link,product_link,five_star,four_star,three_star,two_star,one_star,item_id,Marca,Línea,Modelo,Potencia de salida (RMS),Tipos de filtros del parlante,Peso,Color,Conectores de entrada
1, Parlantes 2.1 Tower 5 Energy Sistem Bluetooth Aux Usb Sd Amv ,149,157,195,10,18 cuotas,306.36,NA,Envío a todo el país,NA,NA,4.8,19,http://perfil.mercadolibre.com.uy/AMVSTORE,https://articulo.mercadolibre.com.uy/MLU-452289064-parlantes-21-tower-5-energy-sistem-bluetooth-aux-usb-sd-amv-_JM#position=1&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,15,4,0,0,0,#452289064,Energy Sistem,NA,NA,NA,NA,NA,NA,NA
2, Parlante Bluetooth Jbl Go 2 Portátil Potencia Calidad Febo ,1376,NA,1622,98377,18 cuotas,76.44,NA,Envío a todo el país,NA,NA,4.8,235,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600412-parlante-bluetooth-jbl-go-2-portatil-potencia-calidad-febo-_JM#position=2&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,198,32,2,2,0,#446600412,JBL,GO,GO 2,3 W,Activo,184 g,NA,NA
3, Parlante Portátil Bluetooth 3w Luces Led Usb Microsd Aux Loi ,187,197,75,981,18 cuotas,10.39,NA,Envío a todo el país,NA,NA,4.3,3,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462659823-parlante-portatil-bluetooth-3w-luces-led-usb-microsd-aux-loi-_JM#position=3&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,2,0,1,0,0,#462659823,NA,NA,NA,3 W,NA,NA,NA,NA
4, Parlante Jbl Flip 4 Bluetooth Potente Colores Oferta Loi ,3332,4999,213,879,18 cuotas,185.11,NA,Envío a todo el país,NA,NA,4.8,219,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-458480865-parlante-jbl-flip-4-bluetooth-potente-colores-oferta-loi-_JM#position=4&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,183,29,4,1,1,#458480865,JBL,Flip,Flip 4,16 W,Activo,NA,NA,NA
5, Parlante Kolke Fiesta Plus 15 250w Rms Portátil Bat Mic Loi ,87,129,19,9981,18 cuotas,178.88,NA,Envío a todo el país,NA,NA,4,1,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-464025871-parlante-kolke-fiesta-plus-15-250w-rms-portatil-bat-mic-loi-_JM#position=5&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,0,1,0,0,0,#464025871,Kolke,NA,NA,NA,NA,NA,NA,NA
6, Parlante Bluetooth A Prueba De Agua 3w Rms Ideal Ducha Loi ,167,249,185,932,18 cuotas,9.28,NA,Envío a todo el país,NA,NA,3.8,13,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463417487-parlante-bluetooth-a-prueba-de-agua-3w-rms-ideal-ducha-loi-_JM#position=6&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,4,6,1,1,1,#463417487,NA,NA,NA,3 W,NA,NA,NA,NA
7, Parlante Portable T&g Bluetooth 10w Rms Oferta Loi ,697,990,67,998,18 cuotas,38.72,NA,Envío a todo el país,NA,NA,4.3,6,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-462663421-parlante-portable-tg-bluetooth-10w-rms-oferta-loi-_JM#position=7&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,3,2,1,0,0,#462663421,NA,NA,NA,10 W,NA,NA,NA,NA
8, Parlante Jbl Flip 4 Bluetooth Portátil Gtia 1 Año Solo Febo ,4060,4275,982,99017,18 cuotas,225.56,NA,Envío a todo el país,NA,NA,4.8,219,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-446600381-parlante-jbl-flip-4-bluetooth-portatil-gtia-1-ano-solo-febo-_JM#position=8&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,183,29,4,1,1,#446600381,JBL,Flip,Flip 4,16 W,Activo,515 g,NA,NA
9, Parlante Portátil Bluetooth Con Radio Fm ,690,NA,135,94,18 cuotas,38.33,NA,Envío a todo el país,NA,NA,4.5,11,http://perfil.mercadolibre.com.uy/MERCADOFULL82,https://articulo.mercadolibre.com.uy/MLU-455532602-parlante-portatil-bluetooth-con-radio-fm-_JM#position=9&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,7,3,0,1,0,#455532602,NA,NA,NA,NA,NA,1 kg,NA,NA
10, Parlante Bluetooth Jbl Boombox Potencia Calidad Febo ,24950,NA,14,99985,18 cuotas,1.386.11,NA,Envío a todo el país,NA,NA,4.2,5,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-450750864-parlante-bluetooth-jbl-boombox-potencia-calidad-febo-_JM#position=10&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,3,0,2,0,0,#450750864,JBL,NA,Boombox,NA,NA,NA,NA,NA
11, Parlante Jbl Charge 4 Bluetooth A Prueba De Agua Oferta Loi ,167,249,39,999,18 cuotas,343.37,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463032205-parlante-jbl-charge-4-bluetooth-a-prueba-de-agua-oferta-loi-_JM#position=11&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,20,6,0,0,1,#463032205,JBL,NA,Charge 4,30 W,Activo,NA,NA,NA
12, Parlante Bluetooth Jvc Portable 16w Rms Radio Fm En Loi ,57,71,31,2966,18 cuotas,117.20,NA,Envío a todo el país,NA,NA,4.5,2,http://perfil.mercadolibre.com.uy/LOI+URUGUAY?brandId=638,https://articulo.mercadolibre.com.uy/MLU-463512740-parlante-bluetooth-jvc-portable-16w-rms-radio-fm-en-loi-_JM#position=12&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,1,1,0,0,0,#463512740,NA,NA,NA,16 W,NA,NA,NA,NA
13, Parlante Bluetooth Portátil Jbl Charge 4 Potencia Calidad ,6790,NA,106,99893,18 cuotas,377.22,NA,Envío a todo el país,NA,NA,4.6,27,http://perfil.mercadolibre.com.uy/FEBOUY,https://articulo.mercadolibre.com.uy/MLU-452532629-parlante-bluetooth-portatil-jbl-charge-4-potencia-calidad-_JM#position=13&type=item&tracking_id=a8f198c7-649b-4cfb-98b0-138c61c52d42,20,6,0,0,1,#452532629,JBL,NA,Charge 4,30 W,Activo,NA,Agua,NA
