country,seller_name,link,time_operating,units_of_time_operating,amt_sold,leader_status,top_descriptor1,top_descriptor2,num_reviews,num_neg_reviews,num_neutral_reviews,num_pos_reviews,location,timeframe_of_amt_sold,units_timeframe_of_amt_sold
ARG,REMOTODOMICILIO,https://perfil.mercadolibre.com.ar/REMOTODOMICILIO,3,1,3055,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,696,29,28,639,"Caballito, Capital Federal.",4,2
ARG,CRAZYSTATION,https://perfil.mercadolibre.com.ar/CRAZYSTATION,13,1,3004,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,767,28,31,708,"Floresta, Capital Federal.",4,2
ARG,GENERACIONUNO,https://perfil.mercadolibre.com.ar/GENERACIONUNO,11,1,5131,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,2041,18,32,1991,"Microcentro - Obelisco, Capital Federal.",4,2
ARG,NORCEL_CABA,https://perfil.mercadolibre.com.ar/NORCEL_CABA,14,1,7626,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,2303,45,51,2207,"Palermo, Capital Federal.",4,2
ARG,TIENDASHOPEALO,https://perfil.mercadolibre.com.ar/TIENDASHOPEALO,13,1,10324,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,2254,23,29,2202,"Morón, Buenos Aires.",4,2
ARG,NORCEL01,https://perfil.mercadolibre.com.ar/NORCEL01,4,1,9959,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,2606,40,80,2486,"Olivos, Buenos Aires.",4,2
ARG,TIENDASHOPEALOML,https://perfil.mercadolibre.com.ar/TIENDASHOPEALOML,2,1,6320,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,1377,17,21,1339,"Morón, Buenos Aires.",4,2
ARG,COSASLINDAS-,https://perfil.mercadolibre.com.ar/COSASLINDAS-,15,1,5742,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,2072,10,18,2044,"Congreso, Capital Federal.",4,2
ARG,TEKHNETSHOP,https://perfil.mercadolibre.com.ar/TEKHNETSHOP,3,1,1424,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,513,4,7,502,"Capital Federal, Capital Federal.",4,2
ARG,APPLEHELPP,https://perfil.mercadolibre.com.ar/APPLEHELPP,10,1,571,NA,Brinda buena atención,Despacha sus productos a tiempo,369,5,5,359,"Belgrano, Capital Federal.",4,2
ARG,ORIGINALCASE NET,https://perfil.mercadolibre.com.ar/ORIGINALCASE+NET,7,1,1170,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,328,4,3,321,"C.A.B.A., Capital Federal.",4,2
ARG,THEPHONE_BSAS,https://perfil.mercadolibre.com.ar/THEPHONE_BSAS,7,1,6572,MercadoLíder Platinum,Brinda buena atención,Despacha sus productos a tiempo,1878,43,66,1769,"San nicolas, Capital Federal.",4,2
ARG,ILOVEPHONE.ARG,https://perfil.mercadolibre.com.ar/ILOVEPHONE.ARG,12,1,1494,MercadoLíder Gold,Brinda buena atención,Despacha sus productos a tiempo,444,4,7,433,"Buenos Aires, Capital Federal.",4,2
