value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Envío,Devolución gratis,Tenés 30 días desde que lo recibís
2,año,año,Envío gratis,,
3,meses,meses,Llega mañana,,
4,aÃ±os,aÃ±os,Llega gratis mañana,,
5,dias,dias,Envío a todo el país,,
6,mês,mês,Envío gratis a todo el país,,
7,días,días,Retiro gratis en local de Frávega,,
8,,,Retiro gratis en local de Garbarino,,
9,,,Retiro gratis en local de Ribeiro,,
10,,,Entrega a acordar con el vendedor,,
11,,,Retiro gratis en local de Megatone,,
12,,,Frete grátis,,
13,,,Envio para todo o país,,
14,,,Chegará grátis amanhã,,
15,,,Chega amanhã,,
16,,,Envío gratis a nivel nacional,,
17,,,Envío a nivel nacional,,
