value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,año,año,Llega gratis mañana,Devolução grátis,Você tem 30 dias a partir do recebimento
3,meses,meses,Envío a todo el país,,Tienes 30 días desde que lo recibes
4,aÃ±os,aÃ±os,Envío,,
5,mês,mês,Envío gratis a todo el país,,
6,dias,dias,Entrega a acordar con el vendedor,,
7,,,Envio para todo o país,,
8,,,Frete grátis,,
9,,,Chega amanhã,,
10,,,Envío gratis a nivel nacional,,
11,,,Envío a nivel nacional,,
12,,,Envío gratis,,
