value,units_of_time_operating,units_timeframe_of_amt_sold,shipping,free_return,free_return_info
1,años,años,Llega gratis mañana,Devolución gratis,Tenés 30 días desde que lo recibís
2,meses,meses,Llega mañana,,"Si no te gusta o no te queda bien, devolvelo."
3,días,días,Envío a todo el país,,
4,,,Envío,,
5,,,Envío gratis,,
6,,,Envío gratis a todo el país,,
7,,,Retiro gratis en local del vendedor,,
8,,,Retiro gratis en local de Frávega,,
9,,,Entrega a acordar con el vendedor,,
10,,,Chegará amanhã,,
11,,,Llega gratis hoy,,
12,,,Llega gratis el viernes,,
13,,,Retiro gratis en tienda de Geant,,
